date,HE,ercot_all_ld,wz_west_ld,wz_far_west_ld,wz_north_central_ld,windGen,solarGen,net_load,wind_coastal,wind_north,wind_panhandle,wind_south,wind_west,wind_is_actual,n_conts_DA,n_conts_RT,sp_DA,sp_RT,west_load,bind_rt,bind_da,bind_any,pan_minus_west,west_t,pan_t,wl_t,spread_t
2026-05-04,13,55081.86,1243.99,7867.45,14669.1,16719.9,26230.16,12131.8,1941.961270416667,2291.9758706666667,2280.5253480833335,1542.1653770833332,10060.876409916666,True,,,,,9111.44,False,False,False,-7780.351061833332,mid,high,low,mid
2026-06-24,13,75388.86,2257.96,7890.32,22485.54,11230.39,31206.58,32951.89,2175.22,344.87999999999994,798.0,2184.15,5728.14,False,,,,,10148.279999999999,False,False,False,-4930.14,mid,low,high,mid
2026-07-11,13,71789.0,2217.6,7882.32,22698.13,5676.26,29748.58,36364.16,2074.39,257.89,2.05,1801.6199999999997,1540.31,False,,,,,10099.92,False,False,False,-1538.26,low,low,high,high
2026-06-26,2,59355.88,1815.68,7517.88,16641.36,19814.64,1.03,39540.21,2534.9900000000002,1966.59,1639.26,2803.22,10870.58,False,1.0,,1.0540000200271606,,9333.56,False,True,True,-9231.32,mid,mid,mid,low
2026-05-21,13,55147.04,1460.25,7143.3,15124.72,3502.2,14118.48,37526.36,337.7,33.7,638.59,261.95,2230.26,False,,,,,8603.55,False,False,False,-1591.67,low,low,low,high
2026-06-01,17,78365.71,2263.77,6876.05,24842.32,7510.56,28265.38,42589.770000000004,1090.15,109.02000000000001,2068.53,382.07,3860.7899999999995,False,,,,,9139.82,False,False,False,-1792.2599999999993,low,mid,low,high
2026-05-06,3,47814.31,1356.22,6976.91,10989.56,11645.53,0.11,36168.67,2330.7140105833337,733.6594223333334,1464.2804500833333,2004.4456234166669,5116.975213833333,True,1.0,1.0,119.072998046875,140.547119140625,8333.13,True,True,True,-3652.6947637499998,low,mid,low,high
2026-06-18,17,82591.93,2695.71,7063.23,25085.37,12575.81,27350.26,42665.86,2179.22,1101.88,2390.46,999.46,5904.790000000001,False,,,,,9758.939999999999,False,False,False,-3514.330000000001,mid,high,high,high
2026-06-03,6,48959.73,1531.07,6225.3,12771.7,8084.28,0.14,40875.310000000005,67.65,257.53,732.94,394.5400000000001,6631.619999999999,False,1.0,,17.05299949645996,,7756.37,False,True,True,-5898.6799999999985,mid,low,low,mid
2026-05-16,15,67070.91,1895.21,8096.24,18643.66,20443.65,26573.05,20054.210000000003,3345.88,2157.94,1038.3799999999999,2806.84,11094.61,False,,,,,9991.45,False,False,False,-10056.230000000001,mid,low,high,low
2026-05-31,16,75295.76,2251.7,8212.52,22923.79,10627.66,30408.43,34259.66999999999,880.88,827.51,277.15,570.34,8071.78,False,,,,,10464.220000000001,False,False,False,-7794.63,mid,low,high,mid
2026-06-01,24,63905.36,1761.68,7509.34,18473.43,16107.92,0.06,47797.380000000005,713.02,988.4099999999999,3448.75,1433.0,9524.740000000002,False,1.0,,4.065999984741211,,9271.02,False,True,True,-6075.990000000002,mid,high,mid,mid
