date,peak_net_load,code,elem,cont,hours_bound,max_shadow
2026-07-06,63929.450000000004,SEA_AAT1,SEA:138KV-SEA:69KV,DFRYTM58,7,1146.972900390625
2026-07-06,63929.450000000004,CROSSO_NORTMC1_1,NORTMC:138KV-CROSSOVE:138KV,DBIGSCH5,5,535.2924194335938
2026-07-06,63929.450000000004,NEWM_WAL_1,NEWMAN:138KV-WALNUT1:138KV,SOAKSHI8,3,484.29718017578125
2026-07-06,63929.450000000004,PALOUS_WOLFCA1_1,PALOUSE:138KV-WOLFCAMP:138KV,DBIGSCH5,5,438.2463684082031
2026-07-06,63929.450000000004,2270__B,MEXTP:69KV-ITALY:69KV,SBLAWDB8,4,249.98593139648438
2026-07-06,63929.450000000004,NLARSW_PILONC1_1,NLARSW:138KV-PILONCIL:138KV,DFOAVLO5,5,248.5503692626953
2026-07-06,63929.450000000004,MAGRUD_VICTOR2_1,VICTORIA:138KV-MAGRUDER:138KV,XVIC89,9,153.00096130371094
2026-07-06,63929.450000000004,6200__F,TYPRK:138KV-PLYAM:138KV,DCDHTVW5,7,134.78858947753906
2026-07-06,63929.450000000004,651__B,CMNSW:138KV-CMNTP:138KV,DMBDRKC5,4,119.4257583618164
2026-07-06,63929.450000000004,NUECES_WHITE_2_1,NUECES_B:138KV-WHITE_PT:138KV,SMAYWHI8,5,64.40213775634766
2026-07-06,63929.450000000004,BI_JN_64_A,JN:345KV-BI:345KV,DWAP_BI5,9,47.0555305480957
2026-07-06,63929.450000000004,HON_DEVI_1,HONDOCK:69KV-DEVINESW:69KV,SHONF38,5,45.58553695678711
2026-07-06,63929.450000000004,1545__A,FLTSW:138KV-PRSSW:138KV,SPRSPAR8,7,36.19059371948242
2026-07-06,63929.450000000004,INTF,INTF,BASE,14,30.27381134033203
2026-07-06,63929.450000000004,RAYBURN_69_2,RAYBURN:138KV-RAYBURN:69KV,SFURVAN8,2,29.2884464263916
2026-07-06,63929.450000000004,STPWAP39_1,STP:345KV-WAP:345KV,DWPWFWP5,4,25.224716186523438
2026-07-06,63929.450000000004,SOLSTICE_PST1,SOLSTICE:138KV-SOLSTICE:138KV,STARLEO8,2,21.32998275756836
2026-07-06,63929.450000000004,1715__B,TMPSW:138KV-FRYSW:138KV,DSALHUT5,7,17.917251586914062
2026-07-06,63929.450000000004,OB_WAP98_A,WAP:345KV-OB:345KV,SOBWAP5,5,15.87564754486084
2026-07-06,63929.450000000004,FB_RS_60_A,RS:138KV-FB:138KV,SWAATH8,6,12.210335731506348
2026-07-06,63929.450000000004,BRUNI_69_1,BRUNI:138KV-BRUNI:69KV,SLAQLOB8,4,11.921210289001465
2026-07-06,63929.450000000004,138_FTS_LNC_1,FTST:138KV-LEONCRK:138KV,BASE,6,5.962287425994873
2026-07-06,63929.450000000004,_WC_WCO_1,WC:138KV-WCOLMAIN:138KV,SWCOW2C8,3,4.179989814758301
2026-07-06,63929.450000000004,BENTS_FRTER_1B_1,FRONTERA:138KV-S_MISSIN:138KV,SSHAFRO8,9,2.0480575561523438
2026-07-06,63929.450000000004,ASHERT_CATARI1_1,CATARINA:138KV-ASHERTON:138KV,DFOAVLO5,4,1.5752882957458496
2026-07-06,63929.450000000004,D5_S1_1,HOWARD:138KV-LEON_CRK:138KV,SP5CAG8,2,0.028423333540558815
2026-07-06,63929.450000000004,651__C,CMNTP:138KV-SHILO:138KV,DMBDRKC5,3,0.0
2026-07-06,63929.450000000004,MOURSUND_FUR_1,FURHMAN:138KV-MOURSUND:138KV,SFURVAN8,8,0.0
2026-07-07,62752.340000000004,HON_DEVI_1,HONDOCK:69KV-DEVINESW:69KV,SHONF38,6,534.4903564453125
2026-07-07,62752.340000000004,NLARSW_PILONC1_1,NLARSW:138KV-PILONCIL:138KV,DFOAVLO5,11,243.13795471191406
