nl_bin,median,p90,n,nl_c
20000,9.480808333333332,13.692380666666667,8,21000
22000,10.971716666666666,13.160033461538463,7,23000
24000,12.726166666666666,17.727868333333333,19,25000
26000,14.19404326923077,17.711070833333334,56,27000
28000,16.744416666666666,21.3290825,74,29000
30000,18.763265705128205,24.003320833333333,96,31000
32000,21.279491666666665,28.693507051282047,146,33000
34000,23.022716666666668,28.658190476190477,196,35000
36000,23.30255,29.364741666666664,221,37000
38000,24.014558333333337,29.713825641025643,263,39000
40000,26.239425,33.06150769230769,271,41000
42000,28.084158333333335,36.75964666666666,265,43000
44000,29.86114166666667,39.86121166666667,259,45000
46000,33.732875,46.132567692307695,223,47000
48000,36.609249999999996,53.244913333333336,207,49000
50000,41.13968214285715,65.57270160256411,152,51000
52000,45.00601538461539,58.59288,117,53000
54000,49.4786244047619,74.66946673076924,110,55000
56000,51.07812083333333,90.24107564102565,86,57000
58000,63.10485,112.97866538461541,53,59000
60000,67.09643333333334,101.30592269230772,35,61000
62000,76.40058511904763,110.69124833333332,34,63000
64000,102.19750833333335,158.12629249999998,15,65000
66000,105.94835882352942,126.61429948717951,13,67000
