tbin,median,n,p10,p90,tc
10,239.0,35,239.0,239.0,12.5
15,239.0,111,239.0,239.0,17.5
20,239.0,146,238.8,239.0,22.5
25,238.1,253,236.4,239.0,27.5
30,236.4,481,234.2,238.1,32.5
35,234.2,809,231.9,236.0,37.5
40,232.7,702,230.1,234.1,42.5
45,230.9,1078,227.0,232.5,47.5
50,228.4,1272,223.4,230.9,52.5
55,224.8,1529,220.2,227.8,57.5
60,220.6,2219,218.0,224.0,62.5
65,218.5,1744,216.23,219.9,67.5
70,216.7,2521,214.9,218.3,72.5
75,215.0,2759,213.4,216.5,77.5
80,213.2,2524,211.5,214.8,82.5
85,211.2,1231,210.0,213.0,87.5
90,210.0,1155,210.0,211.2,92.5
95,210.0,584,210.0,210.0,97.5
100,210.0,104,210.0,210.0,102.5
