tbin,median,n,p10,p90,tc
5,233.0,34,233.0,233.0,7.5
10,233.0,54,233.0,233.0,12.5
15,233.0,63,233.0,233.0,17.5
20,233.0,124,233.0,233.0,22.5
25,233.0,215,232.14,233.0,27.5
30,232.5,524,229.6,233.0,32.5
35,230.2,745,225.1,233.0,37.5
40,227.2,999,222.1,231.1,42.5
45,223.2,1279,217.9,228.1,47.5
50,219.2,1543,213.4,224.0,52.5
55,214.8,1675,209.3,220.2,57.5
60,210.0,1927,207.2,217.0,62.5
65,208.2,2178,203.2,211.4,67.5
70,204.6,2429,200.0,209.4,72.5
75,201.1,2430,196.6,212.2,77.5
80,197.2,1921,193.1,207.5,82.5
85,193.4,1398,191.0,202.0,87.5
90,191.0,1037,191.0,196.5,92.5
95,191.0,540,191.0,191.0,97.5
100,190.3,186,185.0,191.0,102.5
105,182.75,24,179.56,188.31,107.5
