tbin,median,n,p10,p90,tc
5,233.0,34,233.0,233.0,7.5
10,233.0,54,233.0,233.0,12.5
15,233.0,63,233.0,233.0,17.5
20,233.0,124,233.0,233.0,22.5
25,233.0,215,233.0,233.0,27.5
30,233.0,524,233.0,233.0,32.5
35,233.0,745,231.6,233.0,37.5
40,232.6,999,229.6,233.0,42.5
45,230.4,1279,225.9,233.0,47.5
50,227.2,1543,222.2,231.0,52.5
55,223.2,1675,219.2,228.0,57.5
60,219.9,1927,217.6,224.5,62.5
65,218.2,2178,216.0,220.5,67.5
70,216.6,2429,213.0,218.8,72.5
75,213.9,2430,209.0,217.0,77.5
80,209.4,1921,204.4,213.9,82.5
85,204.8,1398,200.6,209.6,87.5
90,199.8,1037,196.0,204.6,92.5
95,195.0,540,192.0,199.1,97.5
100,191.0,186,186.55,193.8,102.5
105,183.3,24,180.26,189.51,107.5
