tbin,n,rating_med,rating_p10,rating_p90,emerg_med
5,11,1576.4,1574.4250000000002,1576.4,1576.4
10,20,1576.4,1340.0,1576.4,1576.4
15,32,1406.4875,1340.0,1576.4,1406.4875
20,16,1555.7125,1364.125,1576.4,1555.7125
25,62,1546.2875,1340.0,1554.8,1546.2875
30,151,1458.0,1393.675,1532.1,1458.0
35,343,1442.1,1344.095,1509.4,1442.1
40,261,1415.3,1340.0,1486.7,1415.3
45,411,1397.7,1340.0,1462.8,1397.7
50,553,1372.6,1340.0,1438.9,1372.6
55,790,1349.5,1323.2,1415.0,1349.5
60,1057,1323.2,1291.0,1389.9,1323.2
65,870,1291.0,1265.6,1363.6,1291.0
70,1343,1262.8,1236.9,1337.3,1262.8
75,1489,1235.0,1211.1,1311.0,1235.0
80,1511,1202.5,1175.3,1268.5,1202.5
85,739,1170.575,1150.4,1216.9,1170.575
90,806,1143.7,1122.5625,1172.2,1143.7
95,445,1111.7,1096.32,1138.0,1111.7
100,97,1081.6,1064.8,1105.0,1081.6
