date,peak_load,peak_net_load
2026-07-13,73305.19,66899.18
2026-07-06,83197.72,63929.450000000004
2026-07-07,82819.22,62752.340000000004
2026-07-04,82208.04,62617.93
2026-07-08,82916.41,60605.880000000005
2026-06-15,67756.03,60000.64
2026-07-03,81965.55,59902.12
2026-06-01,78365.71,59246.399999999994
2026-07-01,81356.67,58572.26999999999
2026-06-22,82074.91,58510.43
2026-07-05,81354.51,58014.65
2026-06-19,71021.65,57912.68
2026-07-12,78206.87,57521.98999999999
2026-06-16,73624.0,57288.95
2026-05-28,73410.33,57200.9
2026-07-09,83003.02,57092.840000000004
2026-07-11,76485.8,56914.05
2026-06-14,72930.11,56696.64
2026-06-24,82101.28,56646.640000000014
2026-06-18,82591.93,56561.27000000001
2026-06-06,71493.16,56215.490000000005
2026-07-02,81743.16,55917.24
2026-05-26,70280.75,55854.350000000006
2026-06-11,78290.94,55460.03
2026-06-04,72028.21,55275.049999999996
2026-07-10,82394.46,54782.649999999994
2026-06-17,78281.89,54781.920000000006
2026-05-27,61647.73,54776.55
2026-05-11,63139.73,54081.07000000001
2026-06-12,76414.24,53730.67000000001
2026-06-03,71035.29,53667.11000000001
2026-06-02,77817.91,53566.57000000001
2026-05-20,64027.98,52929.06
2026-05-31,76821.37,52149.21
2026-05-24,67768.8,52058.41000000001
2026-06-30,82122.4,51916.91
2026-05-12,69555.9,51755.829999999994
2026-06-23,81748.79,51740.729999999996
2026-06-13,77713.4,51636.74
2026-05-13,74688.82,51532.009999999995
2026-06-05,67155.58,51433.0
2026-06-26,82190.39,50831.600000000006
2026-05-25,69671.64,50783.03
2026-05-19,69361.74,50310.009999999995
2026-05-21,60065.13,50138.44
2026-05-29,77811.58,50059.82000000001
2026-05-22,72160.06,49851.57
2026-06-29,82083.87,49821.380000000005
2026-06-09,78033.74,49055.83000000001
2026-05-30,74899.48,49014.79000000001
2026-06-21,77730.08,48928.49
2026-06-28,81759.35,48813.57
2026-06-10,78494.81,48788.85999999999
2026-06-08,77584.32,48556.32
2026-06-20,70616.92,48463.939999999995
2026-05-05,68644.59,48296.86
2026-06-27,82012.37,47719.880000000005
2026-06-25,80719.81,47328.43000000001
2026-05-02,52576.9,47007.59
2026-05-09,70319.35,46940.83
2026-05-06,60666.54,46917.14
2026-06-07,73014.03,46167.96
2026-05-08,58006.27,45415.7
2026-05-23,60496.02,44945.53999999999
2026-05-07,55022.46,44492.93
2026-05-14,74824.95,43418.35
2026-05-18,76513.95,43294.560000000005
2026-05-10,65246.66,41626.89
2026-05-01,50271.58,39466.19
2026-05-17,68979.24,38330.53999999999
2026-05-16,70406.91,37572.829999999994
2026-05-15,70886.96,36941.78999999999
2026-05-04,62476.7,35520.95
2026-05-03,57573.99,34547.83
