panel,ResourceName,ResourceType,price,w_mw,cum
single,SHEEPCRK_UNIT1,WIND,-75.2300033569336,150.0,150.0
single,RRC_WIND_UNIT2,WIND,-69.19999694824219,28.0,178.0
single,RRC_WIND_UNIT1,WIND,-69.19999694824219,99.0,277.0
single,RRC_WIND_UNIT3,WIND,-69.19999694824219,127.0,404.0
single,SUNVASLR_UNIT2,PVGR,-56.9900016784668,86.19999694824219,490.1999969482422
single,SUNVASLR_UNIT1,PVGR,-56.9900016784668,165.8000030517578,656.0
single,ANCHOR_WIND5,WIND,-40.25,19.299999237060547,675.2999992370605
single,ANCHOR_WIND1,WIND,-40.25,16.0,691.2999992370605
single,ANCHOR_WIND2,WIND,-40.25,98.9000015258789,790.2000007629395
single,ANCHOR_WIND4,WIND,-40.25,38.70000076293945,828.9000015258789
single,ANCHOR_WIND3,WIND,-40.25,90.0,918.9000015258789
single,DORA_SLR_SOLAR1,PVGR,-39.959999084472656,198.0,1116.900001525879
single,DORA_SLR_SOLAR2,PVGR,-39.959999084472656,202.0,1318.900001525879
single,AQUILLA_U1_23,WIND,-39.529998779296875,13.899999618530273,1332.8000011444092
single,AQUILLA_U2_23,WIND,-39.529998779296875,7.0,1339.8000011444092
single,AQUILLA_U1_28,WIND,-39.529998779296875,135.39999389648438,1475.1999950408936
single,AQUILLA_U2_28,WIND,-39.529998779296875,143.8000030517578,1618.9999980926514
single,MERCURY_PV1,PVGR,-38.75,200.0,1818.9999980926514
single,MERCURY_PV2,PVGR,-38.75,200.0,2018.9999980926514
single,HKSN_SLR_UNIT2,PVGR,-36.70000076293945,4.0,2022.9999980926514
single,HKSN_SLR_UNIT3,PVGR,-36.70000076293945,158.0,2180.9999980926514
single,HKSN_SLR_UNIT1,PVGR,-36.70000076293945,150.0,2330.9999980926514
single,ASCK_SLR_SOLAR2,PVGR,-36.5,208.0,2538.9999980926514
single,ASCK_SLR_SOLAR1,PVGR,-36.5,204.0,2742.9999980926514
single,FILESSLR_PV1,PVGR,-30.989999771118164,145.0,2887.9999980926514
single,CMPD_SLR_SOLAR1,PVGR,-29.989999771118164,194.5,3082.4999980926514
single,CMPD_SLR_SOLAR2,PVGR,-29.989999771118164,211.1999969482422,3293.6999950408936
single,ROSELAND_SOLAR3,PVGR,-26.100000381469727,114.4000015258789,3408.0999965667725
single,ROSELAND_SOLAR2,PVGR,-26.100000381469727,135.60000610351562,3543.700002670288
single,ROSELAND_SOLAR1,PVGR,-4.989999771118164,250.0,3793.700002670288
