cpNodeId,shift,psen,psenShiftSign,cpnode_name,cpnode_display,cpnode_type,cpnode_voltage,ResourceName,ResourceType,BUSNAME,GENFUELTYPE,UNITNAME,NAMEPLATEMW
13003,0.116,0.116,1,SCES_UNIT1,SCES_UNIT1,,,SCES_UNIT1_J04,CLLIG,SCES,COAL,SANDY CREEK U1,1008.0
13003,0.116,0.116,1,SCES_UNIT1,SCES_UNIT1,,,SCES_UNIT1_J01,CLLIG,SCES,COAL,SANDY CREEK U1,1008.0
13003,0.116,0.116,1,SCES_UNIT1,SCES_UNIT1,,,SCES_UNIT1_J02,CLLIG,SCES,COAL,SANDY CREEK U1,1008.0
13003,0.116,0.116,1,SCES_UNIT1,SCES_UNIT1,,,SCES_UNIT1_J03,CLLIG,SCES,COAL,SANDY CREEK U1,1008.0
12578,0.091,0.091,1,BOSQ_BSQS_12,BOSQ_BSQS_12,,,BOSQUESW_CC2_2,CCGT90,BOSQUESW,GAS,BOSQUE ENERGY CENTER CTG 1,188.7
12578,0.091,0.091,1,BOSQ_BSQS_12,BOSQ_BSQS_12,,,BOSQUESW_CC2_3,CCGT90,BOSQUESW,GAS,BOSQUE ENERGY CENTER CTG 1,188.7
12578,0.091,0.091,1,BOSQ_BSQS_12,BOSQ_BSQS_12,,,BOSQUESW_CC2_1,CCGT90,BOSQUESW,GAS,BOSQUE ENERGY CENTER CTG 1,188.7
12578,0.091,0.091,1,BOSQ_BSQS_12,BOSQ_BSQS_12,,,BOSQUESW_CC2_4,CCGT90,BOSQUESW,GAS,BOSQUE ENERGY CENTER CTG 1,188.7
12943,0.071,0.071,1,PANDA_T2_CT1,PANDA_T2_CT1,,,PANDA_T2_CC1_1,CCGT90,PANDA_T2,GAS,PANDA TEMPLE II POWER CTG 1,232.0
12943,0.071,0.071,1,PANDA_T2_CT1,PANDA_T2_CT1,,,PANDA_T2_CC1_2,CCGT90,PANDA_T2,GAS,PANDA TEMPLE II POWER CTG 1,232.0
12939,0.071,0.071,1,PANDA_T1_CT1,PANDA_T1_CT1,,,PANDA_T1_CC1_1,CCGT90,PANDA_T1,GAS,PANDA TEMPLE I POWER CTG 1,232.0
12939,0.071,0.071,1,PANDA_T1_CT1,PANDA_T1_CT1,,,PANDA_T1_CC1_2,CCGT90,PANDA_T1,GAS,PANDA TEMPLE I POWER CTG 1,232.0
12579,0.062,0.062,1,BOSQ_BSQS_34,BOSQ_BSQS_34,,,BOSQUESW_CC1_2,CCGT90,BOSQUESW,GAS,BOSQUE ENERGY CENTER CTG 3,188.7
12579,0.062,0.062,1,BOSQ_BSQS_34,BOSQ_BSQS_34,,,BOSQUESW_CC1_1,CCGT90,BOSQUESW,GAS,BOSQUE ENERGY CENTER CTG 3,188.7
