station,cpnodes,shift_min,shift_max,rtypes,n_reg,n_units,pct_online,avg_MW_running,median_offer,total_HSL,shift
KMCHI,"KMCHI_CC1, KMCHI_CC2, VLSES_UNIT3",-0.065,-0.065,CCGT90,18,3,99.99146174863388,711.8935430727224,28.06999969482422,1547.0,-0.065
JACKCNTY,JACKCNTY_CT1,-0.066,-0.066,CCGT90,3,1,99.75239071038251,483.2578777798763,19.229999542236328,631.0,-0.066
LPCCS,"LPCCS_UNIT1, LPCCS_UNIT2",-0.065,-0.065,CCGT90,8,2,98.59118852459017,945.7061392325824,22.450000762939453,1149.0,-0.065
JCKCNTY2,JCKCNTY2_ST2,-0.056,-0.056,CCGT90,3,1,98.38627049180327,486.8268476196702,22.1200008392334,637.0,-0.056
MDANP,"MDANP_CT1_2, MDANP_CT3_4, MDANP_CT5_6",-0.179,-0.087,SCGT90,6,3,96.26878415300546,1067.7066869904038,28.799999237060547,814.1000061035156,-0.179..-0.087
PANDA,PANDA_S_CT1,-0.066,-0.066,CCGT90,2,1,94.5525956284153,476.9255817962593,25.25,733.0,-0.066
WHCCS,WHCCS_CT1_ST,-0.095,-0.095,CCGT90,2,1,94.07445355191257,580.2782008409457,35.0,752.9000244140625,-0.095
FRNYPP,"FRNYPP_1_CCU, FRNYPP_2_CCU",-0.061,-0.061,CCGT90,12,2,93.98907103825137,1476.6766587305208,21.65999984741211,1878.0,-0.061
ETCCS,ETCCS_CCU,-0.07,-0.07,CCGT90,2,1,89.8224043715847,295.8834346872772,34.31999969482422,338.0,-0.070
WHCCS2,"WHCCS2_4, WHCCS2_CC2",-0.095,-0.095,CCGT90,4,2,86.89378415300546,680.6747757265324,41.40999984741211,1879.2000122070312,-0.095
MIL,"MIL_MILG1_2, MIL_MILG345",-0.063,-0.063,GSNONR/GSREH/SCGT90,5,2,86.72301912568307,156.62979240017026,-250.0,320.0,-0.063
WCPP,WCPP_CT1,-0.057,-0.057,CCGT90,4,1,74.62431693989072,608.2150274263639,27.309999465942383,739.0,-0.057
TEN,TEN_CT1_STG,-0.098,-0.098,CCGT90,1,1,70.03927595628416,218.1365479852141,19.81999969482422,277.0,-0.098
LHSES,"LHSES_UNIT1, LHSES_UNIT2",-0.066,-0.066,GSREH,2,2,69.90266393442623,501.24238103799246,47.25,915.0,-0.066
MCSES,"MCSES_UNIT6, MCSES_UNIT7, MCSES_UNIT8",-0.082,-0.082,GSNONR/GSSUP,3,3,52.65539617486339,188.05777105462403,125.0,808.0,-0.082
STEAM,"STEAM_ENG123, STEA_STEAM_2, STEA_STEAM_3",-0.064,-0.064,DSL/GSNONR,5,3,41.58128415300546,16.100780191772774,30.06999969482422,59.39999961853027,-0.064
HLSES,"HLSES_UNIT3, HLSES_UNIT4, HLSES_UNIT5",-0.1,-0.1,GSREH,3,3,39.75409836065574,408.7017784130942,75.0,1245.0,-0.100
TNSKA,TNSKA_CCU,-0.064,-0.064,CCGT90,2,1,31.010928961748636,128.86880371749137,34.29999923706055,225.6999969482422,-0.064
DEC,"RN_DEC_AGR_A, RN_DEC_AGR_B, RN_DEC_AGR_C, RN_DEC_AGR_D",-0.067,-0.067,DSL,4,4,22.814207650273225,163.56014958059717,34.709999084472656,226.0,-0.067
OLINGR,"OLIN_OLING_1, OLIN_OLING_2, OLIN_OLING_3, OLIN_OLING_4",-0.064,-0.064,GSNONR/GSREH/SCLE90,4,4,14.856557377049182,66.86006032132555,250.0,335.0,-0.064
SPNCER,"SPNC_SPNCE_4, SPNC_SPNCE_5",-0.068,-0.068,GSNONR,2,2,12.739071038251366,31.195188891152593,250.0,118.0,-0.068
DCSES,DC2SES_ALL,-0.086,-0.086,SCLE90,4,1,6.019467213114754,166.920931456275,900.2100219726562,91.4000015258789,-0.086
STEAM1A,STEA_STEAM_1,-0.064,-0.064,GSNONR,1,1,4.217896174863387,11.402696001867534,250.0,18.0,-0.064
