station,UNITNAME,ResourceType,shift,capacity_maxHSL,pct_online,avg_output_MW_online,median_offer_at_dispatch,NAMEPLATEMW
KMCHI,,CCGT90,-0.065,607.0,100.0,224.07609685262045,29.719999313354492,
WHCCS2,,CCGT90,-0.095,1089.9000244140625,100.0,701.0235096690213,41.43499946594238,
KMCHI,TENASKA KIAMICHI STATION 1ST,CCGT90,-0.065,640.0,99.99146174863388,428.4289418832008,28.75,330.0
KMCHI,,CCGT90,-0.065,300.0,99.89350372736953,268.85632534881137,1.7000000476837158,
JACKCNTY,JACK COUNTY GEN FACILITY CTG 1,CCGT90,-0.066,631.0,99.75239071038251,483.2578777798763,19.229999542236328,198.9
LPCCS,LAMAR ENERGY CENTER STG 2,CCGT90,-0.065,588.0,98.58265027322405,519.2185077809305,23.93000030517578,216.0
JCKCNTY2,JACK COUNTY GEN FACILITY STG 2,CCGT90,-0.056,637.0,98.38627049180327,486.8268476196702,22.1200008392334,320.6
MDANP,MIDLOTHIAN ENERGY FACILITY CTG 4,SCGT90,-0.179,272.0,94.58674863387978,228.35649813700076,28.420000076293945,258.0
PANDA,PANDA SHERMAN POWER CTG 1,CCGT90,-0.066,733.0,94.5525956284153,476.9255817962593,25.25,232.0
WHCCS,WOLF HOLLOW POWER STG,CCGT90,-0.095,752.9000244140625,94.07445355191257,580.2782008409457,35.0,300.0
ETCCS,ENNIS POWER STATION CTG 2,CCGT90,-0.07,338.0,89.8224043715847,295.8834346872772,34.31999969482422,260.0
FRNYPP,FORNEY ENERGY CENTER STG 10,CCGT90,-0.061,942.0,89.78825136612022,787.812213459501,21.65999984741211,422.0
FRNYPP,FORNEY ENERGY CENTER STG 20,CCGT90,-0.061,936.0,87.03039617486338,781.9703151736937,22.100000381469727,422.0
LPCCS,LAMAR ENERGY CENTER STG 1,CCGT90,-0.065,561.0,85.34836065573771,492.7142755982398,22.049999237060547,216.0
MIL,R W MILLER STG 3,GSREH,-0.063,200.0,83.86270491803278,76.49228009042078,-250.0,216.01
MIL,R W MILLER STG 2,GSREH,-0.063,120.0,80.95969945355192,57.20147368385429,-250.0,120.0
MDANP,MIDLOTHIAN ENERGY FACILITY CTG 1,SCGT90,-0.087,270.0,80.15710382513662,233.0844890430322,29.809999465942383,258.0
WCPP,WISE-TRACTEBEL POWER CTG 1,CCGT90,-0.057,739.0,74.62431693989072,608.2150274263639,27.309999465942383,275.0
MDANP,MIDLOTHIAN ENERGY FACILITY CTG 6,SCGT90,-0.087,272.1000061035156,71.37124316939891,232.7880531951762,34.130001068115234,278.0
TEN,JOHNSON COUNTY GEN FACILITY CTG 1,CCGT90,-0.098,277.0,70.03927595628416,218.1365479852141,19.81999969482422,185.0
LHSES,LAKE HUBBARD STG 2,GSREH,-0.066,523.0,62.892759562841526,361.17846390814555,14.800000190734863,531.0
LHSES,LAKE HUBBARD STG 1,GSREH,-0.066,392.0,58.46140710382514,210.78294266257404,57.2400016784668,397.0
MCSES,MOUNTAIN CREEK STG 7,GSNONR,-0.082,118.0,46.16632513661202,36.34588065494864,125.0,118.0
STEAM,GREENVILLE IC ENGINE PLANT IC 2,DSL,-0.064,8.399999618530273,40.6676912568306,7.176123698738075,30.06999969482422,8.44
MCSES,MOUNTAIN CREEK STG 6,GSNONR,-0.082,122.0,34.04200819672131,33.557055135822125,100.0,122.0
MCSES,MOUNTAIN CREEK STG 8,GSSUP,-0.082,568.0,32.283128415300546,219.37003929278927,400.0,568.0
HLSES,HANDLEY STG 3,GSREH,-0.1,375.0,32.25751366120219,199.66264989882188,35.19499969482422,395.0
TNSKA,PARIS ENERGY CENTER CTG 2,CCGT90,-0.064,225.6999969482422,31.010928961748636,128.86880371749137,34.29999923706055,90.88
DEC,DENTON ENERGY CENTER IC D,DSL,-0.067,56.5,20.816256830601095,44.81078891347333,34.709999084472656,56.5
DEC,DENTON ENERGY CENTER IC C,DSL,-0.067,56.5,20.72233606557377,45.866931032928164,34.709999084472656,56.5
DEC,DENTON ENERGY CENTER IC B,DSL,-0.067,56.5,20.67110655737705,45.19292566373495,34.709999084472656,56.5
DEC,DENTON ENERGY CENTER IC A,DSL,-0.067,56.5,20.449112021857925,44.698497561373145,34.709999084472656,56.5
WHCCS2,WOLF HOLLOW 2 CTG 4,CCGT90,-0.095,789.2999877929688,20.218295218295218,168.66087385228712,24.540000915527344,360.0
HLSES,HANDLEY STG 4,GSREH,-0.1,435.0,19.93681693989071,261.2738529295176,75.0,435.0
HLSES,HANDLEY STG 5,GSREH,-0.1,435.0,17.016734972677597,270.20348338343905,110.5,435.0
OLINGR,RAY OLINGER STG 2,GSREH,-0.064,107.0,13.319672131147541,31.946652559745004,250.0,113.64
OLINGR,RAY OLINGER STG 3,GSREH,-0.064,146.0,11.936475409836065,37.143766798174944,250.0,156.6
SPNCER,SPENCER STG U4,GSNONR,-0.068,57.0,11.637636612021858,20.131660450930465,250.0,61.0
SPNCER,SPENCER STG U5,GSNONR,-0.068,61.0,8.341871584699453,19.553499110523486,250.0,65.0
STEAM,POWERLANE PLANT STG 3,GSNONR,-0.064,38.0,6.292691256830602,18.620466247827746,75.0,43.2
DCSES,DECORDOVA CTG 1,SCLE90,-0.086,91.4000015258789,6.019467213114754,67.78779651966501,899.3099975585938,89.48
STEAM1A,POWERLANE PLANT STG 1,GSNONR,-0.064,18.0,4.217896174863387,11.402696001867534,250.0,18.75
OLINGR,RAY OLINGER CTG 4,SCLE90,-0.064,82.0,2.0918715846994536,59.48057543696189,93.77999877929688,95.0
