From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Lim MVA,% of MVA Limit (Max),Labels All,,
1,ROANSPRARE,5,SANDYSW,1,Closed,Line,NO,-63.8,230,27.7,SNDYSS_RPR1,80857,8b72d775-85c9-4b35-8f2c-9336d7c94aaa
1,ROANSPRARE,964,GIBN_CREK_8,1,Closed,Line,NO,56.9,155,36.7,RPR_GIBC1,146090f9-9211-4e03-9069-ca9a7199e67b,3965
2,KEITHSW,4,IOLA,1,Closed,Line,NO,-194.2,230,84.4,IOLA_KEITHSW1,83,ddec2317-8fcc-435c-8639-06f8dd044ac6
2,KEITHSW,13,KEITH,1,Closed,Line,NO,44.1,490,9,KEI_KEITHSW1,95,f019d314-74a7-416f-bc54-37aed10ce0d5
2,KEITHSW,964,GIBN_CREK_8,1,Closed,Line,NO,315.1,478,65.9,GIBC_KEISW1,3462,8d396b7d-f6ce-465a-9bdf-5ea4f3a3bb07
2,KEITHSW,32879,BRYN_STPHLLW,1,Closed,Line,NO,-14.6,246,5.9,KEISW_STE1,3d85e87d-1b57-4c1f-877a-d3f8a1ffbc0d,4658
2,KEITHSW,120753,GRIM_SLR_8,1,Closed,Line,NO,-150.4,250,60.2,GRIMESTL1,0b7efe73-2956-4c80-adc3-de32583724f6,738662
4,IOLA,8,CRTCHFLD,1,Closed,Line,NO,89.3,230,38.8,CRTCHFLD_IOLA1,6863,d7460897-b703-4fe0-9df2-c6872792cb2d
4,IOLA,9,BEDIAS,1,Closed,Line,NO,-122.6,230,53.3,IOL_BED1,85,ff3ee085-07d7-4bbf-b7f3-56d7910acf5d
4,IOLA,120332,BLUEJAY_8,1,Closed,Line,NO,0,384,0,BLUEJAY_TLINE1,4dfbffc5-6bd0-4793-a03f-867e96a67bc0,522039
5,SANDYSW,7,SANDY,1,Closed,Line,NO,9.7,230,4.2,SNDYSS_SNDY1,80883,f007cd97-8fef-4909-9e21-460b550b9212
5,SANDYSW,8,CRTCHFLD,1,Closed,Line,NO,-73.6,230,32,SNDYSS_CRCHFLD1,3966,f8a4bb23-a53b-4976-a4c8-eb4c34080560
6,HWY6,32856,MILL_SW138,1,Closed,Line,NO,3.7,475,0.8,MILLSW_HWY61,51563,a7e90d83-3cde-41c5-9684-a073e9bfbfa8
9,BEDIAS,25,NORTHZULCH,1,Closed,Line,NO,-128.1,230,55.7,BED_NZL1,00c8245a-2cd0-4d10-87c5-07497b40e743,296
13,KEITH,17,CARLOSSW,1,Closed,Line,NO,34.8,490,7.1,KEI_CARL1,5322,9b6043fb-c453-4351-b837-0994fa470096
17,CARLOSSW,21,CARLOS,1,Closed,Line,NO,0,230,0,CAR_CAR1,18de2a5c-fb06-470b-a006-d78bb2108931,403
17,CARLOSSW,32000,CSST,1,Closed,Line,NO,34.8,480,7.3,CARLOSSW_CSSWC1,323,454c30ad-9d08-4fc4-b1e9-fc0a48494a84
25,NORTHZULCH,47,HILTOPLKS8,1,Closed,Line,NO,-133.6,230,58.1,NZL_HLK1,4109,70f26a03-d213-480a-b5fe-2d389321bec8
26,HAMNDSW,27,HAMMOND,1,Closed,Line,NO,3.3,230,1.4,HMNDSW_HMND1,306861,7284553f-bb42-4f84-8ccc-3444a99006c8
26,HAMNDSW,32,ROBERTSON,1,Closed,Line,NO,-8.2,121,6.7,RBS_HMNDSW1,5102,e386321d-ef69-414a-97fe-205162e20e8f
26,HAMNDSW,34,CALVERTMIN,1,Closed,Line,NO,4.9,121,4,HMNDSW_PHLPS1,306796,abeac5b1-adc8-4db8-bac2-5a41e1eeec66
31,HEARNECITY,36,HEARNE9,1,Closed,Line,NO,-45.8,115,39.8,HEA_HRN1,76,b389129a-f391-4e08-8f48-794abfba8b79
31,HEARNECITY,38,SUTTON,1,Closed,Line,NO,36.1,115,31.4,HEA_SUT1,3967,ffcdd023-fedb-465c-9cd4-dc8dcd025cf6
32,ROBERTSON,35,HEARNE8,1,Closed,Line,NO,85.9,121,71,RBS_HRN1,5094,d302eea9-0030-4346-99cb-5306c19ac523
32,ROBERTSON,37,RIDGE,1,Closed,Line,NO,-114.3,287,39.8,RBS_RIDG1,3929399a-8054-4388-a143-504d1106c017,5103
32,ROBERTSON,3707,CANNON_8,1,Closed,Line,NO,20.3,206.3,9.8,1267_A,00199401-0161-45e7-94ef-f11a787d98c5,747861
33,WATSONCHPL,37,RIDGE,1,Closed,Line,NO,119.5,384,31.1,RIDG_WATS1,5287,57dc5cf5-497c-4488-90de-4b5cb718698b
33,WATSONCHPL,41,SKIPPER,1,Closed,Line,NO,-130.7,266,49.1,WATSN_SKIPR1,438118,cc2e02bc-5533-487f-b5d0-79b51b993e65
33,WATSONCHPL,42,TIMBERCST,1,Closed,Line,NO,-132.7,274,48.4,TMBCST_WATSN,683479,bf3813f1-7bbb-40e5-876e-0e28985b6557
33,WATSONCHPL,47,HILTOPLKS8,1,Closed,Line,NO,143.9,166,86.7,WAT_HLK1,4314,4f63a1d7-14b0-446f-8cb2-9f7ac9c3e823
35,HEARNE8,39,GOODLAND,1,Closed,Line,NO,96.1,121,79.4,HRN_GOOD1,509275,a2b5166e-413f-4eec-8053-6186c0357167
36,HEARNE9,35,HEARNE8,1,Closed,Transformer,YES,10.2,100,10.2,HRNNAT1,279101,449a699d-ad08-44bc-bb41-35f7933581aa
36,HEARNE9,53,ELLIOTT,1,Closed,Line,NO,-22.5,133,16.9,HRN_ELT1,4572,7c855485-ec41-41aa-8e2b-a686be7cc2db
36,HEARNE9,61,BRANCHVILE,1,Closed,Line,NO,-33.5,115,29.1,HRN_BRAN1,84,9eacc219-cf4e-47bd-9520-d9f176041797
38,SUTTON,32870,BRYN_TABOR69,1,Closed,Line,NO,31.8,115,27.7,SUTN_TABOR1,267f9303-09bb-4bd6-8efc-7641f5fa33c1,4229
