teid,branch_id,base_model_status,implied_default_status,pct_closed,base_from_name,base_to_name,base_circuit,base_device_type,from_bus,to_bus,ckt,DeviceType,match_type
1012,60000905.0,Open,Closed,1.0,EQUIPIPE1_9,BLOOMGRV1_9,1,Line,EQUIPIPE1_9,BLOOMGRV1_9,1,Line,direct_label
1020,60003624.0,Open,Closed,0.85,ODEM2A,CAL_WWKS2A,1,Line,CAL_WWKS2A,ODEM2A,1,Line,direct_label
1109,60009123.0,Open,Closed,1.0,CHERRTAP2A,CHERRYCR2A,1,Line,CHERRTAP2A,CHERRYCR2A,1,Line,direct_label
1124,60010907.0,Open,Closed,1.0,CHERRTAP2A,SGSA2A,1,Line,SGSA2A,CHERRTAP2A,1,Line,direct_label
1126,60007364.0,Open,Closed,1.0,STER2A,STCO2A,1,Line,STER2A,STCO2A,1,Line,direct_label
1133,60008072.0,Open,Closed,1.0,JACKSONS2A,SAWA2A,1,Line,SAWA2A,JACKSONS2A,1,Line,direct_label
1141,60006194.0,Open,Closed,0.85,MILES2A,ROWE2A,1,Line,ROWE2A,MILES2A,1,Line,direct_label
1242,60004516.0,Open,Closed,0.85,EDEN2A,MCLC2A,1,Line,EDEN2A,MCLC2A,1,Line,direct_label
1289,60001415.0,Open,Closed,1.0,PSTNTH2_8,MDWCK2_8,1,Line,PSTNTH2_8,MDWCK2_8,1,Line,direct_label
1294,60001434.0,Open,Closed,1.0,NTHLK_1T8,IRVLBJ_E8,1,Line,NTHLK_1T8,IRVLBJ_E8,1,Line,direct_label
1295,60001439.0,Open,Closed,0.526,NTHLK_S8,IRV_VR1_8,1,Line,NTHLK_S8,IRV_VR1_8,1,Line,direct_label
1301,60001447.0,Open,Closed,0.5,NTHLK_N8,NLKPMP1T_8,1,Line,NTHLK_N8,NLKPMP1T_8,1,Line,direct_label
132827,60002676.0,Open,Closed,1.0,SPRINGCRK,PL_COMM2_8,1,Line,SPRINGCRK,PL_COMM2_8,1,Line,direct_label
1364,60000659.0,Open,Closed,0.85,MCGREGPH1_8,MCGREG_T_8,2,Line,MCGREGPH1_8,MCGREG_T_8,1,Line,direct_label
1365,60000660.0,Open,Closed,0.9,SPGVALLYP_8,MCGREG_T_8,1,Line,SPGVALLYP_8,MCGREG_T_8,1,Line,direct_label
1384,60000725.0,Open,Closed,1.0,BRNSBORO_9,CHANDLERW_9,1,Line,BRNSBORO_9,CHANDLERW_9,1,Line,direct_label
1423,60003112.0,Open,Closed,1.0,TEMP_PEC__8,LMWD_SLR_8,2,Line,BRYN_ATK69,BRYN_BRCREST,1,Line,direct_label
1513,60011476.0,Open,Closed,1.0,ODESEHV_8,LIQDAIR_8,1,Line,ODESEHV_8,LIQDAIR_8,1,Line,direct_label
173,60002449.0,Open,Closed,1.0,BOMARTON_9,SEYMOUR_9,1,Line,SEYMOUR_9,BOMARTON_9,1,Line,direct_label
1792,60002000.0,Open,Closed,1.0,ROSEN1_T8,ROSEN1_8,1,Line,ROSEN1_T8,ROSEN1_8,1,Line,direct_label
1824,60009608.0,Open,Closed,1.0,DYESS2AB2A,DYESS3AB2A,1,Line,DYESS3AB2A,DYESS2AB2A,1,Line,direct_label
1840,60006054.0,Open,Closed,0.85,MASN2A,PHMA2A,1,Line,MASN2A,PHMA2A,1,Line,direct_label
185181,60008980.0,Open,Closed,1.0,GRNVL_W8,PRENTICPOD_8,1,Line,PRENTICPOD_8,GRNVL_W8,1,Line,direct_label
186600,60091191.0,Open,Closed,0.8,SLGRLAKE_8,RINGO,1,Line,SLGRLAKE_8,RINGO,1,Line,direct_label
1886,60009122.0,Open,Closed,1.0,VERH2A,CHERRTAP2A,1,Line,CHERRTAP2A,VERH2A,1,Line,direct_label
1903,60006861.0,Open,Closed,1.0,TEXT2A,RANKIN42A,1,Line,RANKIN42A,TEXT2A,1,Line,direct_label
1906,60003386.0,Open,Closed,1.0,BLF_CRK4A,H_HOLLOW_1_8,1,Line,H_HOLLOW_1_8,BLF_CRK4A,1,Line,direct_label
1909,60006055.0,Open,Closed,0.632,PHMA2A,MASW2A,1,Line,PHMA2A,MASW2A,1,Line,direct_label
193,60005283.0,Open,Closed,0.95,PONY_7_8,HHOLLOW2_1_8,1,Line,HHOLLOW2_1_8,PONY_7_8,1,Line,direct_label
1934,60004058.0,Open,Closed,1.0,VRBS2A,CONCHO2A,1,Line,VRBS2A,CONCHO2A,1,Line,direct_label
1955,60009097.0,Open,Closed,0.9,BALLINGE2A,ROWE2A,1,Line,BALLINGE2A,ROWE2A,1,Line,direct_label
2048,60002524.0,Open,Closed,0.526,CANTNSW_8,VAN_8,1,Line,CANTNSW_8,VAN_8,1,Line,direct_label
2051,60002560.0,Open,Closed,0.75,NTHLK_S8,CRLTN_NW_E8,6,Line,CRLTN_NW_W8,NTHLK_S8,6,Line,direct_label
2073,60002591.0,Open,Closed,0.55,COPELL_S_8,HACKBRY1_8,1,Line,COPELL_S_8,HACKBRY1_8,1,Line,direct_label
2122,60002791.0,Open,Closed,0.611,MABANK_8,PAULINE_8,1,Line,MABANK_8,EUSTACE_8,1,Line,direct_label
2145,60001886.0,Open,Closed,1.0,WALLEYE_8,SAND_TXU_8,3,Line,ALCON1_8,ALCON1_T8,1,Line,direct_label
218462,60005392.0,Open,Closed,0.714,VERH2A,HOEFSROA2A,1,Line,VERH2A,HOEFSROA2A,1,Line,direct_label
2204,60001972.0,Open,Closed,0.8,PARKROW1_8,POLY_AM1_8,1,Line,PARKROW1_8,POLY_AM1_8,1,Line,direct_label
222967,60008515.0,Open,Closed,0.9,CENIZO7B,CENIZO7C,S1,Series Cap,CENIZO7C,CENIZO7B,S1,Line,direct_label
223780,60011938.0,Open,Closed,1.0,REDSWTAP8,RGTAP4A,1,Line,RGTAP4A,REDSWTAP8,1,Line,direct_label
2443,60011269.0,Open,Closed,1.0,SHELDN_POI_5,CVC_2_5,02,Line,SHELDN_POI_5,CVC_2_5,02,Line,direct_label
2531,60009031.0,Open,Closed,1.0,ABNTHWST4B,ELMCRK4A,1,Line,ELMCRK4A,ABNTHWST4B,1,Line,direct_label
2567,60005239.0,Open,Closed,1.0,HSKLTAP22A,HASR2A,1,Line,HASR2A,HSKLTAP22A,1,Line,direct_label
2589,60002545.0,Open,Closed,1.0,JAXVLNTA_9,JAXVLNOR_9,1,Line,JAXVLNTA_9,JAXVLNOR_9,1,Line,direct_label
