teid,branch_id,base_model_status,implied_default_status,pct_closed,base_from_name,base_to_name,base_circuit,base_device_type,from_bus,to_bus,ckt,DeviceType,match_type
1012,60000905.0,Open,Closed,1.0,EQUIPIPE1_9,BLOOMGRV1_9,1,Line,EQUIPIPE1_9,BLOOMGRV1_9,1,Line,direct_label
107357,60008804.0,Closed,Open,0.1,L_FAYETT5_1Y,1000,3,Transformer,L_FAYETT5_1Y,1000,3,Transformer,direct_label
1126,60007364.0,Open,Closed,1.0,STER2A,STCO2A,1,Line,STER2A,STCO2A,1,Line,direct_label
1133,60008072.0,Open,Closed,1.0,JACKSONS2A,SAWA2A,1,Line,SAWA2A,JACKSONS2A,1,Line,direct_label
132827,60002676.0,Open,Closed,1.0,SPRINGCRK,PL_COMM2_8,1,Line,SPRINGCRK,PL_COMM2_8,1,Line,direct_label
1513,60011476.0,Open,Closed,1.0,ODESEHV_8,LIQDAIR_8,1,Line,ODESEHV_8,LIQDAIR_8,1,Line,direct_label
1567,60003376.0,Closed,Open,0.143,BLF_CRK4A,BUFF_GAP_2_8,1,Line,BUFF_GAP_2_8,BLF_CRK4A,1,Line,direct_label
173,60002449.0,Open,Closed,1.0,BOMARTON_9,SEYMOUR_9,1,Line,SEYMOUR_9,BOMARTON_9,1,Line,direct_label
1792,60002000.0,Open,Closed,1.0,ROSEN1_T8,ROSEN1_8,1,Line,ROSEN1_T8,ROSEN1_8,1,Line,direct_label
1824,60009608.0,Open,Closed,1.0,DYESS2AB2A,DYESS3AB2A,1,Line,DYESS3AB2A,DYESS2AB2A,1,Line,direct_label
185181,60008980.0,Open,Closed,1.0,GRNVL_W8,PRENTICPOD_8,1,Line,PRENTICPOD_8,GRNVL_W8,1,Line,direct_label
1903,60006861.0,Open,Closed,1.0,TEXT2A,RANKIN42A,1,Line,RANKIN42A,TEXT2A,1,Line,direct_label
193,60005283.0,Open,Closed,0.95,PONY_7_8,HHOLLOW2_1_8,1,Line,HHOLLOW2_1_8,PONY_7_8,1,Line,direct_label
1970,60003101.0,Open,Closed,1.0,BRNWD1_9,DUBLIN1_9,1,Line,ASPM2A,CONA2A,1,Line,direct_label
2071,60103475.0,Closed,Open,0.0,CRLTN_NW_W8,NTHLK_N8,1,Line,CRLTN_NW_W8,NTHLK_N8,1,Line,direct_label
208470,60008125.0,Open,Closed,1.0,RGTAP4A,NEDIN4A,1,Line,NEDIN4A,RGTAP4A,1,Line,direct_label
2149,60001890.0,Closed,Open,0.158,PAFFRD1_8,WDGWD2_T8,1,Line,PAFFRD1_8,WDGWD2_T8,1,Line,direct_label
2157,60001904.0,Closed,Open,0.263,PAFFRD2_8,WDGWD1_T8,1,Line,PAFFRD2_8,WDGWD1_T8,1,Line,direct_label
222967,60008515.0,Open,Closed,0.9,CENIZO7B,CENIZO7C,S1,Series Cap,CENIZO7C,CENIZO7B,S1,Line,direct_label
223780,60011938.0,Open,Closed,1.0,REDSWTAP8,RGTAP4A,1,Line,RGTAP4A,REDSWTAP8,1,Line,direct_label
2531,60009031.0,Open,Closed,1.0,ABNTHWST4B,ELMCRK4A,1,Line,ELMCRK4A,ABNTHWST4B,1,Line,direct_label
2567,60005239.0,Open,Closed,1.0,HSKLTAP22A,HASR2A,1,Line,HASR2A,HSKLTAP22A,1,Line,direct_label
2589,60002545.0,Open,Closed,1.0,JAXVLNTA_9,JAXVLNOR_9,1,Line,JAXVLNTA_9,JAXVLNOR_9,1,Line,direct_label
279229,60007581.0,Closed,Open,0.421,TEMP_SS__9,TEMP_SS__8,1,Transformer,TEMP_SS__8,TEMP_SS__9,1,Transformer,direct_label
