teid,branch_id,n_snapshots,n_status_rows,n_closed,n_open,pct_closed,default_status_majority,review_flag
1,60003279,20,20,20,0,1.0,Closed,clear_majority
3,60000598,20,20,20,0,1.0,Closed,clear_majority
4,60000596,20,20,20,0,1.0,Closed,clear_majority
5,60000597,20,20,20,0,1.0,Closed,clear_majority
6,60001807,20,20,20,0,1.0,Closed,clear_majority
7,60002331,20,20,20,0,1.0,Closed,clear_majority
11,60002434,20,20,17,3,0.85,Closed,clear_majority
15,60002333,20,20,18,2,0.9,Closed,clear_majority
16,60002454,20,20,20,0,1.0,Closed,clear_majority
17,60004457,20,20,20,0,1.0,Closed,clear_majority
18,60002925,20,20,20,0,1.0,Closed,clear_majority
19,60003128,20,20,20,0,1.0,Closed,clear_majority
20,60003193,20,20,20,0,1.0,Closed,clear_majority
21,60003194,20,20,20,0,1.0,Closed,clear_majority
22,60003454,20,20,20,0,1.0,Closed,clear_majority
23,60003460,20,20,20,0,1.0,Closed,clear_majority
25,60004047,20,20,20,0,1.0,Closed,clear_majority
26,60004095,20,20,20,0,1.0,Closed,clear_majority
27,60004105,20,20,20,0,1.0,Closed,clear_majority
28,60001226,0,0,0,0,,,no_pto_data
29,60001223,20,20,20,0,1.0,Closed,clear_majority
30,60001220,20,20,20,0,1.0,Closed,clear_majority
31,60001859,20,20,20,0,1.0,Closed,clear_majority
32,60006530,20,20,20,0,1.0,Closed,clear_majority
33,60002027,20,20,20,0,1.0,Closed,clear_majority
34,60002195,20,20,20,0,1.0,Closed,clear_majority
35,60002565,20,20,20,0,1.0,Closed,clear_majority
36,60002575,20,20,20,0,1.0,Closed,clear_majority
37,60001750,20,20,20,0,1.0,Closed,clear_majority
38,60007385,20,20,20,0,1.0,Closed,clear_majority
40,60006614,20,20,20,0,1.0,Closed,clear_majority
41,60002716,16,16,8,8,0.5,Closed,mixed
42,60006680,20,20,20,0,1.0,Closed,clear_majority
43,60002783,20,20,20,0,1.0,Closed,clear_majority
44,60002803,20,20,20,0,1.0,Closed,clear_majority
45,60000014,18,18,18,0,1.0,Closed,clear_majority
46,60000941,20,20,14,6,0.7,Closed,mixed
47,60003940,20,20,20,0,1.0,Closed,clear_majority
48,60002387,20,20,20,0,1.0,Closed,clear_majority
49,60002388,20,20,20,0,1.0,Closed,clear_majority
50,60002389,20,20,20,0,1.0,Closed,clear_majority
60,60004827,20,20,20,0,1.0,Closed,clear_majority
61,60004828,20,20,20,0,1.0,Closed,clear_majority
62,60004962,20,20,20,0,1.0,Closed,clear_majority
63,60005012,20,20,20,0,1.0,Closed,clear_majority
64,60005017,20,20,20,0,1.0,Closed,clear_majority
65,60005061,20,20,20,0,1.0,Closed,clear_majority
66,60005105,20,20,20,0,1.0,Closed,clear_majority
67,60005114,20,20,20,0,1.0,Closed,clear_majority
68,60005116,20,20,20,0,1.0,Closed,clear_majority
70,60002127,20,20,20,0,1.0,Closed,clear_majority
71,60000161,20,20,20,0,1.0,Closed,clear_majority
72,60005154,20,20,17,3,0.85,Closed,clear_majority
74,60005217,20,20,20,0,1.0,Closed,clear_majority
76,60005262,20,20,20,0,1.0,Closed,clear_majority
77,60005319,20,20,20,0,1.0,Closed,clear_majority
78,60008360,20,20,20,0,1.0,Closed,clear_majority
80,60005370,20,20,20,0,1.0,Closed,clear_majority
81,60005371,20,20,20,0,1.0,Closed,clear_majority
82,60005372,20,20,20,0,1.0,Closed,clear_majority
83,60005484,20,20,20,0,1.0,Closed,clear_majority
84,60005415,20,20,20,0,1.0,Closed,clear_majority
85,60005483,20,20,20,0,1.0,Closed,clear_majority
86,60005491,20,20,20,0,1.0,Closed,clear_majority
87,60005492,20,20,20,0,1.0,Closed,clear_majority
88,60005504,20,20,20,0,1.0,Closed,clear_majority
89,60005508,20,20,20,0,1.0,Closed,clear_majority
90,60007891,20,20,20,0,1.0,Closed,clear_majority
91,60005556,20,20,20,0,1.0,Closed,clear_majority
93,60005564,20,20,20,0,1.0,Closed,clear_majority
94,60005590,20,20,20,0,1.0,Closed,clear_majority
95,60005594,20,20,20,0,1.0,Closed,clear_majority
99,60005670,20,20,20,0,1.0,Closed,clear_majority
100,60005673,20,20,20,0,1.0,Closed,clear_majority
102,60005689,20,20,19,1,0.95,Closed,clear_majority
103,60005690,20,20,20,0,1.0,Closed,clear_majority
104,60005691,20,20,20,0,1.0,Closed,clear_majority
105,60005730,20,20,20,0,1.0,Closed,clear_majority
106,60005732,20,20,20,0,1.0,Closed,clear_majority
107,60005833,20,20,20,0,1.0,Closed,clear_majority
108,60005846,20,20,20,0,1.0,Closed,clear_majority
109,60005856,20,20,20,0,1.0,Closed,clear_majority
110,60005857,20,20,20,0,1.0,Closed,clear_majority
111,60005858,20,20,20,0,1.0,Closed,clear_majority
112,60005860,20,20,20,0,1.0,Closed,clear_majority
113,60005975,20,20,20,0,1.0,Closed,clear_majority
115,60104026,7,7,6,1,0.857,Closed,clear_majority
116,60006100,20,20,20,0,1.0,Closed,clear_majority
117,60006225,20,20,20,0,1.0,Closed,clear_majority
118,60006226,20,20,20,0,1.0,Closed,clear_majority
119,60006234,20,20,20,0,1.0,Closed,clear_majority
123,60009428,20,20,20,0,1.0,Closed,clear_majority
124,60006449,20,20,20,0,1.0,Closed,clear_majority
125,60002409,20,20,20,0,1.0,Closed,clear_majority
126,60003557,20,20,20,0,1.0,Closed,clear_majority
127,60002906,20,20,20,0,1.0,Closed,clear_majority
128,60007381,20,20,20,0,1.0,Closed,clear_majority
129,60002904,20,20,20,0,1.0,Closed,clear_majority
130,60003323,20,20,20,0,1.0,Closed,clear_majority
131,60004117,20,20,19,1,0.95,Closed,clear_majority
132,60003681,20,20,20,0,1.0,Closed,clear_majority
133,60004622,17,17,17,0,1.0,Closed,clear_majority
134,60004694,20,20,20,0,1.0,Closed,clear_majority
135,60003458,20,20,20,0,1.0,Closed,clear_majority
