teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
519,60007734.0,10768.0,PLACEDOSUB9,VANDERBLTSB9,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Line,matched,default,default,ok,clear_majority,Closed,0.9973,Closed,1.0
670184,60091702.0,11802.0,POTOSI_T4A,CERRORIC4A,1,Closed,dampsse_inservice,2024-12-04 16:00:00,2099-12-31 00:00:00,Line,matched,energization_outage,default,ok,mixed,Closed,0.7557,Closed,0.75
579211,60012237.0,3192.0,TNTXCITYMN1,TNCATTAIL_1,1,Closed,dampsse_inservice,2022-09-30 15:01:00,2099-12-31 00:00:00,Line,matched,energization_outage,default,ok,clear_majority,Closed,1.0,Closed,1.0
25363,60007219.0,9052.0,SILVER,SILR2A,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Line,matched,default,default,ok,clear_majority,Closed,1.0,Closed,1.0
713,60002138.0,237.0,WHITE2_T8,WHITE2_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Line,matched,default,default,ok,clear_majority,Closed,1.0,Closed,1.0
1019,60001232.0,8051.0,L_WIRTZ_8_1Y,L_BURNET8_1Y,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Line,matched,default,default,multiple_confirmed_retirement_events,clear_majority,Closed,0.9916,Closed,1.0
392116,60009833.0,1642.0,TNARROWHD_1,LOTEBUSH4A,1,Closed,dampsse_inservice,2019-02-21 17:11:00,2099-12-31 00:00:00,Line,matched,energization_outage,default,ok,clear_majority,Closed,0.999,Closed,1.0
747861,60113935.0,13233.0,ROBERTSON,CANNON_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Line,duplicate_resolved_by_opeqcode,default,default,evidence_dropped_wrong_device,clear_majority,Closed,1.0,Closed,1.0
1721,60000708.0,4953.0,WACO_MM11_8,WACOMMP11_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Line,matched,default,default,ok,clear_majority,Closed,0.993,Closed,1.0
603719,60092515.0,888.0,YNG_WND_5,THOMPRCE_5,1,Closed,dampsse_inservice,2022-12-08 20:42:00,2099-12-31 00:00:00,Line,duplicate_resolved_by_opeqcode,energization_outage,default,ok,no_pto_data,Closed,0.9989,,
