teid,old_branch_id,old_branch_name,old_op_eqcode,recommended_collapseid,new_branch_name,new_op_eqcode,confidence
70,60002127,6429_C,6429__C,60079044,6437_C,6437__C,probable_renamed_duplicate
162,60002718,890_B,890__B,60011504,895C,895_C,probable_renamed_duplicate
316,60002182,6475_F,6475__F,60011481,6513_A,6513__A,probable_renamed_duplicate
362,60005918,LONEWOLF,LONEWOLF_1,60011187,LONEWOLF_TLINE1,LONEWOLF_TLINE_1,probable_renamed_duplicate
423,60002704,870_A,870__A,60114829,685_B,685__B,probable_renamed_duplicate
450,60000367,13998T485,13998T485_1,60008713,904T4851,904T485_1,probable_renamed_duplicate
564,60007176,SHARPT_WYLE1,SHARPT_WYLE1_1_,60064538,SHARPT_WYLE11,SHARPT_WYLE1_1,probable_renamed_duplicate
580,60001568,459T459,459T459_1,60009568,R5_KENDL1,R5_KENDL_1,probable_renamed_duplicate
770,60000066,1060_C_OldTeid,1060__C_OldTeid,60092055,1085_C,1085__C,probable_renamed_duplicate
771,60000067,1060_D,1060__D,60092056,1085_D,1085__D,probable_renamed_duplicate
775,60000064,1060_A_OldTeid,1060__A_OldTeid,60092054,1085_B,1085__B,probable_renamed_duplicate
777,60000075,1060_L,1060__L,60092057,1085_E,1085__E,probable_renamed_duplicate
778,60000076,1060_M,1060__M,60092059,1085_G,1085__G,probable_renamed_duplicate
779,60000077,1060_N,1060__N,60092058,1085_F,1085__F,probable_renamed_duplicate
912,60000749,198T187,198T187_1,60009131,635T6351,635T635_1,probable_renamed_duplicate
966,60001345,359T543,359T543_1,60008106,359T5421,359T542_1,probable_renamed_duplicate
983,60000862,2200,2200__A,60093159,2210_A,2210__A,probable_renamed_duplicate
1056,60000149,11468T463,11468T463_1,60009723,993T6971,993T697_1,probable_renamed_duplicate
1107,60000714,18T128,18T128_1,60009654,672T6721,672T672_1,probable_renamed_duplicate
1216,60002742,921_A,921__A,60012122,922_A,922__A,probable_renamed_duplicate
1323,60000818,215_A,215__A,60110566,215,215__A,confirmed_exact_duplicate
1351,60007915,Y1_C4,Y1_C4_1,60009579,C4_Y11,C4_Y1_1,probable_renamed_duplicate
1508,60002075,6360_E_OldTeid,6360__E_OldTeid,60093161,6385_B,6385__B,probable_renamed_duplicate
1513,60002219,6510_H_OldTeid,6510__H_OldTeid,60011476,6512_D,6512__D,probable_renamed_duplicate
1589,60000074,1060_K,1060__K,60092050,1054_C,1054__C,probable_renamed_duplicate
1599,60002410,6780_B,6780_B_1,60009029,LONGWR_ROBY11,LONGWR_ROBY1_1,probable_renamed_duplicate
1613,60001212,3350_B,3350__B,60011918,3340_H,3340__H,probable_renamed_duplicate
1778,60001713,565_B_OldTeid,565__B_OldTeid,60011907,567_D,567__D,probable_renamed_duplicate
1780,60001871,6100_I,6100__I,60010860,6101_I,6101__I,probable_renamed_duplicate
1787,60001968,620_A,620__A,60094884,605_A,605__A,probable_renamed_duplicate
1978,60000673,1850_D,1850__D,60012131,1853_A,1853__A,probable_renamed_duplicate
2081,60002787,970_D,970__D,60113993,985_B,985__B,probable_renamed_duplicate
2104,60001744,583_A,583__A,60090606,595_A,595__A,probable_renamed_duplicate
2140,60001870,6100_H,6100__H,60010859,6101_H,6101__H,probable_renamed_duplicate
2221,60002643,810_A,810__A,60098946,825_B,825__B,probable_renamed_duplicate
2232,60001986,625_A,625__A,60095212,615_A,615__A,probable_renamed_duplicate
2244,60002009,6270_E,6270__E,60009200,6277_C,6277__C,probable_renamed_duplicate
2279,60000120,11093T485,11093T485_1,60008712,984T4851,984T485_1,probable_renamed_duplicate
2290,60006694,PHR_AT2L_H,PHR_AT2L_H,60111452,PHR_AT2_H,PHR_AT2_H,probable_renamed_duplicate
2373,60001213,3350_C,3350__C,60011906,3340_F,3340__F,probable_renamed_duplicate
2374,60001214,3350_D,3350__D,60011919,3340_G,3340__G,probable_renamed_duplicate
2429,60000987,247T1241,247T124_1,60110574,247T124,247T124_1,confirmed_exact_duplicate
2465,60002558,70T342,70T342_1,60011238,675T6751,675T675_1,probable_renamed_duplicate
2476,60004318,DKE_JAT,DKE_JAT_1,60009025,DKEC_JATN11,DKEC_JATN1_1,probable_renamed_duplicate
2477,60003927,CKT_9631_OldTeid,CKT_963_1_OldTeid,60112997,CKT_963OLD1,CKT_963OLD_1,probable_renamed_duplicate
2503,60003351,BL_HOC05A,BL_HOC05_A,60110581,BL_HOC05,BL_HOC05_A,confirmed_exact_duplicate
2532,60000579,168T208,168T208_1,60009686,700T7001,700T700_1,probable_renamed_duplicate
2538,60004736,FOR_FRD,FOR_FRD_1,60008657,943T3511,943T351_1,probable_renamed_duplicate
2556,60000189,121T397,121T397_1,60009682,658T6581,658T658_1,probable_renamed_duplicate
2605,60000691,186T170,186T170_1,60009690,667T6671,667T667_1,probable_renamed_duplicate
2668,60001501,404T455,404T455_1,60009911,664T6641,664T664_1,probable_renamed_duplicate
2677,60000669,184T232,184T232_1,60009140,652T6521,652T652_1,probable_renamed_duplicate
2727,60006818,Q3_AMD_SA,Q3_AMD_SA_1,60009563,Q3_W31,Q3_W3_1,probable_renamed_duplicate
2756,60000201,1230_D,1230__D,60114748,1375_B,1375__B,probable_renamed_duplicate
2757,60000202,1230_E,1230__E,60114760,1265_B,1265__B,probable_renamed_duplicate
2771,60000219,1240_K,1240__K,60012640,1245_A,1245__A,probable_renamed_duplicate
2772,60000220,1240_N,1240__N,60012688,1250_N,1250__N,probable_renamed_duplicate
2789,60000739,195T260,195T260_1,60009142,670T6701,670T670_1,probable_renamed_duplicate
2790,60000776,202T467,202T467_1,60009139,671T6711,671T671_1,probable_renamed_duplicate
2822,60005826,LHILL_WARBU_1B,LHILL_WARBU_1B_1,60009587,MEDIOC_WARBUR11,MEDIOC_WARBUR1_1,probable_renamed_duplicate
2839,60000173,1181T393,1181T393_1,60008649,994T3931,994T393_1,probable_renamed_duplicate
2840,60001040,274T155,274T155_1,60010920,702T7021,702T702_1,probable_renamed_duplicate
2904,60000417,1435T214,1435T214_1,60008700,924T2141,924T214_1,probable_renamed_duplicate
2962,60002258,6585,6585__A,60009486,ESKSW_TRNT11,ESKSW_TRNT1_1,probable_renamed_duplicate
2966,60000185,1210_A_OldTeid,1210__A_OldTeid,60012563,1215_A,1215__A,probable_renamed_duplicate
3021,60000958,239T281,239T281_1,60010917,9524_T214891,9524_T21489_1,probable_renamed_duplicate
3126,60001486,395_A,395_A_1,60092473,395_A_1,395_A__1,probable_renamed_duplicate
3160,60001507,40T1891,40T189_1,60107558,40T189,40T189_1,confirmed_exact_duplicate
3176,60000200,1230_C,1230__C,60114747,1375_A,1375__A,probable_renamed_duplicate
3195,60000459,1520_D,1520__D,60011530,1525_B,1525__B,probable_renamed_duplicate
3196,60000460,1520_E,1520__E,60011538,1525_C,1525__C,probable_renamed_duplicate
3232,60000810,210T574,210T574_1,60009144,649T6491,649T649_1,probable_renamed_duplicate
3274,60002724,89T2041,89T204_1,60110572,89T204,89T204_1,confirmed_exact_duplicate
3305,60006517,OLI_BEN11,OLI_BEN1_1,60110564,OLI_BEN1,OLI_BEN1_1,confirmed_exact_duplicate
3309,60007452,T4_V0_1,T4_V0_1_1,60010208,T4_V01,T4_V0_1,probable_renamed_duplicate
3338,60000299,133T479,133T479_1,60012189,1781T4791,1781T479_1,probable_renamed_duplicate
3354,60001277,346T463,346T463_1,60009724,346T6971,346T697_1,probable_renamed_duplicate
3358,60006283,MV_MV_6,MV_MV_6_1,60008029,MCOOK1_MCOOK21,MCOOK1_MCOOK2_1,probable_renamed_duplicate
3359,60000462,152T176,152T176_1,60011557,715T7141,715T714_1,probable_renamed_duplicate
3366,60000654,181T274,181T274_1,60009688,696T6961,696T696_1,probable_renamed_duplicate
3391,60006306,N5_P4,N5_P4_1,60009584,N5_P4_11,N5_P4_1_1,probable_renamed_duplicate
3402,60000513,160T216,160T216_1,60011559,698T6981,698T698_1,probable_renamed_duplicate
3413,60006644,PC1TIE,PC1TIE_1,60010142,PC1_TIE1,PC1_TIE_1,probable_renamed_duplicate
3440,60000759,2000T159,2000T159_1,60008704,927T1591,927T159_1,probable_renamed_duplicate
3446,60002802,995_A,995__A,60110567,995,995__A,confirmed_exact_duplicate
3471,60003019,AM_HOC26A,AM_HOC26_A,60110582,AM_HOC26,AM_HOC26_A,confirmed_exact_duplicate
3497,60000256,128T157,128T157_1,60012175,128T7011,128T701_1,probable_renamed_duplicate
3540,60006198,MILITA_OLMITO11,MILITA_OLMITO1_1,60110577,MILITA_OLMITO1,MILITA_OLMITO1_1,confirmed_exact_duplicate
3569,60000252,127T157,127T157_1,60012174,701T7011,701T701_1,probable_renamed_duplicate
3572,60002896,ADERHO_DUKE1,ADERHO_DUKE1_1,60009007,ADERHO_HEC11,ADERHO_HEC1_1,probable_renamed_duplicate
3596,60004663,F3_E0,F3_E0_1,60009580,E0_F31,E0_F3_1,probable_renamed_duplicate
3632,60006196,MILIT21,MILIT2_1,60110570,MILIT2,MILIT2_1,confirmed_exact_duplicate
3703,60001085,3051,3051_1,60008025,WESLCO_HIDLBRG1,WESLCO_HIDLBRG_1,probable_renamed_duplicate
3705,60001007,256_A,256_A_1,60092468,256_A_1,256_A__1,probable_renamed_duplicate
3739,60007027,S103,S103_1,60008661,BURNS_HEIDLBRG1,BURNS_HEIDLBRG_1,probable_renamed_duplicate
3773,60001834,6085_D,6085_D_1,60092474,6085_D_1,6085_D__1,probable_renamed_duplicate
3782,60005566,JOURDN_PLEASA1,JOURDN_PLEASA1_1,60009160,JOURDN_PLEASN11,JOURDN_PLEASN1_1,probable_renamed_duplicate
3784,60006570,P4_T5,P4_T5_1,60009578,P4_T5_11,P4_T5_1_1,probable_renamed_duplicate
3821,60001046,27T187,27T187_1,60009130,27T6351,27T635_1,probable_renamed_duplicate
3947,60007911,X2_D1,X2_D1_1,60009569,D1_X21,D1_X2_1,probable_renamed_duplicate
3961,60000030,102T375,102T375_1,60011555,699T6991,699T699_1,probable_renamed_duplicate
3970,60002360,66T121,66T121_1,60009679,662T6621,662T662_1,probable_renamed_duplicate
4012,60007437,T249,T249_G1,60010249,8007T8007G1,8007T8007_G1,probable_renamed_duplicate
4014,60004447,DUKE_NEDIN1,DUKE_NEDIN1_1,60009168,HEC_NEDIN11,HEC_NEDIN1_1,probable_renamed_duplicate
4024,60007028,S104A,S104A_1,60008662,BURNS_RIOHONDO1,BURNS_RIOHONDO_1,probable_renamed_duplicate
4025,60004245,DCT_OKL,DCT_OKL_1,60009597,DCTM_OKLA11,DCTM_OKLA1_1,probable_renamed_duplicate
4026,60000965,240T281,240T281_1,60010918,9525_T215011,9525_T21501_1,probable_renamed_duplicate
4068,60005861,LKW_WHIT,LKW_WHIT_1,60094859,69_LWH_WHT,69_LWH_WHT_1,probable_renamed_duplicate
4085,60000643,17T109,17T109_1,60011958,711T7151,711T715_1,probable_renamed_duplicate
4122,60009270,BIT_SWWND3,BIT_SWWND3_G1,60017558,BIT_SWWND31,BIT_SWWND3_1,probable_renamed_duplicate
4194,60005309,HIC_HICO,HIC_HICO_1,60093143,69_IRD_HICO,69_IRD_HICO_1,probable_renamed_duplicate
4237,60001841,608T6081,608T608_1,60079034,196T3671,196T367_1,probable_renamed_duplicate
4245,60001497,402T490,402T490_1,60095270,722T782,722T782_1,probable_renamed_duplicate
4289,60005321,HIL_MAR,HIL_MAR_1,60008654,HILL_MAR_11,HILL_MAR_1_1,probable_renamed_duplicate
4293,60005512,JATN_SPUR_1C,JATN_SPUR_1C_1,60009024,DKEC_GIRA_T11,DKEC_GIRA_T1_1,probable_renamed_duplicate
4321,60007392,STPELM271,STPELM27_1,60110569,STPELM27,STPELM27_1,confirmed_exact_duplicate
4335,60003353,BL_MILIT_BLT1,BL_MILIT_BLT_1,60110578,BL_MILIT_BLT,BL_MILIT_BLT_1,confirmed_exact_duplicate
4341,60000642,179T170,179T170_1,60009687,179T6671,179T667_1,probable_renamed_duplicate
4414,60000315,136T145,136T145_1,60012176,136T7491,136T749_1,probable_renamed_duplicate
4518,60004660,F1_11,F1_11_1,60008404,F2_111,F2_11_1,probable_renamed_duplicate
4538,60007030,S106,S106_1,60008664,HWY511_COFEPRT1,HWY511_COFEPRT_1,probable_renamed_duplicate
4550,60000582,16T128,16T128_1,60009653,16T6721,16T672_1,probable_renamed_duplicate
4567,60000366,1391_J1,1391_J_1,60110563,1391_J,1391_J_1,confirmed_exact_duplicate
4575,60001575,466T4661,466T466_1,60110585,466T466,466T466_1,confirmed_exact_duplicate
4606,60001615,506T506,506T506_1,60009586,R0_FAIR1,R0_FAIR_1,probable_renamed_duplicate
4635,60001062,2930T548,2930T548_1,60009152,828T5481,828T548_1,probable_renamed_duplicate
4664,60001502,405T456,405T456_1,60009905,665T6651,665T665_1,probable_renamed_duplicate
4694,60000102,10712T489,10712T489_1,60008632,934T4891,934T489_1,probable_renamed_duplicate
4838,60004284,DH_FR_81A,DH_FR_81_A,60110580,DH_FR_81,DH_FR_81_A,confirmed_exact_duplicate
4875,60006843,R4_B2,R4_B2_1,60009567,B2_R41,B2_R4_1,probable_renamed_duplicate
4929,60001188,328T442,328T442_1,60008368,612T6121,612T612_1,probable_renamed_duplicate
4953,60007031,S3_F0,S3_F0_1,60009571,F0_S31,F0_S3_1,probable_renamed_duplicate
4955,60006478,OCB_275,OCB_275_1,60008663,HWY511_SCARBID1,HWY511_SCARBID_1,probable_renamed_duplicate
4962,60002720,890_D,890__D,60011505,895_D,895__D,probable_renamed_duplicate
4977,60004662,F2_F1,F2_F1_1,60009576,F1_F21,F1_F2_1,probable_renamed_duplicate
4987,60000439,149T373,149T373_1,60012178,704T7041,704T704_1,probable_renamed_duplicate
5017,60005493,J0_D5,J0_D5_1,60009581,D5_J01,D5_J0_1,probable_renamed_duplicate
5071,60006022,M3_G2,M3_G2_1,60009577,G2_M31,G2_M3_1,probable_renamed_duplicate
5105,60001513,411_OldTeid,411__A_OldTeid,60098079,411_A,411__A,probable_renamed_duplicate
5202,60001292,34T2671,34T267_1,60110571,34T267,34T267_1,confirmed_exact_duplicate
5247,60002730,90T3341,90T334_1,60110573,90T334,90T334_1,confirmed_exact_duplicate
5269,60002722,890_G,890_G_1,60092475,890_G_1,890_G__1,probable_renamed_duplicate
5308,60007430,SWIN_PRUITT1,SWIN_PRUITT_1,60110562,SWIN_PRUITT,SWIN_PRUITT_1,confirmed_exact_duplicate
5313,60009169,HEC_NEDIN21,HEC_NEDIN2_1,60108220,HEC_NEDIN2,HEC_NEDIN2_1,confirmed_exact_duplicate
5332,60003413,BNM_BON,BNM_BON_1,60011503,890_E,890__E,probable_renamed_duplicate
5335,60001686,549T549,549T549_1,60009585,O9_WILSN1,O9_WILSN_1,probable_renamed_duplicate
5346,60001523,41T196,41T196_1,60009132,654T6541,654T654_1,probable_renamed_duplicate
5359,60000181,119T153,119T153_1,60000468,153T1531,153T153_1,probable_renamed_duplicate
5374,60000121,110T109,110T109_1,60011957,717T7151,717T715_1,probable_renamed_duplicate
5501,60089151,16010,16010_A,60092467,16010_A,16010__A,probable_renamed_duplicate
5501,60007978,MDKSW_PEMKIFF,MDKSW_PEMKIFF_1,60092467,16010_A,16010__A,probable_renamed_duplicate
6562,60066064,SNOOK_XFMR052L,SNOOK_XFMR052L,60111378,SNOOK_XFMR052H,SNOOK_XFMR052H,probable_renamed_duplicate
11930,60005235,HAS_HASSE29,HAS_HASSE29,60037263,HAS_HAS2_L,HAS_HAS2_L,probable_renamed_duplicate
16175,60047046,LWSSW_AXFMR11,LWSSW_AXFMR11,60111387,LWSSW_AXFMR12,LWSSW_AXFMR12,probable_renamed_duplicate
18718,60025429,COTULAS_LOW,COTULAS_LOW,60110952,COTULAS_HIGH,COTULAS_HIGH,probable_renamed_duplicate
18935,60006823,QALSW_11T701H,QALSW_11T701H,60112122,QALSW_11H,QALSW_11H,probable_renamed_duplicate
21711,60045805,LON_HILL_69A1_H,LON_HILL_69A1_H,60111096,LON_HILL_69A1_L,LON_HILL_69A1_L,probable_renamed_duplicate
22249,60010003,LON_HILL_69A2_L,LON_HILL_69A2_L,60045806,LON_HILL_69A2_H,LON_HILL_69A2_H,probable_renamed_duplicate
23747,60000401,14190T477,14190T477_1,60008721,906T4771,906T477_1,probable_renamed_duplicate
24107,60070377,TORDILLO_LOW,TORDILLO_LOW,60110942,TORDILLO_HIGH,TORDILLO_HIGH,probable_renamed_duplicate
27438,60006826,QALSW_13T701H,QALSW_13T701H,60112123,QALSW_13H,QALSW_13H,probable_renamed_duplicate
30128,60004079,COTTON_CW-T3,COTTON_CW-T3,60112567,COTTON_T3,COTTON_T3,probable_renamed_duplicate
30267,60004080,COTTON_CW-T4,COTTON_CW-T4,60112568,COTTON_T4,COTTON_T4,probable_renamed_duplicate
33736,60021141,CAGNON_MR2L,CAGNON_MR2L,60110898,CAGNON_MR2H,CAGNON_MR2H,probable_renamed_duplicate
38564,60003190,BANDER_AT3_H,BANDER_AT3_H,60079882,BANDER_AT3_L,BANDER_AT3_L,probable_renamed_duplicate
38564,60008822,BANDER_AT3H,BANDER_AT3H,60079882,BANDER_AT3_L,BANDER_AT3_L,probable_renamed_duplicate
38564,60016140,BANDER_AT3L,BANDER_AT3L,60079882,BANDER_AT3_L,BANDER_AT3_L,probable_renamed_duplicate
41077,60004350,DOW_DOW_A3S,DOW_DOW_A3S,60111766,DOW_A3S,DOW_A3S,probable_renamed_duplicate
41080,60004353,DOW_DOW_A4S,DOW_DOW_A4S,60111773,DOW_A4S,DOW_A4S,probable_renamed_duplicate
41231,60081647,DOWGEN_LDXF760,DOWGEN_LDXF760,60111756,DOWGEN_XF760,DOWGEN_XF760,probable_renamed_duplicate
42360,60006829,QALSW_15T701H,QALSW_15T701H,60112125,QALSW_15H,QALSW_15H,probable_renamed_duplicate
43247,60005516,JCKCNTY2_UNIT3_XFMR,JCKCNTY2_UNIT3_XFMR,60110616,JCKCNTY2_U3XF,JCKCNTY2_U3XF,probable_renamed_duplicate
43340,60005611,KEO_XFMR_SM2_H,KEO_XFMR_SM2_H,60112128,KEO_T2,KEO_T2,probable_renamed_duplicate
44519,60002639,805T543,805T543_1,60008146,805T5421,805T542_1,probable_renamed_duplicate
49843,60004093,COYOTE_LUTHER1,COYOTE_LUTHER_1,60112875,17020_A,17020__A,probable_renamed_duplicate
53948,60062065,RUSTHILL_T1_L,RUSTHILL_T1_L,60111669,RUSTHILL_T1_H,RUSTHILL_T1_H,probable_renamed_duplicate
56912,60004369,DOW02A1,DOW02A_1,60081640,DOW021,DOW02_1,probable_renamed_duplicate
57711,60017207,BEVO_LOW,BEVO_LOW,60110951,BEVO_HIGH,BEVO_HIGH,probable_renamed_duplicate
58390,60045407,LOBO_3_345_138_L,LOBO_3_345_138_L,60111713,LOBO_3_345_138_H,LOBO_3_345_138_H,probable_renamed_duplicate
61256,60084880,NCARBIDE_XF-121,NCARBIDE_XF-121,60111786,NCARBIDE_X121,NCARBIDE_X121,probable_renamed_duplicate
65543,60004956,GARFIELD_AT2_H,GARFIELD_AT2_H,60034119,GARFIELD_AT2_L,GARFIELD_AT2_L,probable_renamed_duplicate
69336,60022549,CEDRHILL_T1_L,CEDRHILL_T1_L,60110989,CEDRHILL_T1_H,CEDRHILL_T1_H,probable_renamed_duplicate
69860,60002994,ALMC_138_69T2_H,ALMC_138_69T2_H,60014096,ALMC_138_69T2_L,ALMC_138_69T2_L,probable_renamed_duplicate
71379,60054435,OLEANDER_138_69_AUTO_L,OLEANDER_138_69_AUTO_L,60111701,OLEANDER_138_69_AUTO_H,OLEANDER_138_69_AUTO_H,probable_renamed_duplicate
