teid,n_hours,n_inservice,dampsse_ids,pct_inservice,dampsse_default_status,branch_id,implied_default_status,pct_closed,from_bus,to_bus,DeviceType,ercotDampsseId,dampsse_name_raw,dampsse_from_station,dampsse_to_station
1,17520,17503,1,0.999,Closed,60003279.0,Closed,1.0,BETKA__X66B8,FREMAN_S66_8,Line,6985,BETFM_66_A,FM,BET
3,17520,17427,1,0.9947,Closed,60000598.0,Closed,1.0,BELLCTY_SS_8,SALADO1_8,Line,4854,1710__C,SALSW,BELCNTY
4,17520,17512,1,0.9995,Closed,60000596.0,Closed,1.0,SONTERRA,SALADO1_8,Line,4756,1710__A,SONTERRA,SALDS
5,17520,17384,1,0.9922,Closed,60000597.0,Closed,1.0,SONTERRA,JARRELL_E_8,Line,4784,1710__B,SONTERRA,JREST
6,17520,16886,1,0.9638,Closed,60001807.0,Closed,1.0,GRHAMSES1_5,PARKER_5,Line,9799,6040__A,GRSES,PKRSW
7,17520,17506,1,0.9992,Closed,60002331.0,Closed,1.0,WFALLS_N_9,ROBNTECH_9,Line,1898,6650__A,RBNTK,WFNTH
11,17520,15684,1,0.8952,Closed,60002434.0,Closed,0.85,GRAHAM_9,GRAHAMSW_9,Line,2129,6825__A,GRAHM,GRMSW
15,17520,17444,1,0.9957,Closed,60002333.0,Closed,0.9,IOWAPARK_T9,BURKBURN_9,Line,2063,6651__A,IOWTP,BKBNT
16,17520,17520,1,1.0,Closed,60002454.0,Closed,1.0,ECTRSHLT_9,ECTRSHLL_9,Line,2131,6860__E,ECTTP,ECTSH
17,17520,17481,1,0.9978,Closed,60004457.0,Closed,1.0,STONERSY_1,INV_TAP_1,Line,10859,DUP2_1,INV_TAP,STONERSY
18,17520,17480,1,0.9977,Closed,60002925.0,Closed,1.0,AGNESSWTCH,VEALJNCTN,Line,5197,AGN_WFT_1,AGNESSW,VEALSOTH
19,17520,17504,1,0.9991,Closed,60003128.0,Closed,1.0,AUDUBONSW,AUDUBON,Line,6789,AUD_AUDU_1,AUDBONSW,AUDUBON
20,17520,14901,1,0.8505,Closed,60003193.0,Closed,1.0,BARTLETT,BARTLETTSW,Line,5367,BAR_BART_1,BARTLETT,BARTLTSW
21,17520,17520,1,1.0,Closed,60003194.0,Closed,1.0,SCHWERTNER,BARTLETTSW,Line,5396,BAR_SCHW_1,BARTLTSW,SCHWRTNR
22,17520,17520,1,1.0,Closed,60003454.0,Closed,1.0,BOWIE8,DYEMOUND,Line,6935,BOW_DMOND_1,BOW,DYEMOUND
23,17520,17520,1,1.0,Closed,60003460.0,Closed,1.0,BRANCHVILE,SILVERCITY,Line,6973,BRA_SVC_1,SVC,BRANCHVL
25,17520,17520,1,1.0,Closed,60004047.0,Closed,1.0,CONLEY,GRANDVIEW,Line,10217,CON_GDV_1,GDV,CONLEY
26,17520,17512,1,0.9995,Closed,60004095.0,Closed,1.0,MCKAMY,COPPELL,Line,10193,CPL_MCKA_1,MCKMY,CPL
27,17520,17356,1,0.9906,Closed,60004105.0,Closed,1.0,CRAWFORD,BOSQUE,Line,10115,CRA_BOSQ_1,CRAWFORD,BOSQUE
28,17520,16526,1,0.9433,Closed,60001226.0,,,WLEVEE_E8,WDAL1_8,Line,6628,3380__I,DALLW,WLVEE
29,17520,17452,1,0.9961,Closed,60001223.0,Closed,1.0,WDAL1_8,DAVST1T_8,Line,6654,3380__F,DVSTP,DALLW
30,17520,17466,1,0.9969,Closed,60001220.0,Closed,1.0,MTCK_E8,CALUMT1_8,Line,6597,3380__A,MCSES,CLMET
31,17520,17461,1,0.9966,Closed,60001859.0,Closed,1.0,L_KERRST8_1Y,L_VERDCR8_1Y,Line,9850,60T225_1,VERDCR,KERRST
32,17520,17479,1,0.9977,Closed,60006530.0,Closed,1.0,JEAN,OLNEY9,Line,7328,OLN_JEAN_1,JEAN,OLN
33,17520,17421,1,0.9943,Closed,60002027.0,Closed,1.0,L_JACKFU8_1Y,L_HARPRO8_1Y,Line,129,62T368_1,JACKFU,HARPRO
34,17520,17312,1,0.9881,Closed,60002195.0,Closed,1.0,L_RIMROC8_1Y,L_TURTCR8_1Y,Line,400,64T270_1,RIMROC,TURTCR
35,17520,17486,1,0.9981,Closed,60002565.0,Closed,1.0,L_PHJOCI8_1Y,L_MILLER8_1Y,Line,3473,71T124_1,MILLER,PHILJC
36,17520,17398,1,0.993,Closed,60002575.0,Closed,1.0,L_HOLLMI8_1Y,L_KENDAL8_1Y,Line,3573,72T120_1,HOLLMI,KENDAL
37,17520,17486,1,0.9981,Closed,60001750.0,Closed,1.0,L_KENDAL8_2Y,L_WELFAR8_1Y,Line,9615,584T584_1,KENDAL,WELFAR
38,17520,17520,1,1.0,Closed,60007385.0,Closed,1.0,WINT2A,STMBOAT2A,Line,10396,STMBOA_WINT1_1,WINT,STMBOAT
40,17520,17512,1,0.9995,Closed,60006614.0,Closed,1.0,PATTSNST,BOWIE8,Line,7267,PAT_BOWI_1,BOW,PATTSNST
41,17520,11163,1,0.6372,Closed,60002716.0,Closed,0.5,L_HENNE_8_2Y,L_COMAL_8_1Y,Line,3777,88T234_1,HENNE,COMAL
42,17520,17520,1,1.0,Closed,60006680.0,Closed,1.0,LEONJUNCTN,POAGE,Line,7366,PGE_LEON_1,LEONJNCT,PGE
43,17520,17489,1,0.9982,Closed,60002783.0,Closed,1.0,L_WELLBR8_1Y,L_MCNEIL8_1Y,Line,3704,96T136_1,MCNEIL_,WELLBR
44,17520,17464,1,0.9968,Closed,60002803.0,Closed,1.0,L_YORKCR8_1Y,L_ZORN__8_1Y,Line,5213,99T203_1,YORKCR,ZORN
45,17520,17365,1,0.9912,Closed,60000014.0,Closed,1.0,L_LOCKHA8_1Y,L_MENDOZ8_1Y,Line,1290,100T100_1,MENDOZ,LOCKHA
46,17520,12591,1,0.7187,Closed,60000941.0,Closed,0.7,L_SUNRBE9_1Y,L_KINGS19_1Y,Line,5077,234T400_1,SUNRBE,KING_1
47,17520,17168,1,0.9799,Closed,60003940.0,Closed,1.0,HAMILMB2,RIVERPLS,Line,8790,CKT_984_1,RIVER,HAMILTN
48,17520,17520,1,1.0,Closed,60002387.0,Closed,1.0,LAMESA_9,WELCHTAP_9,Line,2094,6730__B,LMESA,WLCHT
49,17520,17520,1,1.0,Closed,60002388.0,Closed,1.0,WELCHTAP_9,WELCH_9,Line,2045,6730__C,WLCHT,WELCH
50,17520,17520,1,1.0,Closed,60002389.0,Closed,1.0,WELCH_9,OXYUSA_9,Line,2002,6730__D,OXYSB,WELCH
60,17520,17520,1,1.0,Closed,60004827.0,Closed,1.0,FRISCO,PNTHRCREEK,Line,11136,FRS_PNTHR_1,PNTHRCRK,FRS
61,17520,17520,1,1.0,Closed,60004828.0,Closed,1.0,FRTGATESSW,FORTGATES,Line,11192,FRT_FRTG_1,FRTGATES,FRTGTSSW
62,17520,17520,1,1.0,Closed,60004962.0,Closed,1.0,FRTGATESSW,GATESVILLE,Line,625,GAT_FRTG_1,FRTGTSSW,GATESVIL
63,17520,17520,1,1.0,Closed,60005012.0,Closed,1.0,SANDFLATSW,GRANDVIEW,Line,784,GDV_SNDF_1,GDV,SNDFLTSW
64,17520,17520,1,1.0,Closed,60005017.0,Closed,1.0,NEWHOPE2,GEORGESCRK,Line,759,GEO_NHP_1,NHP,GEO
65,17520,17520,1,1.0,Closed,60005061.0,Closed,1.0,GLENROSE,MERIDIAN,Line,731,GLE_MERI_1,MERIDIAN,GLENROSE
66,17520,17514,1,0.9997,Closed,60005105.0,Closed,1.0,IBM,GRAPEVINE,Line,736,GRA_IBM_1,IBM_,GRAPEVIN
67,17520,17520,1,1.0,Closed,60005114.0,Closed,1.0,BUNKER,FRIENDSHIP,Line,713,GRB_FRD_1,BNK,FRENDSHP
68,17520,17520,1,1.0,Closed,60005116.0,Closed,1.0,HILLCITY,GRANBURY9,Line,810,GRB_HILL_1,HILLCITY,GRBY
