teid,ercotDampsseId,n_hours,n_inservice,pct_inservice,dampsse_default_status,tier,dampsse_name_raw
30352,4094,17520,17376,0.9918,Closed,substring_name_station,LINE_1_1
120056,4153,17520,17359,0.9908,Closed,substring_name_station,LINE1_1
280444,7936,17520,16392,0.9356,Closed,station_pair_leg,SNDSW_MR1L
327869,2605,17520,17520,1.0,Closed,substring_name,DERMOTT_T2
98510,974,17520,17502,0.999,Closed,substring_name,ACSSW_AX1H
375369,5907,17520,17510,0.9994,Closed,substring_name,MARION_AT3H
279822,4631,17520,17217,0.9827,Closed,station_pair_ckt,LA_PALMA_69A1
121955,1239,17520,17441,0.9955,Closed,station_pair_leg,BNBSW_MR2L
280307,2618,17520,17520,1.0,Closed,station_pair_leg,CLIMAX_AAT2
279191,946,17520,17461,0.9966,Closed,station_pair,BARL_FMR1
279008,863,17520,17159,0.9794,Closed,station_pair,ARANSASP_69A1
12853,4310,17520,17249,0.9845,Closed,station_pair,GUNMTN_T1
74129,4546,17520,17236,0.9838,Closed,station_pair_leg,LHORN_N_T2
279293,2588,17520,17466,0.9969,Closed,station_pair_leg,CMNSW_MR1H
279502,6198,17520,17410,0.9937,Closed,station_pair,NLARSW_PS1
279218,4652,17520,17430,0.9949,Closed,station_pair_leg,MCSES_MR1H
280447,7793,17520,16392,0.9356,Closed,station_pair_leg,SNDSW_MR1H
124631,7783,17520,17520,1.0,Closed,station_pair_leg,SCOSW_MR2L
346164,1083,17520,17520,1.0,Closed,substring_name,BERGHE_AT1L
279816,9539,17520,17510,0.9994,Closed,station_pair_leg,WHTNY_HT1H
41231,2709,17520,360,0.0205,Open,station_pair_leg,DOWGEN_F760
155001,2663,17520,0,0.0,Open,station_pair_leg,DCSES_MR1H
148323,7900,17520,17344,0.99,Closed,station_pair_leg,SHRSW_MR1H
126319,2674,17520,17439,0.9954,Closed,substring_name,DMTSW_AX1H
90296,4420,17520,17520,1.0,Closed,substring_name,KENDAL_AT3L
