teid,ercotDampsseId,tier,our_op_eqcode,dampsse_name_raw,dampsse_active_in_window,DeviceType,FromName,ToName,Substation1,Substation2,Name
30352,4094,substring_name_station,LINE_1_1,LINE_1_1,True,Line,GRAY,MIAMI_5,CTT_GRAY,MIAM1,LINE_1_1 1 1 345kV
120056,4153,substring_name_station,LINE1_1,LINE1_1,True,Line,LAQUINTA4A,EXGNWTL,LAQUINTA,EXGNWTL,LINE1_1 1 1 138kV
280444,7936,station_pair_leg,SNDSW_AXFMR1L-H,SNDSW_MR1L,True,Transformer,SANDOW_SR1_8,SNDSW1_1,SNDSW,SNDSW,MR1L 138kV-1kV
327869,2605,substring_name,DERMOTT_T2H,DERMOTT_T2,True,Transformer,DERMOTT_H,DERMOTT_W2,DERMOTT,DERMOTT,T2 345kV-34.5kV
98510,974,substring_name,ACSSW_AX1HH,ACSSW_AX1H,True,Transformer,ANDRCOSO_5,ANDRCOSO_1,ACSSW,ACSSW,AX1H 345kV-1kV
375369,5907,substring_name,MARION_AT3HL_H,MARION_AT3H,True,Transformer,L_MARION8_1Y,L_MARION_2Y,MARION,MARION,AT3L 138kV-1kV
279822,4631,station_pair_ckt,LA_PALMA_345_138L,LA_PALMA_69A1,True,Transformer,LA_PALMA4A,LP3DUM,LA_PALMA,LA_PALMA,XF1B 138kV-1kV
121955,1239,station_pair_leg,BNBSW_AXFMR2L_H,BNBSW_MR2L,True,Transformer,BENBRK_SRB_8,BNBSW2_1,BNBSW,BNBSW,MR2L 138kV-1kV
280307,2618,station_pair_leg,CLIMAX_CLIMAAT2,CLIMAX_AAT2,True,Transformer,TNCLIMAX__1,TNCLIMAX__0,CLIMAX,CLIMAX,AAT2 69kV-138kV
279191,946,station_pair,BARL_XFMR1_H,BARL_FMR1,True,Transformer,BARL2A,BARL4A,BARL,BARL,FMR1 69kV-138kV
279008,863,station_pair,ARANSASP_138_69A1,ARANSASP_69A1,True,Transformer,ARANSASP2A,ARANSASP4A,ARANSASP,ARANSASP,69A1 69kV-138kV
12853,4310,station_pair,GUNMTN_GMTN_H,GUNMTN_T1,True,Transformer,GUNMTN_8,GUNMTN_G1,GUNMTN,GUNMTN,T1 138kV-34.5kV
