teid,branch_id,base_model_status,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed,in_service_date,in_service_date_source,base_from_name,base_to_name,base_circuit,DeviceType,classification
41231,60111756.0,Closed,Open,0.0205,Closed,0.706,1990-01-01 00:00:00,default,DOWGEN_4_8,DOWGEN_5,1,Transformer,dampsse_suspect_auction_disagrees
1956,60000567.0,Closed,Open,0.1582,Closed,0.5,1990-01-01 00:00:00,default,HUTTOSS1_8,TAYLOR_W1_8,1,Line,dampsse_suspect_auction_disagrees
870703,60114350.0,Closed,Open,0.2774,Closed,1.0,1990-01-01 00:00:00,default,HOLZ_SLR_8,HOLZ_SLR_LD1,T1,Transformer,dampsse_suspect_auction_disagrees
870704,60114351.0,Closed,Open,0.2774,Closed,1.0,1990-01-01 00:00:00,default,HOLZ_SLR_8,HOLZ_SLR_S1,T2,Transformer,dampsse_suspect_auction_disagrees
306122,60111825.0,Closed,Open,0.305,Closed,0.588,1990-01-01 00:00:00,default,MONSAN_POI_8,MSN_110563,2,Transformer,dampsse_suspect_auction_disagrees
279683,60111673.0,Closed,Open,0.3133,Closed,0.706,1990-01-01 00:00:00,default,P_CANYHY8_1_,CAN_CANYHYG1,1,Transformer,dampsse_suspect_auction_disagrees
530745,60011861.0,Closed,Open,0.3408,Closed,1.0,2022-02-10 12:55:00,energization_outage,GPL_KINGMTSW,QUEEN_BA_5,1,Line,dampsse_suspect_auction_disagrees
4545,60004235.0,Closed,Open,0.43,Closed,1.0,1990-01-01 00:00:00,default,MOSES_5,WLSH_WLSHG1,3,Line,dampsse_suspect_auction_disagrees
583209,60012538.0,Closed,Open,0.4344,Closed,0.75,1990-01-01 00:00:00,default,WHITEPT7A,WHTPTDMY0B,1,Transformer,dampsse_suspect_auction_disagrees
279955,60112540.0,Closed,Open,0.4394,Closed,0.941,1990-01-01 00:00:00,default,B_DAVIS_1_8,B_D_B_DAVIG1,4,Transformer,dampsse_suspect_auction_disagrees
281781,60003157.0,Closed,Open,0.4394,Closed,0.95,1990-01-01 00:00:00,default,B_DAVIS4A,B_DAVIS_1_8,1,Line,dampsse_suspect_auction_disagrees
76055,60005402.0,Closed,Open,0.4898,Closed,0.8,1990-01-01 00:00:00,default,HONDOCREEK9,CSTROVILESW9,1,Line,dampsse_suspect_auction_disagrees
762639,60097005.0,Closed,Open,0.0,Open,0.0,2026-03-13 16:00:00,energization_outage,BBESPOI4A,ROMA4A,1,Line,recent_energization_undercount
836381,60104039.0,Closed,Open,0.0,Open,0.0,2026-05-04 12:00:00,energization_outage,BEECHER4A,DACOSTA4A,1,Line,recent_energization_undercount
850530,60103438.0,Closed,Open,0.0,Open,0.25,2026-07-23 14:01:00,energization_outage,BADERSUB8,PEARSONSW8,1,Line,recent_energization_undercount
853807,60112857.0,Closed,Open,0.0,Open,0.0,2026-07-31 15:49:00,energization_outage,CYPRESS_8,DFW_AE1_8,1,Line,recent_energization_undercount
864356,60113299.0,Closed,Open,0.0,Open,0.0,2026-06-30 00:00:00,energization_outage,BANGL4A,LEMAY4A,1,Line,recent_energization_undercount
865449,60113975.0,Closed,Open,0.0,Closed,1.0,2026-07-13 12:00:00,energization_outage,NEW_HCKRY_5,NHKY_SLR_5,1,Line,recent_energization_undercount
866209,60113837.0,Closed,Open,0.0,Open,0.0,2026-07-08 12:45:00,energization_outage,WILMRPOD_8,WILMER1_8,1,Line,recent_energization_undercount
869102,60112859.0,Closed,Open,0.0,Closed,0.5,2026-07-15 18:00:00,energization_outage,TIMBERLINE_8,PALSTNS_8,1,Line,recent_energization_undercount
869103,60112860.0,Closed,Open,0.0,Closed,0.5,2026-07-15 18:00:00,energization_outage,LAKVWNODE_8,TIMBERLINE_8,3,Line,recent_energization_undercount
869776,60112868.0,Closed,Open,0.0,Closed,0.5,2026-07-16 16:00:00,energization_outage,FLATLAND_8,EXPANSE_8,5,Line,recent_energization_undercount
870341,60114061.0,Closed,Open,0.0,Closed,1.0,2026-06-12 17:00:00,energization_outage,HONEY_WD_5,HONEY_WD_W1,T1,Transformer,recent_energization_undercount
870766,60114634.0,Closed,Open,0.0,Closed,1.0,2026-07-15 00:00:00,energization_outage,TDWLPR_1_5,TDWLPR_1_B3,T1,Transformer,recent_energization_undercount
871848,60114108.0,Closed,Open,0.0,Closed,1.0,2026-07-20 00:00:00,energization_outage,OYST_SLR_5,OYST_SLR_S1,T1,Transformer,recent_energization_undercount
871849,60114109.0,Closed,Open,0.0,Closed,1.0,2026-07-20 00:00:00,energization_outage,OYST_SLR_5,OYST_SLR_S2,T2,Transformer,recent_energization_undercount
872736,60114029.0,Closed,Open,0.0,Closed,1.0,2026-07-31 23:59:00,energization_outage,CLT_8,CLT_B1,T1,Transformer,recent_energization_undercount
872737,60114030.0,Closed,Open,0.0,Closed,1.0,2026-07-31 23:59:00,energization_outage,CLT_8,CLT_B2,T2,Transformer,recent_energization_undercount
