teid,bucket,our_op_eqcode,n_candidates,candidate_names,DeviceType,FromName,ToName,Substation1,Substation2,Name
881081,absent_from_dampsse,SERDEV_ABEAST1_1,0,,Line,ABEAST4A,ABEAST4B,ABEAST,ABEAST,1
720535,station_pair_ambiguous,MULBERRY_2_138_1_H,12,"MULBERRY_R-E1, MULBERRY_R-ET, MULBERRY_R-WL, MULBERRY_R-EL, MULBERRY_R-WT",Transformer,MULBERRY4A,MULWDUM0A,MULBERRY,MULBERRY,XF2L 138kV-1kV
320953,station_pair_ambiguous,N_SHARPE_138_PS3_B,4,"N_SHARPE_PS1, N_SHARPE_XF1, N_SHARPE_PS3, N_SHARPE_XF1T",Transformer,N_SHARPE4A,N_SHARPE4C,N_SHARPE,N_SHARPE,PS3 138kV-138kV
279642,station_pair_ambiguous,MARSFO_63GSUT1,7,"MARSFO_SUT3, MARSFO_BUT1, MARSFO_BUT3, MARSFO_SUT2, MARSFO_AUT1",Transformer,L_MARSFO8_1Y,L_MARSFO1_1,MARSFO,MARSFO,SUT1 138kV-1kV
279961,station_pair_ambiguous,TXCTY_138_13_1,4,"TXCTY_13_1, TXCTY_13_4, TXCTY_13_2, TXCTY_13_3",Transformer,TXCTY_1_8,TXCTY_CTC,TXCTY,TXCTY,13_1 13.8kV-138kV
3133,absent_from_dampsse,SAN_SIG_1,0,,Line,,,PHR,PHR,AT2T 23kV-1kV
254108,station_pair_ambiguous,CLAYTNVL_6T3157L_H,6,"CLAYTNVL_162L, CLAYTNVL_162H, CLAYTNVL_162T, CLAYTNVL_157H, CLAYTNVL_157T",Transformer,CLAYTON_138,CLAYTON_1SEC,CLAYTNVL,CLAYTNVL,157L 138kV-1kV
5897,station_pair_ambiguous,PKRSW_AXFMR2H,2,"PKRSW_S1-2, PKRSW_S001",Transformer,PARKER_5,PARKER1_3,PKRSW,PKRSW,S1-2 345kV-23kV
16175,station_pair_ambiguous,LWSSW_AXFMR12,2,"LWSSW_FMR2, LWSSW_FMR1",Transformer,LEWISVLSW8_2,LEWISVLSW5_2,LWSSW,LWSSW,FMR1 345kV-138kV
413386,station_pair_ambiguous,FOWLRTON_5FOWLRTON,3,"FOWLRTON_7TR1, FOWLRTON_5TR1, FOWLRTON_1TR1",Transformer,1,FOWLERTONSB8,FOWLRTON,FOWLRTON,5TR1 138kV-1kV
417454,station_pair_ambiguous,RDOSC_AXFMRH,2,"RDOSC_FMR1, RDOSC_FMR2",Transformer,RONDO1_8,RONDO2_3,RDOSC,RDOSC,FMR1 138kV-38kV
715203,station_pair_ambiguous,NAISMITH_2_345_1_HS,6,"NAISMITH_XF1H, NAISMITH_XF1L, NAISMITH_XF1T, NAISMITH_XF2H, NAISMITH_XF2L",Transformer,NAISMITH7A,NAISMITH0D,NAISMITH,NAISMITH,XF2H 345kV-1kV
5719,station_pair_ambiguous,PKRSW_AXFMRH,2,"PKRSW_S1-2, PKRSW_S001",Transformer,PARKER_5,PARKER2_3,PKRSW,PKRSW,S001 345kV-23kV
111896,station_pair_ambiguous,NAVAL_BS_5340_CB_69,7,"JOR_AT2, JOR_AT3T, JOR_AT1, JOR_AT2T, JOR_AT1T",breaker,,,JOR,JOR,AT2T 23kV-1kV
280394,name_similar_but_ambiguous,LARDVFT_VFT_N_H,2,"LARDVFT_VFTN, LARDVFT_VFT",Transformer,LARDC,LARDVFT4A,LARDVFT,LARDVFT,VFTN 138kV-17.5kV
279843,station_pair_ambiguous,LA_PALMA_345_138H,5,"LA_PALMA_XF1C, LA_PALMA_XF1A, LA_PALMA_XF1B, LA_PALMA_69A2, LA_PALMA_69A1",Transformer,LP3DUM,LA_PALMA7A,LA_PALMA,LA_PALMA,XF1A 345kV-1kV
279005,station_pair_ambiguous,LON_HILL_345_1381L_H,8,"LON_HILL_381L, LON_HILL_382L, LON_HILL_69A1, LON_HILL_381H, LON_HILL_381T",Transformer,LH1DUM,LON_HILL4B,LON_HILL,LON_HILL,381L 138kV-1kV
279323,station_pair_ambiguous,SANMIGL_AUTB_H,6,"SANMIGL_ATBT, SANMIGL_ATBH, SANMIGL_ATAH, SANMIGL_ATBL, SANMIGL_ATAL",Transformer,MIGUEL5,NOTMODMIDPT1,SANMIGL,SANMIGL,ATBH 345kV-1kV
719724,station_pair_ambiguous,MULBERRY_1_345_1_H,12,"MULBERRY_R-E1, MULBERRY_R-ET, MULBERRY_R-WL, MULBERRY_R-EL, MULBERRY_R-WT",Transformer,ABMULCW7A,MULEDUM0A,MULBERRY,MULBERRY,XF1H 345kV-1kV
254110,station_pair_ambiguous,CLAYTNVL_6T3162L_H,6,"CLAYTNVL_162L, CLAYTNVL_162H, CLAYTNVL_162T, CLAYTNVL_157H, CLAYTNVL_157T",Transformer,CLAYTON_1SEC,CLAYTON_138_,CLAYTNVL,CLAYTNVL,162L 138kV-1kV
280424,station_pair_ambiguous,WHCCS_1HY,2,"WHCCS_1X, WHCCS_1Y",Transformer,,,WHCCS,WHCCS,1Y 16kV-1kV
279268,station_pair_ambiguous,CDHSW_AXFMR2H,3,"CDHSW_AXFT, CDHSW_AXFH, CDHSW_AXFL",Transformer,CHILSW1_5,CDHSW2_1,CDHSW,CDHSW,AXFH 345kV-1kV
279678,station_pair_ambiguous,NORTHLAN_NL_AT_1P,3,"NORTHLAN_T_1S, NORTHLAN_T_1P, NORTHLAN_T_1T",Transformer,NORTHL_MB1,NORTHLAN_1KV,NORTHLAN,NORTHLAN,T_1P 138kV-1kV
81372,station_pair_ambiguous,GRANDVW1_COL_T1_H,6,"GRANDVW1_COT1, GRANDVW1_GVT2, GRANDVW1_GVT1, GRANDVW1_COT2, GRANDVW1_T1",Transformer,GRANDV_COLA,GRANDVW_B_5,GRANDVW1,GRANDVW1,COT1 345kV-34.5kV
334265,station_pair_ambiguous,ALIBATES_ALI7TR2,3,"ALIBATES_1TR2, ALIBATES_7TR2, ALIBATES_2TR2",Transformer,ALIBATES,ALIBSTR,ALIBATES,ALIBATES,7TR2 345kV-1kV
1940,absent_from_dampsse,MARATH_MARYAT1_1,0,,Line,,,REDGATE,REDGATE,GS1Y 13.8kV-1kV
279519,station_pair_ambiguous,STEWART_138_69_AUTO,5,"STEWART_ST1, STEWART_T3, STEWART_T2, STEWART_XFT2, STEWART_XFT3",Transformer,STEWART2A,STEWART4A,STEWART,STEWART,ST1 69kV-138kV
397830,name_similar_but_ambiguous,LOTEBUSH_T1S_HS,2,"LOTEBUSH_T1, LOTEBUSH_T1S",Transformer,LOTEBUSH4A,LOTEBUSH1A,LOTEBUSH,LOTEBUSH,T1S 138kV-20kV
279430,station_pair_ambiguous,LWSSW_AXFMR21,2,"LWSSW_FMR2, LWSSW_FMR1",Transformer,LEWISVLSW8_1,LEWISVLSW5_1,LWSSW,LWSSW,FMR2 345kV-138kV
334189,station_pair_ambiguous,TULECNYN_345,3,"TULECNYN_1TR2, TULECNYN_7TR2, TULECNYN_2TR2",Transformer,TULECNYN,TULESTR,TULECNYN,TULECNYN,7TR2 345kV-1kV
280221,station_pair_ambiguous,FALCON_138_13_2,3,"FALCON_13-2, FALCON_13-3, FALCON_13-1",Transformer,FAL_FALCONG2,FALCON8,FALCON,FALCON,13-2 6.9000001kV-138kV
280429,station_pair_ambiguous,BIGLAKE_SOURCE,3,"BIGLAKE_R-W2, BIGLAKE_R-E1, BIGLAKE_PS_1",Transformer,BIGLAKE4A,BIGLAKE4B,BIGLAKE,BIGLAKE,PS_1 138kV-138kV
280206,station_pair_ambiguous,SANMIGL_AUTA_H,6,"SANMIGL_ATBT, SANMIGL_ATBH, SANMIGL_ATAH, SANMIGL_ATBL, SANMIGL_ATAL",Transformer,MIGUEL5,NOTMODMIDPT2,SANMIGL,SANMIGL,ATAH 345kV-1kV
280214,station_pair_ambiguous,RIOHONDO_345_138_2H,6,"RIOHONDO_AT1T, RIOHONDO_AT2L, RIOHONDO_AT1H, RIOHONDO_AT2H, RIOHONDO_AT2T",Transformer,RIOHONDO7A,RH2DUM,RIOHONDO,RIOHONDO,AT2H 345kV-1kV
395316,station_pair_ambiguous,HDRSC_AXFMRH,2,"HDRSC_FMR2, HDRSC_FMR1",Transformer,HRSHOEDR1_3,HRSHOEDR1_8,HDRSC,HDRSC,FMR1 138kV-38kV
97895,station_pair_ambiguous,SASASW_ATH,2,"SASASW_AT1, SASASW_AT_M",Transformer,L_SASASW8_1Y,L_SASASW9_1Y,SASASW,SASASW,AT1 138kV-69kV
81455,station_pair_ambiguous,GRANDVW1_COL_T2_H,6,"GRANDVW1_COT1, GRANDVW1_GVT2, GRANDVW1_GVT1, GRANDVW1_COT2, GRANDVW1_T1",Transformer,GRANDV_COLB,GRANDVW_B_5,GRANDVW1,GRANDVW1,COT2 345kV-34.5kV
279424,station_pair_ambiguous,WHCCS_1HX,2,"WHCCS_1X, WHCCS_1Y",Transformer,,,WHCCS,WHCCS,1X 12.5kV-1kV
60393,station_pair_ambiguous,GRANDVW1_GV1_T2,6,"GRANDVW1_COT1, GRANDVW1_GVT2, GRANDVW1_GVT1, GRANDVW1_COT2, GRANDVW1_T1",Transformer,GRANDVW1_1B,GRANDVW1_5,GRANDVW1,GRANDVW1,GVT2 345kV-34.5kV
279984,station_pair_ambiguous,OKLA_345_1382_L,5,"OKLA_1381, OKLA_1383, OKLA_1382, OKLA_24-3, OKLA_1384",Transformer,OKLA7A,OKLA4B,OKLA,OKLA,1382 138kV-345kV
279173,station_pair_ambiguous,BIGLAKE_XFMR_E1_H,3,"BIGLAKE_R-W2, BIGLAKE_R-E1, BIGLAKE_PS_1",Transformer,BIGLAKE4A,BIGLAKE2A,BIGLAKE,BIGLAKE,R-E1 69kV-138kV
58982,station_pair_ambiguous,GRANDVW1_GV1_T1,6,"GRANDVW1_COT1, GRANDVW1_GVT2, GRANDVW1_GVT1, GRANDVW1_COT2, GRANDVW1_T1",Transformer,GRANDVW1_1A,GRANDVW1_5,GRANDVW1,GRANDVW1,GVT1 345kV-34.5kV
279981,station_pair_ambiguous,OKLA_345_1381,5,"OKLA_1381, OKLA_1383, OKLA_1382, OKLA_24-3, OKLA_1384",Transformer,OK1DUM,OKLA4A,OKLA,OKLA,1381 138kV-1kV
279510,station_pair_ambiguous,RIOHONDO_345_138_1H,6,"RIOHONDO_AT1T, RIOHONDO_AT2L, RIOHONDO_AT1H, RIOHONDO_AT2H, RIOHONDO_AT2T",Transformer,RIOHONDO7A,RH1DUM,RIOHONDO,RIOHONDO,AT1H 345kV-1kV
279832,station_pair_ambiguous,RIOP_138_69_2_H,2,"RIOPECOS_69_2, RIOPECOS_69-1",Transformer,,,RIOPECOS,RIOPECOS,69_2 69kV-138kV
279628,station_pair_ambiguous,BLESSING_345_1382,2,"BLESSING_1382, BLESSING_69A1",Transformer,BLESSING4A,BLESSING7A,BLESSING,BLESSING,1382 138kV-345kV
58390,station_pair_ambiguous,LOBO_3_345_138_H,4,"LOBO_AUTO, LOBO_A2, LOBO_A3, LOBO_A1",Transformer,LOBO7A,LOBO4A,LOBO,LOBO,A3 345kV-138kV
279730,station_pair_ambiguous,EMSES_AXFMR2L_HIGH,6,"EMSES_AX2T, EMSES_MR1T, EMSES_AX2H, EMSES_MR1H, EMSES_AX2L",Transformer,EAGLEMNT2_T8,EMSES2_1,EMSES,EMSES,AX2L 138kV-1kV
