teid,ReasonID,BranchId,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
846315,9,,XFRMOBILE,XFRMOBILE,FERISXFRM,FERISXFRM,2026-04-06 18:01:00,2026-04-06 18:01:00,
836689,4,,MR2T,MR2T,WILSWMR1T,15060EOLDTEID,2026-04-01 14:01:00,2026-04-01 14:01:00,2026-04-10 19:13:00
833454,4,,MR2H,MR2H,WILSWMR1H,WILSWMR1H,2026-04-01 14:01:00,2026-04-01 14:01:00,2026-04-10 18:00:00
833433,4,,MR1H,MR1H,WILSWMR2H,WILSWMR2H,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-04-02 12:57:00
833434,4,,MR1L,MR1L,WILSWMR2L,WILSWMR2L,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-04-02 12:57:00
846315,4,,XFRMOBILE,XFRMOBILE,FERISXFRM,FERISXFRM,2025-12-03 18:01:00,2025-12-03 18:01:00,2026-04-01 17:59:00
836689,4,,MR2T,MR2T,WILSWMR1T,15060EOLDTEID,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-04-01 14:00:00
847722,4,,T4_J41,T4J41,J4T41,J4T41,2025-12-03 00:00:00,2025-12-03 00:00:00,2025-12-18 14:48:00
848765,4,,138_VER_MNL1,138VERMNL1,138MNLVRT1,138MNLVRT1,2025-12-10 00:00:00,2025-12-10 00:00:00,2025-12-16 14:14:00
747861,4,,1261_E,1261E,1267A,1267A,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-12-12 15:05:00
846315,4,,XFRMOBILE,XFRMOBILE,FERISXFRM,FERISXFRM,2025-12-03 00:00:00,2025-12-03 00:00:00,2025-12-03 17:30:00
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-10-04 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-10-06 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-09-30 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-10-05 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-10-07 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-10-03 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-10-02 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-10-01 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-09-24 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-09-29 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-09-25 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-09-27 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-09-23 22:00:00,,
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2025-09-26 22:00:00,,
