teid,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
872874,T2,T2,NHKYSLRT2,NHKYSLRT2,2026-04-01 00:00:00,2026-04-01 00:00:00,
872873,T1,T1,NHKYSLRT1,NHKYSLRT1,2026-04-01 00:00:00,2026-04-01 00:00:00,
858600,T1,T1,HNYCOMBT1,HNYCOMBT1,2026-07-01 00:01:00,2026-07-01 00:01:00,
858600,T1,T1,HNYCOMBT1,HNYCOMBT1,2026-06-03 16:10:00,2026-06-03 16:10:00,2026-07-01 00:00:00
858600,T1,T1,HNYCOMBT1,HNYCOMBT1,2026-07-03 09:44:00,2026-07-03 09:44:00,
871575,T2,T2,AQLAWNDT2,AQLAWNDT2,2026-05-01 00:00:00,2026-05-01 00:00:00,2026-07-02 19:23:00
871574,T1,T1,AQLAWNDT1,AQLAWNDT1,2026-05-01 00:00:00,2026-05-01 00:00:00,2026-07-02 19:23:00
828813,MR1H,MR1H,WCRSWMR1H,WCRSWMR1H,2025-10-01 00:00:00,2025-10-01 00:00:00,
828814,MR1L,MR1L,WCRSWMR1L,WCRSWMR1L,2025-10-01 00:00:00,2025-10-01 00:00:00,
860280,XF1L,XF1L,CANGREJOXF1L,CANGREJOXF1L,2026-07-01 14:01:00,2026-07-01 14:01:00,
860279,XF1H,XF1H,CANGREJOXF1H,CANGREJOXF1H,2026-07-01 14:01:00,2026-07-01 14:01:00,
860279,XF1H,XF1H,CANGREJOXF1H,CANGREJOXF1H,2026-03-04 00:01:00,2026-03-04 00:01:00,2026-07-01 14:00:00
860280,XF1L,XF1L,CANGREJOXF1L,CANGREJOXF1L,2026-03-04 00:01:00,2026-03-04 00:01:00,2026-07-01 14:00:00
871199,T2,T2,CHARSLRT2,CHARSLRT2,2026-05-01 00:00:00,2026-05-01 00:00:00,2026-07-01 15:00:00
871198,T1,T1,CHARSLRT1,CHARSLRT1,2026-05-01 00:00:00,2026-05-01 00:00:00,2026-07-01 15:00:00
874695,T1,T1,GUNRBEST1,GUNRBEST1,2026-07-01 00:01:00,2026-07-01 00:01:00,
870767,T4,T4,TDWLPR1T4,TDWLPR1T4,2026-07-01 00:00:00,2026-07-01 00:00:00,
870766,T3,T3,TDWLPR1T3,TDWLPR1T3,2026-07-01 00:00:00,2026-07-01 00:00:00,
868204,T1,T1,BKBNESRT1,BKBNESRT1,2026-07-01 00:00:00,2026-07-01 00:00:00,
873579,T1,T1,ARMDSLRT1,ARMDSLRT1,2026-07-01 00:00:00,2026-07-01 00:00:00,
873580,T2,T2,ARMDSLRT2,ARMDSLRT2,2026-07-01 00:00:00,2026-07-01 00:00:00,
862546,T1,T1,BIRDBEST1,BIRDBEST1,2026-03-04 00:00:00,2026-03-04 00:00:00,
871313,T1,T1,GRNDSLRT1,GRNDSLRT1,2026-05-01 00:00:00,2026-05-01 00:00:00,2026-06-29 11:19:00
875384,AUTO1,AUTO1,GAINSVILTRF1,GAINSVILAUTO1L,2026-06-24 00:00:00,2026-06-24 00:00:00,
875578,AUTO2,AUTO2,GAINSVILTRF2,GAINSVILAUTO2H,2026-06-24 00:00:00,2026-06-24 00:00:00,
869300,T2,T2,CST2SLRT2,CST2SLRT2,2026-04-01 00:00:00,2026-04-01 00:00:00,2026-06-23 15:00:00
869299,T1,T1,CST2SLRT1,CST2SLRT1,2026-04-01 00:00:00,2026-04-01 00:00:00,2026-06-23 15:00:00
873778,KT1,KT1,RVNKT1,RVNKT1,2026-06-03 00:00:00,2026-06-03 00:00:00,
843651,T3,T3,PAD3ESST3,PAD3ESST3,2025-11-05 00:00:00,2025-11-05 00:00:00,2026-06-16 15:34:00
854100,T1,T1,KEGT1,KEGT1,2026-04-01 00:01:00,2026-04-01 00:01:00,2026-06-03 09:00:00
878709,AT_M,ATM,SASASWATM,SASASWATMH,2026-06-08 00:00:00,2026-06-08 00:00:00,2026-06-08 00:01:00
774318,MR2L,MR2L,PRMSWMR2L,PRMSWMR2L,2026-09-01 18:01:00,,
774297,MR1L,MR1L,PRMSWMR1L,PRMSWMR1L,2026-09-01 18:01:00,,
774317,MR2H,MR2H,PRMSWMR2H,PRMSWMR2H,2026-09-01 18:01:00,,
774296,MR1H,MR1H,PRMSWMR1H,PRMSWMR1H,2026-09-01 18:01:00,,
861475,TR1,TR1,LEONSLRTR1,LEONSLRTR1,2026-04-28 00:00:00,2026-04-28 00:00:00,2026-06-04 10:25:00
858600,T1,T1,HNYCOMBT1,HNYCOMBT1,2026-05-04 00:01:00,2026-05-04 00:01:00,2026-05-14 23:59:00
872736,KT1,KT1,CLTKT1,CLTKT1,2026-06-03 00:00:00,2026-06-03 00:00:00,
872737,KT2,KT2,CLTKT2,CLTKT2,2026-06-03 00:00:00,2026-06-03 00:00:00,
872477,T1,T1,NFALSLRT1,NFALSLRT1,2026-06-03 00:00:00,2026-06-03 00:00:00,
873681,KT3,KT3,CLOKT3,CLOKT3,2026-06-03 00:00:00,2026-06-03 00:00:00,
873906,T1,T1,ULYSSLRT1,ULYSSLRT1,2026-06-03 00:00:00,2026-06-03 00:00:00,
861476,TR2,TR2,LEONSLRTR2,LEONSLRTR2,2026-04-28 00:00:00,2026-04-28 00:00:00,2026-06-02 14:16:00
868110,T1,T1,BCNV2EST1,BCNV2EST1,2026-04-01 00:00:00,2026-04-01 00:00:00,2026-05-29 13:59:00
871849,T2,T2,OYSTSLRT2,OYSTSLRT2,2026-05-01 00:00:00,2026-05-01 00:00:00,
871848,T1,T1,OYSTSLRT1,OYSTSLRT1,2026-05-01 00:00:00,2026-05-01 00:00:00,
865783,T2,T2,YAPNSLRT2,YAPNSLRT2,2026-04-01 00:00:00,2026-04-01 00:00:00,2026-05-29 10:53:00
865782,T1,T1,YAPNSLRT1,YAPNSLRT1,2026-04-01 00:00:00,2026-04-01 00:00:00,2026-05-29 10:53:00
873324,T3,T3,CMPDSLRT3,CMPDSLRT3,2026-05-14 00:00:00,2026-05-14 00:00:00,
