teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_status
70,ebc34287-2028-4c17-8ea2-7ec0fda3a24e,Branch,ACLineSegment,1,6429__C _C 1 138kV,1067,GOLDENSW_8,GLDSW,1315,BRAND_8,BRAND,_C,6429__C,60079044.0,6437_C,,,1,Line,GOLDENSW_8,BRAND_8,6437__C,_C,duplicate_match,different
70,ebc34287-2028-4c17-8ea2-7ec0fda3a24e,Branch,ACLineSegment,1,6429__C _C 1 138kV,1067,GOLDENSW_8,GLDSW,1315,BRAND_8,BRAND,_C,6429__C,60002127.0,6429_C,,,1,Line,GOLDENSW_8,BRAND_8,6429__C,_C,duplicate_match,different
78,13c6fc85-38b1-4fbe-8164-0c5142c68754,Branch,ACLineSegment,1,HIL_WTLK_1 1 1 138kV,501,HILLTOP8,HIL,505,WTHFDLK,WTHFDLK8,1,HIL_WTLK_1,60005322.0,HIL_NWTH,,,1,Line,HILLTOP8,NRTHWTHFRD,HIL_NWTH_1,1,duplicate_match,different
78,13c6fc85-38b1-4fbe-8164-0c5142c68754,Branch,ACLineSegment,1,HIL_WTLK_1 1 1 138kV,501,HILLTOP8,HIL,505,WTHFDLK,WTHFDLK8,1,HIL_WTLK_1,60008360.0,HIL_WTLK1,,,1,Line,HILLTOP8,WTHFDLK,HIL_WTLK_1,1,duplicate_match,different
123,a33ecebb-94c5-4110-b9ea-58e734591a3d,Branch,ACLineSegment,1,NAVO_PNTHR_1 1 1 138kV,649,PNTHRCREEK,PNTHRCRK,35654,PARVIN_TAP2,PARVNTAP,1,PRVNTP_PNTHR_1,60006326.0,NAVO_PNTHR,,,1,Line,PNTHRCREEK,NAVO,NAVO_PNTHR_1,1,duplicate_match,different
123,a33ecebb-94c5-4110-b9ea-58e734591a3d,Branch,ACLineSegment,1,NAVO_PNTHR_1 1 1 138kV,649,PNTHRCREEK,PNTHRCRK,35654,PARVIN_TAP2,PARVNTAP,1,PRVNTP_PNTHR_1,60009428.0,PRVNTP_PNTHR1,,,1,Line,PARVIN_TAP2,PNTHRCREEK,PRVNTP_PNTHR_1,1,duplicate_match,different
162,891f9b89-fc04-4d2c-9dfd-44c431a9ae00,Branch,ACLineSegment,1,895_C C 1 138kV,1809,WOLFECTY_8,WCITY,1810,WOLFCTY_P8,WFPOI,C,895_C,60011504.0,895C,,,1,Line,WOLFECTY_8,WOLFCTY_P8,895_C,C,duplicate_match,different
162,891f9b89-fc04-4d2c-9dfd-44c431a9ae00,Branch,ACLineSegment,1,895_C C 1 138kV,1809,WOLFECTY_8,WCITY,1810,WOLFCTY_P8,WFPOI,C,895_C,60002718.0,890_B,,,1,Line,WOLFECTY_8,WOLFCTY_P8,890__B,_B,duplicate_match,different
267,89328cbc-dea1-4f7e-9727-e67ca4a1516e,Branch,ACLineSegment,1,KINGNW_KNGWTAP_1 1 1 138kV,130732,KING_NW_1_8,KING_NW,130734,KING_NW_8,KNGWTAP,1,KINGNW_KNGWTAP_1,60005633.0,KINGNW_KING_T2,,,1,Line,L_KINGMO8_1Y,KING_NW_1_8,KINGNW_KING_T2_1,1,duplicate_match,different
267,89328cbc-dea1-4f7e-9727-e67ca4a1516e,Branch,ACLineSegment,1,KINGNW_KNGWTAP_1 1 1 138kV,130732,KING_NW_1_8,KING_NW,130734,KING_NW_8,KNGWTAP,1,KINGNW_KNGWTAP_1,60011027.0,KINGNW_KNGWTAP1,,,1,Line,KING_NW_1_8,KING_NW_8,KINGNW_KNGWTAP_1,1,duplicate_match,different
298,d4331b70-03ee-458a-9fda-8ab6ea974573,Branch,ACLineSegment,1,BETHL_BRDSW_1 1 1 69kV,2295,BARDWELL_9,BRDSW,33204,BETHEL2,BETHEL,1,BETHL_BRDSW_1,60008875.0,BETHL_BRDSW1,,,1,Line,BARDWELL_9,BETHEL2,BETHL_BRDSW_1,1,duplicate_match,different
298,d4331b70-03ee-458a-9fda-8ab6ea974573,Branch,ACLineSegment,1,BETHL_BRDSW_1 1 1 69kV,2295,BARDWELL_9,BRDSW,33204,BETHEL2,BETHEL,1,BETHL_BRDSW_1,60003281.0,BETHL_FORE,,,1,Line,BETHEL,FORRESTON,BETHL_FORE_1,1,duplicate_match,different
316,dd6c190b-270c-4f83-ac74-12a8c87fc4fc,Branch,ACLineSegment,1,6513_A _A 1 138kV,1122,ODESSANO_8,ODNTH,1126,ODESSA2_8,ODESA,_A,6513__A,60011481.0,6513_A,,,1,Line,ODESSA2_8,ODESSANO_8,6513__A,_A,duplicate_match,different
316,dd6c190b-270c-4f83-ac74-12a8c87fc4fc,Branch,ACLineSegment,1,6513_A _A 1 138kV,1122,ODESSANO_8,ODNTH,1126,ODESSA2_8,ODESA,_A,6513__A,60002182.0,6475_F,,,1,Line,ODESSANO_8,ODESSA2_8,6475__F,_F,duplicate_match,different
361,f78f8502-760a-42df-a28b-4454eb34026c,Branch,ACLineSegment,1,6512_A _A 1 138kV,1126,ODESSA2_8,ODESA,11127,LIQAIRTP_8,TROTP,_A,6512__A,60002215.0,6510_D,,,1,Line,ODESSA1_8,LIQDAIR_8,6510__D,_D,duplicate_match,different
361,f78f8502-760a-42df-a28b-4454eb34026c,Branch,ACLineSegment,1,6512_A _A 1 138kV,1126,ODESSA2_8,ODESA,11127,LIQAIRTP_8,TROTP,_A,6512__A,60011482.0,6512_A,,,1,Line,ODESSA2_8,LIQAIRTP_8,6512__A,_A,duplicate_match,different
362,cf60804e-29ac-4a9d-a2bc-cc2987356350,Branch,ACLineSegment,1,LONEWOLF_1 1 1 345kV,1414,CHAMPNCRK_5,CCRSW,181153,LONEWOLF_1_5,LONEWOLF,1,LONEWOLF_TLINE_1,60011187.0,LONEWOLF_TLINE1,,,1,Line,CHAMPNCRK_5,LONEWOLF_1_5,LONEWOLF_TLINE_1,1,duplicate_match,different
362,cf60804e-29ac-4a9d-a2bc-cc2987356350,Branch,ACLineSegment,1,LONEWOLF_1 1 1 345kV,1414,CHAMPNCRK_5,CCRSW,181153,LONEWOLF_1_5,LONEWOLF,1,LONEWOLF_TLINE_1,60005918.0,LONEWOLF,,,1,Line,CHAMPNCRK_5,LONEWOLF_1_5,LONEWOLF_1,1,duplicate_match,different
423,ff588855-6c64-4378-967a-738cafe022f9,Branch,ACLineSegment,1,685_B _B 1 138kV,1816,COMM_SW_8,COMSW,1819,COMM_S1_8,COMSO,_B,685__B,60114829.0,685_B,,,1,Line,COMM_S1_8,COMM_SW_8,685__B,_B,duplicate_match,different
423,ff588855-6c64-4378-967a-738cafe022f9,Branch,ACLineSegment,1,685_B _B 1 138kV,1816,COMM_SW_8,COMSW,1819,COMM_S1_8,COMSO,_B,685__B,60002704.0,870_A,,,1,Line,COMM_SW_8,COMM_S1_8,870__A,_A,duplicate_match,different
431,1477c6bf-23ed-47a2-ad3c-64348ae8f7c2,Branch,ACLineSegment,1,AZTECA_HEC1_1 1 1 138kV,8708,AZTECA4A,AZTECA,8963,HEC4A,HEC,1,AZTECA_HEC1_1,60003148.0,AZTECA_DUKE1,,,1,Line,AZTECA4,HEC4A,AZTECA_DUKE1_1,1,duplicate_match,different
431,1477c6bf-23ed-47a2-ad3c-64348ae8f7c2,Branch,ACLineSegment,1,AZTECA_HEC1_1 1 1 138kV,8708,AZTECA4A,AZTECA,8963,HEC4A,HEC,1,AZTECA_HEC1_1,60009181.0,AZTECA_HEC11,,,1,Line,AZTECA4A,HEC4A,AZTECA_HEC1_1,1,duplicate_match,different
450,6820d533-722a-4f5f-b44a-071fac99beae,Branch,ACLineSegment,1,904T485_1 1 1 138kV,8355,GOODWIN4A,GOODWIN,8980,FRONTERA4A,FRONTERA,1,904T485_1,60000367.0,13998T485,,,1,Line,GOODWIN4A,FRONTERA4A,13998T485_1,1,duplicate_match,different
450,6820d533-722a-4f5f-b44a-071fac99beae,Branch,ACLineSegment,1,904T485_1 1 1 138kV,8355,GOODWIN4A,GOODWIN,8980,FRONTERA4A,FRONTERA,1,904T485_1,60008713.0,904T4851,,,1,Line,FRONTERA4A,GOODWIN4A,904T485_1,1,duplicate_match,different
540,a4bde4b9-0c7d-4bef-a91d-68e6163a0434,Branch,ACLineSegment,1,ASPM_PAINTC1_1 1 1 138kV,6158,ASPM4A,ASPM,6161,PAINTCRE4A,PAINTCRE,1,ASPM_PAINTC1_1,60008426.0,ASPM_PAINTC11,,,1,Line,ASPM4A,PAINTCRE4A,ASPM_PAINTC1_1,1,duplicate_match,different
540,a4bde4b9-0c7d-4bef-a91d-68e6163a0434,Branch,ACLineSegment,1,ASPM_PAINTC1_1 1 1 138kV,6158,ASPM4A,ASPM,6161,PAINTCRE4A,PAINTCRE,1,ASPM_PAINTC1_1,60003102.0,ASPM_PAIP1,,,1,Line,ASPM4A,PAIP4A,ASPM_PAIP1_1,1,duplicate_match,different
545,75170988-729c-449b-a43a-66d8f6c71422,Branch,ACLineSegment,1,REBECC_WYLE1_1 1 1 138kV,6257,REBECCA4A,REBECCA,6261,WYLE4A,WYLE,1,REBECC_WYLE1_1,60002876.0,ABRL_WYLE1,,,1,Line,ABRL4A,WYLE4A,ABRL_WYLE1_1,1,duplicate_match,different
545,75170988-729c-449b-a43a-66d8f6c71422,Branch,ACLineSegment,1,REBECC_WYLE1_1 1 1 138kV,6257,REBECCA4A,REBECCA,6261,WYLE4A,WYLE,1,REBECC_WYLE1_1,60009058.0,REBECC_WYLE11,,,1,Line,REBECCA4A,WYLE4A,REBECC_WYLE1_1,1,duplicate_match,different
547,50616555-d6b2-4300-a5c9-8b473ab09fde,Branch,ACLineSegment,1,SAPOWE_SOUTHL1_1 1 1 138kV,6480,SAPOWER4B,SAPOWER,6481,SOUTHLAN4A,SOUTHLAN,1,SAPOWE_SOUTHL1_1,60008077.0,SAPOWE_SOUTHL11,,,1,Line,SAPOWER4B,SOUTHLAN4A,SAPOWE_SOUTHL1_1,1,duplicate_match,different
547,50616555-d6b2-4300-a5c9-8b473ab09fde,Branch,ACLineSegment,1,SAPOWE_SOUTHL1_1 1 1 138kV,6480,SAPOWER4B,SAPOWER,6481,SOUTHLAN4A,SOUTHLAN,1,SAPOWE_SOUTHL1_1,60087067.0,SAPS_SASH11,,,1,Line,SAPS4B,SASH4A,SAPS_SASH1_1,1,duplicate_match,different
551,128da197-64ab-496a-a7fb-4f40703c20cf,Branch,ACLineSegment,1,PAULAN_REDCRE1_1 1 1 138kV,6442,REDCREEK4A,REDCREEK,6447,PAULANN4A,PAULANN,1,PAULAN_REDCRE1_1,60085555.0,PAULAN_SARC11,,,1,Line,PAULANN4A,SARC4A,PAULAN_SARC1_1,1,duplicate_match,different
551,128da197-64ab-496a-a7fb-4f40703c20cf,Branch,ACLineSegment,1,PAULAN_REDCRE1_1 1 1 138kV,6442,REDCREEK4A,REDCREEK,6447,PAULANN4A,PAULANN,1,PAULAN_REDCRE1_1,60006620.0,PAULAN_REDCRE11,,,1,Line,REDCREEK4A,PAULANN4A,PAULAN_REDCRE1_1,1,duplicate_match,different
553,44415b32-f0a0-44f5-aafb-0f68fc27a495,Branch,ACLineSegment,1,SACH_SOUTHL1_1 1 1 138kV,6470,SACH4A,SACH,6481,SOUTHLAN4A,SOUTHLAN,1,SACH_SOUTHL1_1,60007041.0,SACH_SASH1,,,1,Line,SACH4A,SASH4A,SACH_SASH1_1,1,duplicate_match,different
553,44415b32-f0a0-44f5-aafb-0f68fc27a495,Branch,ACLineSegment,1,SACH_SOUTHL1_1 1 1 138kV,6470,SACH4A,SACH,6481,SOUTHLAN4A,SOUTHLAN,1,SACH_SOUTHL1_1,60008075.0,SACH_SOUTHL11,,,1,Line,SOUTHLAN4A,SACH4A,SACH_SOUTHL1_1,1,duplicate_match,different
554,7d4ed157-ee5b-454a-af0a-ba967045d2ab,Branch,ACLineSegment,1,PAULAN_SANORT1_1 1 1 138kV,6447,PAULANN4A,PAULANN,6464,SANORTH4A,SANORTH,1,PAULAN_SANORT1_1,60008430.0,PAULAN_SANORT11,,,1,Line,SANORTH4A,PAULANN4A,PAULAN_SANORT1_1,1,duplicate_match,different
554,7d4ed157-ee5b-454a-af0a-ba967045d2ab,Branch,ACLineSegment,1,PAULAN_SANORT1_1 1 1 138kV,6447,PAULANN4A,PAULANN,6464,SANORTH4A,SANORTH,1,PAULAN_SANORT1_1,60006621.0,PAULAN_SANO1,,,1,Line,PAULANN4A,SANO4A,PAULAN_SANO1_1,1,duplicate_match,different
560,39ca58d8-abf4-4bd5-8f2e-c6c13e54bedb,Branch,ACLineSegment,1,BLUF_C_SOUTHA1_1 1 1 138kV,6216,BLF_CRK4A,BLUF_CRK,6260,SOUTHABI4A,SOUTHABI,1,BLUF_C_SOUTHA1_1,60002879.0,ABSO_BLUF_C1,,,1,Line,ABSO4A,BLF_CRK4C,ABSO_BLUF_C1_1,1,duplicate_match,different
560,39ca58d8-abf4-4bd5-8f2e-c6c13e54bedb,Branch,ACLineSegment,1,BLUF_C_SOUTHA1_1 1 1 138kV,6216,BLF_CRK4A,BLUF_CRK,6260,SOUTHABI4A,SOUTHABI,1,BLUF_C_SOUTHA1_1,60009065.0,BLUF_C_SOUTHA11,,,1,Line,BLF_CRK4A,SOUTHABI4A,BLUF_C_SOUTHA1_1,1,duplicate_match,different
562,a6776637-b516-40ae-ba40-a237e1fd10ba,Branch,ACLineSegment,1,ABEAST_MAPLES1_1 1 1 138kV,6275,ABEAST4A,ABEAST,6290,MAPLESTR4A,MAPLESTR,1,ABEAST_MAPLES1_1,60079116.0,ABEA_ABMS11,,,1,Line,ABEA4A,ABMS4A,ABEA_ABMS1_1,1,duplicate_match,different
