isomarketid,branchID,branchName,ptoIDSource,InsertDate,b1,b2,b3,ckt,OP_EQCODE,LNNAME,EQNAME,DeviceType,FromName,ToName,b3Text,branchStationID,branchDeviceTypeId,teid,collapseId,legacyBranchId,ptoBranchID,fromNum,toNum,pto_ckt,pto_deviceType,identity_key,has_pto_match,dup_type
6,60002127,6429_C,3.0,2015-02-26 12:35:00.000,,,,1,6429__C,6429,_C,Line,GOLDENSW_8,BRAND_8,,,,70.0,,,63896740.0,1067.0,1315.0,1 ,Line,1067|1315|1,True,insufficient_pto_data
6,60079044,6437_C,,2024-01-25 09:01:19.767,,,,1,6437__C,6437,_C,Line,GOLDENSW_8,BRAND_8,,,,70.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60005322,HIL_NWTH,3.0,2015-02-26 12:35:00.000,,,,1,HIL_NWTH_1,HIL_NWTH,1,Line,HILLTOP8,NRTHWTHFRD,,,,78.0,,,60013336.0,501.0,512.0,1,Line,501|512|1,True,teid_collision_different_branches
6,60008360,HIL_WTLK1,21.0,2016-07-07 15:10:00.000,,,,1,HIL_WTLK_1,HIL_WTLK,1,Line,HILLTOP8,WTHFDLK,HIL_WTLK_1,,1.0,78.0,,,63896073.0,501.0,505.0,1 ,Line,501|505|1,True,teid_collision_different_branches
6,60002441,6850_A,3.0,2015-02-26 12:35:00.000,,,,1,6850__A,6850,_A,Line,ARCHCITY_9,BLACKWEL_T9,,,,115.0,60104026.0,,63706110.0,1525.0,1526.0,1 ,Line,1525|1526|1,True,teid_collision_different_branches
6,60104026,6850,1269.0,2025-12-19 15:17:26.363,,,,1,6850__A,6850,_A,Line,NAVYKSS1_9,BLACKWEL_T9,,,,115.0,,,63897298.0,1473.0,1526.0,1 ,Line,1473|1526|1,True,teid_collision_different_branches
6,60006326,NAVO_PNTHR,3.0,2015-02-26 12:35:00.000,,,,1,NAVO_PNTHR_1,NAVO_PNTHR,1,Line,PNTHRCREEK,NAVO,,,,123.0,,,63042031.0,649.0,662.0,1 ,Line,649|662|1,True,teid_collision_different_branches
6,60009428,PRVNTP_PNTHR1,126.0,2019-09-30 11:15:00.000,,,,1,PRVNTP_PNTHR_1,PRVNTP_PNTHR,1,Line,PARVIN_TAP2,PNTHRCREEK,NAVO_PNTHR_1,,1.0,123.0,,,63896224.0,649.0,35654.0,1 ,Line,649|35654|1,True,teid_collision_different_branches
6,60002718,890_B,3.0,2015-02-26 12:35:00.000,,,,1,890__B,890,_B,Line,WOLFECTY_8,WOLFCTY_P8,,,,162.0,,,63695692.0,1809.0,1810.0,1 ,Line,1809|1810|1,True,same_identity_reinserted
6,60011504,895C,327.0,2021-09-30 15:37:00.000,,,,1,895_C,895,C,Line,WOLFECTY_8,WOLFCTY_P8,,,,162.0,,,63897708.0,1809.0,1810.0,1 ,Line,1809|1810|1,True,same_identity_reinserted
6,60002402,6765_D,3.0,2015-02-26 12:35:00.000,,,,1,6765__D,6765,_D,Line,SNYDER_9,PLAINVTA_9,,,,182.0,60011492.0,,63695054.0,1306.0,1412.0,1 ,Line,1306|1412|1,True,same_identity_reinserted
6,60011492,6765,327.0,2021-09-30 15:37:00.000,,,,1,6765__D,6765,_D,Line,SNYDER_9,PLAINVTA_9,,,,182.0,,,63897044.0,1306.0,1412.0,1 ,Line,1306|1412|1,True,same_identity_reinserted
6,60002329,6640_A_OldTeid,3.0,2015-02-26 12:35:00.000,,,,1,6640__A_OldTeid,6640,_A,Line,BRYN_AV_9,MCDONUGH_9,,,,262.0,,,60204626.0,2160.0,2161.0,1,Line,2160|2161|1,True,teid_collision_different_branches
