teid,substation,star_bus,ckt,inferred_status,source,sibling_teids,sibling_statuses,flag
98584,ACSSW,24005,1,Closed,inferred_transformer_winding,98510;98558,Closed;Closed,
419978,ACSSW,24126,2,Closed,inferred_transformer_winding,419958;419959,Closed;Closed,
308387,ADK,49161,A1,Closed,inferred_transformer_winding,308386;308385,Closed;Closed,
308393,ADK,49183,A2,Closed,inferred_transformer_winding,308391;308392,Closed;Closed,
334274,ALIBATES,79524,2,Closed,inferred_transformer_winding,334265,Closed,
334275,ALIBATES,79524,2,Closed,inferred_transformer_winding,334265,Closed,
279441,ALNSW,24050,1,Closed,inferred_transformer_winding,279442;279443,Closed;Closed,
60303,ALNSW,24020,2,Closed,inferred_transformer_winding,60320;60229,Closed;Closed,
833411,ASPM,6157,1,Closed,inferred_transformer_winding,833399;833400,Closed;Closed,
279611,AUSTRO,9397,1,Closed,inferred_transformer_winding,279726;279725,Closed;Closed,
280183,AUSTRO,9396,2,Closed,inferred_transformer_winding,280357;280033,Closed;Closed,
510441,AZURE,143314,T1,Closed,inferred_transformer_winding,510439,Closed,
510440,AZURE,143314,T1,Closed,inferred_transformer_winding,510439,Closed,
458031,BAC,111138,T2,Closed,inferred_transformer_winding,458029,Closed,
458030,BAC,111138,T2,Closed,inferred_transformer_winding,458029,Closed,
95424,BAC,111139,T4,Closed,inferred_transformer_winding,95037,Closed,
95071,BAC,111139,T4,Closed,inferred_transformer_winding,95037,Closed,
95072,BAC,111140,T6,Closed,inferred_transformer_winding,95044,Closed,
95475,BAC,111140,T6,Closed,inferred_transformer_winding,95044,Closed,
855781,BALLINGE,6339,1,Closed,inferred_transformer_winding,855779;855780,Closed;Closed,
346166,BERGHE,77855,1,Closed,inferred_transformer_winding,346164;346165,Closed;Closed,
280454,BI,49100,A1,Closed,inferred_transformer_winding,280443;280434,Closed;Closed,
279478,BI,49101,A2,Closed,inferred_transformer_winding,279477;279476,Closed;Closed,
88078,BI,49102,A4,Closed,inferred_transformer_winding,88076;88075,Closed;Closed,
279482,BI,49125,A5,Closed,inferred_transformer_winding,279481;279480,Closed;Closed,
280389,BLUF_CRK,60075,1,Closed,inferred_transformer_winding,279850;280029,Closed;Closed,
279381,BLUF_CRK,60074,2,Closed,inferred_transformer_winding,279383;279380,Closed;Closed,
118783,BNBSW,24021,1,Closed,inferred_transformer_winding,118784;118680,Closed;Closed,
121226,BNBSW,24022,2,Closed,inferred_transformer_winding,121955;119137,Closed;Closed,
280141,BNDVS,954,1,Closed,inferred_transformer_winding,280326;279857,Closed;Closed,
279406,BNDVS,953,2,Closed,inferred_transformer_winding,279426;279427,Closed;Closed,
493689,BOG,110967,2,Closed,inferred_transformer_winding,493688,Closed,
493690,BOG,110967,2,Closed,inferred_transformer_winding,493688,Closed,
493696,BOG,110968,4,Closed,inferred_transformer_winding,493694,Closed,
