teid,branch_id,DeviceType,from_bus,to_bus,ckt,match_status,bucket
281629,,,,,,unmatched,gen_plant_internal
281723,,,,,,unmatched,gen_plant_internal
298306,,,,,,unmatched,gen_plant_internal
298358,,,,,,unmatched,gen_plant_internal
298402,,,,,,unmatched,gen_plant_internal
298403,,,,,,unmatched,gen_plant_internal
298404,,,,,,unmatched,gen_plant_internal
298458,,,,,,unmatched,gen_plant_internal
298527,,,,,,unmatched,gen_plant_internal
298528,,,,,,unmatched,gen_plant_internal
298588,,,,,,unmatched,gen_plant_internal
298589,,,,,,unmatched,gen_plant_internal
298590,,,,,,unmatched,gen_plant_internal
3320,,,,,,unmatched,gen_plant_internal
341321,,,,,,unmatched,gen_plant_internal
341322,,,,,,unmatched,gen_plant_internal
341323,,,,,,unmatched,gen_plant_internal
341333,,,,,,unmatched,gen_plant_internal
341334,,,,,,unmatched,gen_plant_internal
341335,,,,,,unmatched,gen_plant_internal
34553,,,,,,unmatched,gen_plant_internal
3954,,,,,,unmatched,gen_plant_internal
39803,,,,,,unmatched,gen_plant_internal
4542,,,,,,unmatched,gen_plant_internal
4800,,,,,,unmatched,gen_plant_internal
493740,,,,,,unmatched,gen_plant_internal
493741,,,,,,unmatched,gen_plant_internal
493742,,,,,,unmatched,gen_plant_internal
493743,,,,,,unmatched,gen_plant_internal
493744,,,,,,unmatched,gen_plant_internal
493745,,,,,,unmatched,gen_plant_internal
493746,,,,,,unmatched,gen_plant_internal
493747,,,,,,unmatched,gen_plant_internal
493748,,,,,,unmatched,gen_plant_internal
493749,,,,,,unmatched,gen_plant_internal
512751,,,,,,unmatched,gen_plant_internal
539289,,,,,,unmatched,gen_plant_internal
539290,,,,,,unmatched,gen_plant_internal
560260,,,,,,unmatched,gen_plant_internal
647607,,,,,,unmatched,gen_plant_internal
661650,,,,,,unmatched,gen_plant_internal
664711,,,,,,unmatched,gen_plant_internal
676201,,,,,,unmatched,gen_plant_internal
676202,,,,,,unmatched,gen_plant_internal
700274,,,,,,unmatched,gen_plant_internal
700287,,,,,,unmatched,gen_plant_internal
72989,,,,,,unmatched,gen_plant_internal
823800,,,,,,unmatched,gen_plant_internal
839627,,,,,,unmatched,gen_plant_internal
847498,,,,,,unmatched,gen_plant_internal
847499,,,,,,unmatched,gen_plant_internal
851624,,,,,,unmatched,gen_plant_internal
871319,,,,,,unmatched,gen_plant_internal
871578,,,,,,unmatched,gen_plant_internal
279094,,,,,,unmatched,genuine_unmatched_review
279751,,,,,,unmatched,genuine_unmatched_review
306104,,,,,,unmatched,genuine_unmatched_review
326456,,,,,,unmatched,genuine_unmatched_review
326457,,,,,,unmatched,genuine_unmatched_review
662091,,,,,,unmatched,genuine_unmatched_review
326256,,,,,,unmatched,"other(1a_tertiary_winding_stub (CIM artifact - expected N/A),None)"
155603,,,,,,unmatched,tertiary_all_siblings_open
279308,,,,,,unmatched,tertiary_all_siblings_open
486976,,,,,,unmatched,tertiary_all_siblings_open
487186,,,,,,unmatched,tertiary_all_siblings_open
5760702,,,,,,unmatched,tertiary_all_siblings_open
583211,,,,,,unmatched,tertiary_all_siblings_open
774298,,,,,,unmatched,tertiary_all_siblings_open
774319,,,,,,unmatched,tertiary_all_siblings_open
828815,,,,,,unmatched,tertiary_all_siblings_open
828836,,,,,,unmatched,tertiary_all_siblings_open
834211,,,,,,unmatched,tertiary_all_siblings_open
859555,,,,,,unmatched,tertiary_all_siblings_open
860281,,,,,,unmatched,tertiary_all_siblings_open
863968,,,,,,unmatched,tertiary_all_siblings_open
863990,,,,,,unmatched,tertiary_all_siblings_open
754052,,,,,,unmatched,unmatched_unclassified
