teid,retirement_date,retirement_date_source,retirement_device_name,n_retirement_events,n_retirement_actual_events,n_retirement_chains,default_status_majority,pct_closed,n_status_rows,n_closed,n_open,branch_id,FromName,ToName,ckt,DeviceType
716271,2026-12-23 18:01:00,retirement_outage,306A,1,0,1,Closed,1.0,1,1,0,60093254.0,LAKE_CRK2_5,STEKLY_DAM_5,1,Line
712033,2026-05-18 20:01:00,retirement_outage,3080I,1,1,1,Closed,1.0,2,2,0,60092470.0,TENMILE_8,WATMLL_E8,11,Line
555042,2026-11-19 18:01:00,retirement_outage,230B,1,0,1,Closed,1.0,1,1,0,60012988.0,STJOHNS_5,RAT_SNAKE_5,1,Line
614584,2025-12-02 18:01:00,retirement_outage,880A,1,1,1,Closed,1.0,4,4,0,60096982.0,CRLTN_NW_W8,NTHLK_S8,1,Line
499136,2026-05-09 18:01:00,retirement_outage,36020B,1,1,1,Closed,1.0,1,1,0,60013007.0,WATMLL_E5,ELROD_5,1,Line
420037,2027-05-09 18:01:00,retirement_outage,34410A,1,0,1,Closed,1.0,3,3,0,60011484.0,CLEARFRK,ANDRCOSO_5,2,Line
624497,2025-11-25 18:01:00,retirement_outage,1885A,2,2,1,Closed,0.8,20,16,4,60012836.0,WACO_W1_8,PEPPERVINE_8,1,Line
715939,2025-04-18 11:06:00,retirement_outage,6251C,1,1,1,Closed,0.8,15,12,3,60092537.0,BRELYN_8,RANGER_8,1,Line
186600,2026-05-11 18:01:00,retirement_outage,16030B,1,1,1,Closed,0.8,20,16,4,60091191.0,SLGRLAKE_8,RINGO,1,Line
2954,2026-05-11 20:33:00,retirement_outage,920E,1,1,1,Closed,0.8,20,16,4,60002741.0,TELICO,MONTFTSS__8,1,Line
2931,2026-05-15 21:10:00,retirement_outage,6557B,1,1,1,Closed,0.75,20,15,5,60002245.0,CITYVIEW_8,PPG_OXYGEN_8,1,Line
5215,2017-10-16 08:23:00,retirement_outage,POTPEAR1,1,1,1,Closed,0.75,20,15,5,60006753.0,PEARSALLSW9,POTEETSUB9,1,Line
451531,2026-03-23 14:30:00,retirement_outage,CLAYTPHNTM21,1,1,1,Closed,0.75,20,15,5,60011361.0,CLAYTON_345,PHNTMHL,2,Line
567214,2026-01-30 20:34:00,retirement_outage,15055A,1,1,1,Closed,0.737,19,14,5,60012111.0,BUZZDRAW_8,SU_BROWN,1,Line
317406,2026-01-06 18:01:00,retirement_outage,15060B,1,1,1,Closed,0.722,18,13,5,60012220.0,KOCHTAP,SU_VEALMOOR,1,Line
3201,2025-11-03 10:33:00,retirement_outage,PLACEDPLAVA11,1,1,1,Closed,0.7,20,14,6,60006725.0,P_LAVACA2A,PLACEDO2A,1,Line
620071,2025-12-15 19:21:00,retirement_outage,6471C,1,1,1,Closed,0.65,20,13,7,60012639.0,MRGNCRK_8,NAVIGATION_8,1,Line
449081,2025-11-15 18:01:00,retirement_outage,15050D,1,1,1,Closed,0.65,20,13,7,60011290.0,OCEANIC_8,SU_BROWN,1,Line
1909,2026-06-04 16:01:00,retirement_outage,MASNPHMASONS11,1,1,1,Closed,0.632,19,12,7,60006055.0,PHMA2A,MASW2A,1,Line
468600,2026-06-08 16:52:00,retirement_outage,700G,1,1,1,Closed,0.632,19,12,7,60011536.0,VAN_8,TYLERSW_8,2,Line
2122,2026-04-13 00:00:00,retirement_outage,975D,1,1,1,Closed,0.611,18,11,7,60002791.0,MABANK_8,EUSTACE_8,1,Line
314840,2025-11-08 22:58:00,retirement_outage,ELBOWBULLDOG1,1,1,1,Closed,0.6,20,12,8,60004557.0,SU_ELBOW,BULLDOG,1,Line
337527,2024-10-18 18:01:00,retirement_outage,6274C,1,1,1,Closed,0.6,20,12,8,60008965.0,ROANOKE1_8,ELIZCRK1_8,1,Line
420142,2026-05-04 18:57:00,retirement_outage,SCARBISTILLM11,1,1,1,Closed,0.6,20,12,8,60012188.0,SCARBIDE4A,STILLMAN,1,Line
4176,2025-07-01 07:00:00,retirement_outage,MCECTIE11,1,1,1,Closed,0.55,20,11,9,60006096.0,DUTTON_9,BRADYRE2,1,Line
2048,2026-06-08 16:52:00,retirement_outage,700A,1,1,1,Closed,0.526,19,10,9,60002524.0,CANTNSW_8,VAN_8,1,Line
3054,2025-10-13 02:00:00,retirement_outage,1160B,1,1,1,Closed,0.526,19,10,9,60000163.0,NTHLK_N8,IRV_VR2_8,1,Line
1295,2025-10-13 02:00:00,retirement_outage,3770C,1,1,1,Closed,0.526,19,10,9,60001439.0,NTHLK_S8,IRV_VR1_8,1,Line
1301,2025-10-24 18:01:00,retirement_outage,3790G,1,1,1,Closed,0.5,20,10,10,60001447.0,NTHLK_N8,NLKPMP1T_8,1,Line
1956,2026-03-23 15:32:00,retirement_outage,1665A,3,3,2,Closed,0.5,20,10,10,60000567.0,HUTTOSS1_8,TAYLOR_W1_8,1,Line
