teid,branch_id,DeviceType,from_bus,to_bus,ckt,match_status,unmatched_reason,dam_bucket,problem,suggested_action
114370,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
118783,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
121226,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
124521,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
124531,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
124572,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
126113,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
126152,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
126308,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
128759,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
131918,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
140019,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
14203,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
152815,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
153990,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
155603,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
19350,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
20329,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
20667,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
207095,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
20932,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
21244,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
21504,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
222519,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
230499,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
232237,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
24399,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
24405,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
246538,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
254162,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
254163,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
27035,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
27505,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
277205,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279003,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279018,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279025,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279029,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279040,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279048,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279061,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279070,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279075,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279080,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279082,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279085,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279089,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279091,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279093,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279097,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279098,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279100,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279103,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279105,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279110,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279144,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279170,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279203,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279223,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279232,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
