teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_agrees,fuzzy_ratio,is_high_side
519,0000fe55-9dee-4d3d-927c-537ff86353e2,Branch,ACLineSegment,1,VND_PLCE_1 1 1 69kV,5586,VANDERBLTSB9,VANBLT69,5590,PLACEDOSUB9,PLCEDOS,1,VND_PLCE_1,60007734.0,VND_PLCE1,,,1,Line,PLACEDOSUB9,VANDERBLTSB9,VND_PLCE_1,1,matched,True,0.0,False
670184,00022b4d-dc40-4b0b-9986-03963aa796f8,Branch,ACLineSegment,1,CERROR_POTOS_1_1 1 1 138kV,6313,POTOSI_T4A,POTOSI_T,60063,CERRORIC4A,CERRORIC,1,CERROR_POTOSI1_1,60091702.0,CERROR_POTOSI1,,,1,Line,POTOSI_T4A,CERRORIC4A,CERROR_POTOSI1_1,1,matched,True,0.0,False
579211,0005e8c3-f1f5-4aea-8ff1-1574ab3cf065,Branch,ACLineSegment,1,138_TCM_CTL_1 1 1 138kV,38580,TNCATTAIL_1,CATTAIL,39141,TNTXCITYMN1,TXCITYMN,1,138_TCM_CTL_1,60012237.0,138_TCM_CTL1,,,1,Line,TNTXCITYMN1,TNCATTAIL_1,138_TCM_CTL_1,1,matched,True,0.0,False
25363,000a86f1-cca3-47cd-b789-6642d193464d,Branch,ACLineSegment,1,SILR_SILVER1_1 1 1 69kV,6427,SILVER,SILVER,6428,SILR2A,SILR,1,SILR_SILVER1_1,60007219.0,SILR_SILVER11,,,1,Line,SILVER,SILR2A,SILR_SILVER1_1,1,matched,True,0.0,False
713,00119def-8e80-43a3-a265-7261809cebf2,Branch,ACLineSegment,1,6435__M _M 1 138kV,2109,WHITE1_T8,WHTT1,2112,WHITE2_8,WHITE,_M,6435__M,60002138.0,6435_M,,,1,Line,WHITE2_T8,WHITE2_8,6435__M,_M,matched,True,0.0,False
1019,001824dd-7775-4032-912e-9557fca8b60e,Branch,ACLineSegment,1,33T218_1 1 1 138kV,7100,L_BURNET8_1Y,BURNET,7104,L_WIRTZ_8_1Y,WIRTZ,1,33T218_1,60001232.0,33T2181,,,1,Line,L_WIRTZ_8_1Y,L_BURNET8_1Y,33T218_1,1,matched,True,0.0,False
392116,0018c238-7773-4086-a054-ac610641fca9,Branch,ACLineSegment,1,138_LTB_ARW_1 1 1 138kV,38480,TNARROWHD_1,ARROWHD,60392,LOTEBUSH4A,LOTEBUSH,1,138_LTB_ARW_1,60009833.0,138_LTB_ARW1,,,1,Line,TNARROWHD_1,LOTEBUSH4A,138_LTB_ARW_1,1,matched,True,0.0,False
747861,00199401-0161-45e7-94ef-f11a787d98c5,Branch,ACLineSegment,1,1267_A _A 1 138kV,32,ROBERTSON,RBS,3707,CANNON_8,CANSW,_A,1267__A,60113935.0,1267_A,,,1,Line,ROBERTSON,CANNON_8,1267__A,_A,duplicate_resolved_by_opeqcode,True,0.0,False
1721,00201cbe-fbdf-4abb-adf8-53c69b2bc72e,Branch,ACLineSegment,1,1890_B _B 1 138kV,3564,WACO_MM11_8,WMMM2,3698,WACOMMP11_8,WMMMR,_B,1890__B,60000708.0,1890_B,,,1,Line,WACO_MM11_8,WACOMMP11_8,1890__B,_B,matched,True,0.0,False
603719,00344a59-3a88-49c8-8b39-456d0027eadf,Branch,ACLineSegment,1,YNG_WND_TL_1 _1 1 345kV,11523,THOMPRCE_5,TOMSW,152534,YNG_WND_5,YNG_WND,_1,YNG_WND_TL__1,60092515.0,YNG_WND_TL_1,,,1,Line,YNG_WND_5,THOMPRCE_5,YNG_WND_TL__1,_1,duplicate_resolved_by_opeqcode,True,0.0,False
1020,0037c8b2-8cf6-4b93-9ad9-aafcd8b633ba,Branch,ACLineSegment,1,CAL_WW_ODEM1_1 1 1 69kV,8810,ODEM2A,ODEM,8867,CAL_WWKS2A,CAL_WWKS,1,CAL_WW_ODEM1_1,60003624.0,CAL_WW_ODEM11,,,1,Line,CAL_WWKS2A,ODEM2A,CAL_WW_ODEM1_1,1,matched,True,0.0,False
