teid,branch_id,branch_name,op_eqcode,device_type,from_name,to_name,ckt,other_branch_ids_sharing_teid,other_branch_names_sharing_teid
78,60005322,HIL_NWTH,HIL_NWTH_1,Line,HILLTOP8,NRTHWTHFRD,1,60008360,HIL_WTLK1
78,60008360,HIL_WTLK1,HIL_WTLK_1,Line,HILLTOP8,WTHFDLK,1,60005322,HIL_NWTH
123,60006326,NAVO_PNTHR,NAVO_PNTHR_1,Line,PNTHRCREEK,NAVO,1,60009428,PRVNTP_PNTHR1
123,60009428,PRVNTP_PNTHR1,PRVNTP_PNTHR_1,Line,PARVIN_TAP2,PNTHRCREEK,1,60006326,NAVO_PNTHR
267,60005633,KINGNW_KING_T2,KINGNW_KING_T2_1,Line,L_KINGMO8_1Y,KING_NW_1_8,1,60011027,KINGNW_KNGWTAP1
267,60011027,KINGNW_KNGWTAP1,KINGNW_KNGWTAP_1,Line,KING_NW_1_8,KING_NW_8,1,60005633,KINGNW_KING_T2
298,60003281,BETHL_FORE,BETHL_FORE_1,Line,BETHEL,FORRESTON,1,60008875,BETHL_BRDSW1
298,60008875,BETHL_BRDSW1,BETHL_BRDSW_1,Line,BARDWELL_9,BETHEL2,1,60003281,BETHL_FORE
361,60002215,6510_D,6510__D,Line,ODESSA1_8,LIQDAIR_8,1,60011482,6512_A
361,60011482,6512_A,6512__A,Line,ODESSA2_8,LIQAIRTP_8,1,60002215,6510_D
431,60003148,AZTECA_DUKE1,AZTECA_DUKE1_1,Line,AZTECA4,HEC4A,1,60009181,AZTECA_HEC11
431,60009181,AZTECA_HEC11,AZTECA_HEC1_1,Line,AZTECA4A,HEC4A,1,60003148,AZTECA_DUKE1
540,60003102,ASPM_PAIP1,ASPM_PAIP1_1,Line,ASPM4A,PAIP4A,1,60008426,ASPM_PAINTC11
540,60008426,ASPM_PAINTC11,ASPM_PAINTC1_1,Line,ASPM4A,PAINTCRE4A,1,60003102,ASPM_PAIP1
545,60002876,ABRL_WYLE1,ABRL_WYLE1_1,Line,ABRL4A,WYLE4A,1,60009058,REBECC_WYLE11
545,60009058,REBECC_WYLE11,REBECC_WYLE1_1,Line,REBECCA4A,WYLE4A,1,60002876,ABRL_WYLE1
547,60087067,SAPS_SASH11,SAPS_SASH1_1,Line,SAPS4B,SASH4A,1,60008077,SAPOWE_SOUTHL11
547,60008077,SAPOWE_SOUTHL11,SAPOWE_SOUTHL1_1,Line,SAPOWER4B,SOUTHLAN4A,1,60087067,SAPS_SASH11
551,60085555,PAULAN_SARC11,PAULAN_SARC1_1,Line,PAULANN4A,SARC4A,1,60006620,PAULAN_REDCRE11
551,60006620,PAULAN_REDCRE11,PAULAN_REDCRE1_1,Line,REDCREEK4A,PAULANN4A,1,60085555,PAULAN_SARC11
553,60007041,SACH_SASH1,SACH_SASH1_1,Line,SACH4A,SASH4A,1,60008075,SACH_SOUTHL11
553,60008075,SACH_SOUTHL11,SACH_SOUTHL1_1,Line,SOUTHLAN4A,SACH4A,1,60007041,SACH_SASH1
554,60006621,PAULAN_SANO1,PAULAN_SANO1_1,Line,PAULANN4A,SANO4A,1,60008430,PAULAN_SANORT11
554,60008430,PAULAN_SANORT11,PAULAN_SANORT1_1,Line,SANORTH4A,PAULANN4A,1,60006621,PAULAN_SANO1
560,60002879,ABSO_BLUF_C1,ABSO_BLUF_C1_1,Line,ABSO4A,BLF_CRK4C,1,60009065,BLUF_C_SOUTHA11
560,60009065,BLUF_C_SOUTHA11,BLUF_C_SOUTHA1_1,Line,BLF_CRK4A,SOUTHABI4A,1,60002879,ABSO_BLUF_C1
562,60079116,ABEA_ABMS11,ABEA_ABMS1_1,Line,ABEA4A,ABMS4A,1,60009071,ABEAST_MAPLES11
562,60009071,ABEAST_MAPLES11,ABEAST_MAPLES1_1,Line,MAPLESTR4A,ABEAST4A,1,60079116,ABEA_ABMS11
565,60085384,ORNT_SARC11,ORNT_SARC1_1,Line,ORNT4A,SARC4A,1,60006552,ORNT_REDCRE11
565,60006552,ORNT_REDCRE11,ORNT_REDCRE1_1,Line,ORNT4A,REDCREEK4A,1,60085384,ORNT_SARC11
566,60007050,SALD_SANO1,SALD_SANO1_1,Line,SANO4A,SALD4A,1,60008679,LAKEDR_SANORT11
566,60008679,LAKEDR_SANORT11,LAKEDR_SANORT1_1,Line,LAKEDRIV4A,SANORTH4A,1,60007050,SALD_SANO1
570,60003389,BLUFFS_SALD1,BLUFFS_SALD1_1,Line,SALD4A,SABLUFF4,1,60008680,BLUFFS_LAKEDR11
570,60008680,BLUFFS_LAKEDR11,BLUFFS_LAKEDR1_1,Line,SABLUFF4,LAKEDRIV4A,1,60003389,BLUFFS_SALD1
571,60083775,LCRANE_RIOP11,LCRANE_RIOP1_1,Line,,,1,60005772,LCRANE_RIOPEC11
571,60005772,LCRANE_RIOPEC11,LCRANE_RIOPEC1_1,Line,L_LCRANE8_1Y,RIOPECOS4A,1,60083775,LCRANE_RIOP11
591,60080056,BENF_SARC11,BENF_SARC1_1,Line,BENF4A,SARC4A,1,60008068,BENFIC_REDCRE11
591,60008068,BENFIC_REDCRE11,BENFIC_REDCRE1_1,Line,BENFICKL4A,REDCREEK4A,1,60080056,BENF_SARC11
596,60079159,ABMS_ABSO11,ABMS_ABSO1_1,Line,ABSO4A,ABMS4A,1,60009061,MAPLES_SOUTHA11
596,60009061,MAPLES_SOUTHA11,MAPLES_SOUTHA1_1,Line,MAPLESTR4A,SOUTHABI4A,1,60079159,ABMS_ABSO11
600,60005208,HAML_HAMR1,HAML_HAMR1_1,Line,HAMR2A,HAML2A,1,60008045,HAMLIN_HAMR11
600,60008045,HAMLIN_HAMR11,HAMLIN_HAMR1_1,Line,HAMR2A,HAMLIN2A,1,60005208,HAML_HAMR1
628,60002923,AFTO_ROAR1,AFTO_ROAR1_1,Line,ROAR2A,AFTO2A,1,60009021,AFTON_ROARIN11
628,60009021,AFTON_ROARIN11,AFTON_ROARIN1_1,Line,AFTON2A,ROARINGS2A,1,60002923,AFTO_ROAR1
634,60086907,SAND_VERS11,SAND_VERS1_1,Line,,,1,60007077,SANDRO_VERS11
634,60007077,SANDRO_VERS11,SANDRO_VERS1_1,Line,VERS2A,SANDROAD2A,1,60086907,SAND_VERS11
636,60004614,ESTL_TURKEY1,ESTL_TURKEY1_1,Line,ESTL2A,TURK2A,1,60008036,ESTELL_TURKEY11
636,60008036,ESTELL_TURKEY11,ESTELL_TURKEY1_1,Line,TURK2A,ESTELLIN2A,1,60004614,ESTL_TURKEY1
637,60086539,RIOP_SCROSS11,RIOP_SCROSS1_1,Line,,,1,60006952,RIOPEC_SCROSS11
637,60006952,RIOPEC_SCROSS11,RIOPEC_SCROSS1_1,Line,RIOPECOS2A,SCROSSTP2A,1,60086539,RIOP_SCROSS11
638,60086719,SAAN_SAPS11,SAAN_SAPS1_1,Line,SAPS2A,SAAN2A,1,60010224,AVENUE_SAPOWE11
638,60010224,AVENUE_SAPOWE11,AVENUE_SAPOWE1_1,Line,SAPOWER2A,AVENUEN2A,1,60086719,SAAN_SAPS11
641,60003750,CEDH_EDIT1,CEDH_EDIT1_1,Line,EDIT2A,CEDH2A,1,60008064,CEDRHI_EDIT11
641,60008064,CEDRHI_EDIT11,CEDRHI_EDIT1_1,Line,CEDRHILL2A,EDIT2A,1,60003750,CEDH_EDIT1
644,60002883,ABSO_SHARPT1,ABSO_SHARPT1_1_,Line,ABSO4A,SHARPTAP4A,1,60064537,SHARPT_SOUTHA11
644,60064537,SHARPT_SOUTHA11,SHARPT_SOUTHA1_1,Line,SHARPTAP4A,SOUTHABI4A,1,60002883,ABSO_SHARPT1
652,60004847,FTFP_ROBRST1,FTFP_ROBRST1_1,Line,ABRP2A,FTPHPMP2A,1,60008050,PHANPM_ROBRST1
652,60008050,PHANPM_ROBRST1,PHANPM_ROBRST1_1,Line,ROBRSTAP2A,PHANPMPT2A,1,60004847,FTFP_ROBRST1
656,60005573,JUNC_KMJC1,JUNC_KMJC1_1,Line,JUNC2A,KMJCR,1,60009104,JUNCTI_KMJC11
656,60009104,JUNCTI_KMJC11,JUNCTI_KMJC1_1,Line,KMJCR,JUNCTION2A,1,60005573,JUNC_KMJC1
658,60004053,CONCHO_SAEM11,CONCHO_SAEM1_1,Line,CONCHO2A,SAEM2A,1,60086790,SACO_SAEM11
658,60086790,SACO_SAEM11,SACO_SAEM1_1,Line,SACO2A,SAEM2A,1,60004053,CONCHO_SAEM11
690,60079791,ATTA_VALE11,ATTA_VALE1_1,Line,TALPATL2,VALE2A,1,60007465,TALPAA_VALE11
690,60007465,TALPAA_VALE11,TALPAA_VALE1_1,Line,VALE2A,TALPATL2A,1,60079791,ATTA_VALE11
696,60002999,ALMC_VALT1,ALMC_VALT1_1,Line,VALT2A,ALMC2A,1,60009638,ALMC_VALENT11
696,60009638,ALMC_VALENT11,ALMC_VALENT1_1,Line,VALENTIN2A,ALMC2A,1,60002999,ALMC_VALT1
697,60002865,ABOV_ABPG1,ABOV_ABPG1_1,Line,ABOV2A,ABPG2A,1,60009070,ABPOWE_OVERST11
697,60009070,ABPOWE_OVERST11,ABPOWE_OVERST1_1,Line,OVERSTRE2A,ABPOWERS2A,1,60002865,ABOV_ABPG1
698,60003010,ALPI_PAIS1,ALPI_PAIS1_1,Line,ALPI2A,PAIS2A,1,60008692,ALPINE_PAIS11
698,60008692,ALPINE_PAIS11,ALPINE_PAIS1_1,Line,ALPINE2A,PAIS2A,1,60003010,ALPI_PAIS1
767,60000056,1055_K,1055__K,Line,KELLER,KELLER2_T8,1,60092053,1075_C
767,60092053,1075_C,1075__C,Line,KELLER2_T8,KELLER2,1,60000056,1055_K
790,60090501,6530_C,6530__C,Line,JACKRABT2_T8,ODESEHV_8,1,60002228,6535_B
790,60002228,6535_B,6535__B,Line,ODESEHV_8,TEXINSTA_8,1,60090501,6530_C
821,60002144,6437_D,6437__D,Line,ENISCKTA_8,ENNISCK_8,1,60007983,6429_D
821,60007983,6429_D,6429__D,Line,ENISCKTA_8,BRAND_8,1,60002144,6437_D
880,60003181,BALG_COLE_I1,BALG_COLE_I1_1,Line,BALG4A,COLE_IVI4A,1,60009098,BALLIN_COLE_I11
880,60009098,BALLIN_COLE_I11,BALLIN_COLE_I1_1,Line,COLE_IVI4A,BALLINGE4A,1,60003181,BALG_COLE_I1
887,60003983,CLYD_CLYM_T1,CLYD_CLYM_T1_1,Line,CLYDMGT2,CLYD2A,1,60009083,CLYDE_CLYM_T11
887,60009083,CLYDE_CLYM_T11,CLYDE_CLYM_T1_1,Line,CLYDE2A,CLYM2A,1,60003983,CLYD_CLYM_T1
888,60082781,HARI_MILE11,HARI_MILE1_1,Line,MILE2A,HARI2A,1,60005221,HARI_MILES11
888,60005221,HARI_MILES11,HARI_MILES1_1,Line,HARI2A,MILES2A,1,60082781,HARI_MILE11
890,60005237,HASKEL_JOSS1,HASKEL_JOSS1_1,Line,HSKL2A,JOSS2A,1,60009019,HASKEL_JOSSEL11
890,60009019,HASKEL_JOSSEL11,HASKEL_JOSSEL1_1,Line,HSKL2A,JOSSELLE2A,1,60005237,HASKEL_JOSS1
1021,60079017,1341T2441,1341T244_1,Line,L_MECRTA8_1Y,HELOTES,1,60009583,K0_MNGR
1021,60009583,K0_MNGR,K0_MNGR_1,Line,RANCHTWN,L_MENGCR8_1Y,1,60079017,1341T2441
1057,60003185,BALG_HUMBLT1,BALG_HUMBLT1_1,Line,BALG2A,BALEXTP2,1,60009095,BALLIN_HUMBLT11
1057,60009095,BALLIN_HUMBLT11,BALLIN_HUMBLT1_1,Line,BALEXTP2A,BALLINGE2A,1,60003185,BALG_HUMBLT1
1062,60003296,BGLK_KEMPER1,BGLK_KEMPER1_1,Line,BGLK2A,KEMPERTP2A,1,60009114,BIGLAK_KEMPER11
