teid,in_service_date,n_energization_events,n_energization_actual_events,n_energization_chains,energization_device_name,retirement_date,n_retirement_events,n_retirement_actual_events,n_retirement_chains,retirement_device_name,default_status_majority,pct_closed,n_status_rows,status_review_flag,in_service_date_source,retirement_date_source,retirement_status_uncertain,had_dropped_evidence,review_flag
1,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
3,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
4,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
5,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
6,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
7,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
11,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.85,20,clear_majority,default,default,False,False,ok
15,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.9,20,clear_majority,default,default,False,False,ok
16,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
17,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
18,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
19,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
20,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
21,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
22,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
23,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
25,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
26,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
27,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
28,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,,,0,no_pto_data,default,default,False,False,ok
29,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
30,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
31,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
32,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
33,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
34,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
35,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
36,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
37,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
38,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
40,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
41,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.5,16,mixed,default,default,False,False,ok
42,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
43,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
44,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
45,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,18,clear_majority,default,default,False,False,ok
46,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.7,20,mixed,default,default,False,False,ok
47,2019-10-03 09:43:00,2,1,1,CKT9841,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,energization_outage,default,False,False,ok
48,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
49,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
50,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
60,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
61,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
62,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
63,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
64,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
65,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
66,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
67,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
68,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
70,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
71,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
72,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.85,20,clear_majority,default,default,False,False,ok
74,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
76,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
77,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
78,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
80,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
81,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
82,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
83,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
84,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
85,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
86,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
87,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
88,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
89,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
90,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
91,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
93,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
94,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
95,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
99,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
100,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
102,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.95,20,clear_majority,default,default,False,False,ok
103,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
104,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
105,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
106,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
107,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
108,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
109,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
110,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
111,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
112,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
113,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
115,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.857,7,clear_majority,default,default,False,False,ok
116,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
117,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
118,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
119,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
123,2019-10-29 07:01:00,1,1,1,PRVNTPPNTHR1,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,energization_outage,default,False,False,ok
124,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
125,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
126,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
127,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
128,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
129,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
130,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
131,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.95,20,clear_majority,default,default,False,False,ok
132,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
133,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,17,clear_majority,default,default,False,False,ok
134,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
135,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
136,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
138,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
139,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
144,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
145,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
146,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
148,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
149,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
150,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
153,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.9,20,clear_majority,default,default,False,False,ok
157,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
158,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
159,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
160,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
161,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
162,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
163,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
164,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
167,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
168,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
171,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
172,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
173,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,3,clear_majority,default,default,False,False,ok
175,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
176,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,0.947,19,clear_majority,default,default,False,False,ok
177,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
178,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
179,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
182,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Open,0.0,20,clear_majority,default,default,False,False,ok
184,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
185,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
187,1990-01-01 00:00:00,0,0,0,,2099-12-31 00:00:00,0,0,0,,Closed,1.0,20,clear_majority,default,default,False,False,ok
