teid,OpEqName,leg_orientation_confirmed,pairing_method,high_side_branch_id,high_side_op_eqcode,low_side_branch_id,low_side_op_eqcode
280444,SNDSW_MR1L,True,no_sibling_found,60007279.0,SNDSW_AXFMR1L-H,,
327869,DERMOTT_T2,True,no_sibling_found,60112803.0,DERMOTT_T2H,,
279634,FORMOSA_TR21,True,same_teid_hl_suffix,60082236.0,FORMOSA_TR21H,60032846.0,FORMOSA_TR21_L
98510,ACSSW_AX1H,True,no_sibling_found,60008254.0,ACSSW_AX1HH,,
316345,PANDA_T1_12AT,False,same_teid_bus_pair_no_suffix,60112421.0,PANDA_T1_12AT,60006598.0,PANDA_T1_12BAT10
375369,MARION_AT3L,True,no_sibling_found,60111029.0,MARION_AT3HL_H,,
279822,LA_PALMA_XF1B,True,no_sibling_found,,,60005722.0,LA_PALMA_345_138L
121955,BNBSW_MR2L,True,no_sibling_found,60111318.0,BNBSW_AXFMR2L_H,,
279826,WIRTZ_GSU2,False,same_teid_bus_pair_no_suffix,60111025.0,WIRTZ_GSU2,60088673.0,WIRTZ_34GSUT2
828947,TIDEHAVE_TR2,True,no_sibling_found,,,60101276.0,TIDEHAVE_TR2_L
43247,JCKCNTY2_U3XF,False,same_teid_bus_pair_no_suffix,60110616.0,JCKCNTY2_U3XF,60005516.0,JCKCNTY2_UNIT3_XFMR
279191,BARL_FMR1,True,same_teid_hl_suffix,60016208.0,BARL_XFMR1_H,60009983.0,BARL_XFMR1_L
280312,AMOCOOIL_GSU3,False,same_teid_bus_pair_no_suffix,60111783.0,AMOCOOIL_GSU3,60079577.0,AMOCOOIL_GSUT3
280313,GIDEON_GSU3,False,same_teid_bus_pair_no_suffix,60111039.0,GIDEON_GSU3,60005042.0,GIDEON_4_GSUT3
441993,W_LD_138_LDXF,True,no_sibling_found,,,60076505.0,W_LD_138_LDXF_L
12853,GUNMTN_T1,True,no_sibling_found,60112146.0,GUNMTN_GMTN_H,,
74129,LHORN_N_T2,True,no_sibling_found,60112285.0,LHORN_N_XFMR-T2_H,,
279293,CMNSW_MR1H,True,no_sibling_found,60003988.0,CMNSW_AXFMR1H,,
354810,PHR_AT3,True,no_sibling_found,60111453.0,PHR_AT3_H,,
842700,TIMPP_SU3H,True,no_sibling_found,60112734.0,TIMPP_SU3H,,
30128,COTTON_T3,False,same_teid_bus_pair_no_suffix,60112567.0,COTTON_T3,60004079.0,COTTON_CW-T3
279218,MCSES_MR1H,True,no_sibling_found,60110793.0,MCSES_AXFMR1H,,
280447,SNDSW_MR1H,True,no_sibling_found,60007278.0,SNDSW_AXFMR1H-H,,
124631,SCOSW_MR2L,True,no_sibling_found,,,60007139.0,SCOSW_AXFMR2L
346164,BERGHE_AT1L,True,no_sibling_found,60011059.0,BERGHE_AT1L_H,,
279816,WHTNY_HT1H,True,no_sibling_found,60007828.0,WHTNY_WHT1H_H,,
41231,DOWGEN_F760,False,same_teid_bus_pair_no_suffix,60111756.0,DOWGEN_XF760,60081647.0,DOWGEN_LDXF760
155001,DCSES_MR1H,True,no_sibling_found,60004238.0,DCSES_AXFMR1H_H,,
279797,EXN_T390,False,same_teid_bus_pair_no_suffix,60111794.0,EXN_T390,60004642.0,EXN_TP390
148323,SHRSW_MR1H,True,no_sibling_found,60007196.0,SHRSW_AXFMR1H_H,,
721623,WTRML_MR2L,True,no_sibling_found,,,60094095.0,WTRML_MR2L
720535,MULBERRY_XF2L,True,no_sibling_found,60110976.0,MULBERRY_2_138_1_H,,
320953,N_SHARPE_PS3,False,same_teid_bus_pair_no_suffix,60111719.0,N_SHARPE_138_PS3_B,60053646.0,N_SHARPE_138_PS3_A
534358,RAB_XT3H,True,no_sibling_found,60111980.0,RAB_XT3H,,
126319,DMTSW_AX1H,True,no_sibling_found,60004322.0,DMTSW_AX1HH,,
90296,KENDAL_AT3L,True,no_sibling_found,60005601.0,KENDAL_AT3L_H,,
280321,GN_S_I_XT2L,True,no_sibling_found,,,60005072.0,GN_S_I_GNIN_T2L
280322,LMESA_FMR2,True,no_sibling_found,,,60110691.0,LMESA_AXFMR2_L
438336,HUTTO_MR2L,True,no_sibling_found,,,60011050.0,HUTTO_AXFMR2L
468071,FORMOSA_TR3H,True,no_sibling_found,60111060.0,FORMOSA_TR3H,,
27504,MDO_AT1L,True,no_sibling_found,60006128.0,MDO_AT1L_H,,
834209,FERIS_MR3H,True,no_sibling_found,60110779.0,FERIS_MR3H,,
280325,HHGT_T2H,True,no_sibling_found,60005294.0,HHGT_T2H,,
698656,OLKSW_MR1H,True,no_sibling_found,60111209.0,OLKSW_MR1H,,
139318,LIGSW_MR2H,True,no_sibling_found,60110761.0,LIGSW_AXFMR2H_H,,
7302,KENDAL_AT5L,True,no_sibling_found,60111027.0,KENDAL_AT5L_H,,
280326,BNDVS_DT1L,True,no_sibling_found,,,60003403.0,BNDVS_GABDT1L
61149,LFKSW_MR1L,True,no_sibling_found,60005813.0,LFKSW_AXFMR1L_H,,
95416,MARION_AT2L,True,no_sibling_found,60111028.0,MARION_AT2L_H,,
280330,MGSES_MR2H,True,no_sibling_found,60006157.0,MGSES_AXFMR2H,,
279336,COLETO_2H,True,no_sibling_found,60111066.0,COLETO_2H,,
659626,CHLD_XF1L,True,no_sibling_found,60110965.0,CHLD_1_69_1_H,,
300717,SENATEWD_T1,True,sibling_teid_null_matched_by_name_only,60087253.0,SENATEWD_T1_H,60007160.0,SENATEWD_T1_L
280331,LCSES_MR2L,True,no_sibling_found,,,60110861.0,LCSES_AXFMR2L
280332,VICTORIA_69A2,True,same_teid_hl_suffix,60072275.0,VICTORIA_138_69A2_H,60009991.0,VICTORIA_138_69A2_L
278963,WEC_XFMR,False,same_teid_bus_pair_no_suffix,60112261.0,WEC_XFMR,60007791.0,WEC_WECXFMR1
665378,TESSW_MR2L,True,no_sibling_found,,,60111312.0,TESSW_MR2L
48830,SRWE1_TR1,True,no_sibling_found,60112138.0,SRWE1_TR1H,,
329307,TCOSW_AX1L,True,no_sibling_found,60110730.0,TCOSW_AXFMR1LH,,
126307,HKBRY_MR3H,True,no_sibling_found,60110785.0,HKBRY_AXFMR3H_H,,
279115,GIBCRK_FM3L,True,no_sibling_found,,,60110647.0,GIBCRK_GCSWT3L
280335,RIOPECOS_69-1,True,same_teid_hl_suffix,60060758.0,RIOPECOS_138_69_1_H,60009979.0,RIOPECOS_138_69_1_L
828814,WCRSW_MR1L,True,no_sibling_found,,,60110887.0,WCRSW_MR1L
279783,YELWJCKT_69T2,True,same_teid_hl_suffix,60076784.0,YELWJCKT_138_69_2_H,60009970.0,YELWJCKT_138_69_2_L
279727,HHGT_T1H,True,no_sibling_found,60005291.0,HHGT_T1H,,
279321,WTRML_MR1L,True,no_sibling_found,,,60007899.0,WTRML_AXFMR1L
368367,STNSW_AX1L,True,no_sibling_found,60111216.0,STNSW_AXFMR1LH,,
84411,MOZART_T1,True,no_sibling_found,60006252.0,MOZART_T1_H,,
280336,DANSBY_T1,True,sibling_teid_null_matched_by_name_and_pair,60111381.0,DANSBY_T1_H,60010477.0,DANSBY_T1_L
125352,NCARBIDE_69A2,True,same_teid_hl_suffix,60006345.0,NCARBIDE_138_69A2_H,60052040.0,NCARBIDE_138_69A2_L
443804,WINCHES_AT2L,True,no_sibling_found,60011061.0,WINCHES_AT2L_H,,
84214,RSNAKE_T1,True,no_sibling_found,60112140.0,RSNAKE_T1_H,,
429039,RVRSW_AX1L,True,no_sibling_found,60011071.0,RVRSW_AX1LH,,
279383,BLUF_CRK_T2_L,True,same_teid_hl_suffix,60009968.0,BLUF_CRK_T2_L_H,60003384.0,BLUF_CRK_T2_L
280340,SWEETWN4_XF4A,False,same_teid_bus_pair_no_suffix,60112758.0,SWEETWN4_XF4A,60007425.0,SWEETWN4_4A
280010,DT_AT1H,True,no_sibling_found,60004435.0,DT_AT1H_H,,
326920,ZEN_AT2H,True,no_sibling_found,60111484.0,ZEN_AT2H_H,,
441596,SLKSW_AX2L,True,no_sibling_found,60011076.0,SLKSW_AX2LH,,
280342,REDCREEK_T2L,True,no_sibling_found,,,60087141.0,SARC_T2L
503224,QRYSW_AX2L,True,no_sibling_found,,,60111184.0,QRYSW_AX2L
279786,WO_AT2,True,no_sibling_found,60007867.0,WO_AT2_H,,
132781,CBFSW_MR1L,True,no_sibling_found,60111201.0,CBFSW_AXFMR1LH,,
327085,JCK_AT1,True,no_sibling_found,60111474.0,JCK_AT1_H,,
279869,OGSES_MPT2,False,same_teid_bus_pair_no_suffix,60112061.0,OGSES_MPT2,60006503.0,OGSES_OGMPT2
326921,ZEN_AT2,True,no_sibling_found,60111489.0,ZEN_AT2_H,,
279380,BLUF_CRK_T2_H,True,no_sibling_found,60010037.0,BLUF_CRK_T2_H_H,,
280345,CAPRIDGE_R3T1,False,same_teid_bus_pair_no_suffix,60112780.0,CAPRIDGE_R3T1,60003658.0,CAPRIDGE_WCR3-T1
313506,CLEASP_AT2L,True,no_sibling_found,60003965.0,CLEASP_AT2L_H,,
503203,QRYSW_AX1L,True,no_sibling_found,,,60111183.0,QRYSW_AX1L
320410,YUCSW_MR1L,True,no_sibling_found,60111172.0,YUCSW_MR1LH,,
279818,WHTNY_MR2H,True,no_sibling_found,60007825.0,WHTNY_AXFMR2H_H,,
408997,SGSA_A2,True,same_teid_hl_suffix,60111002.0,SGSA_138_69_2_H,60064433.0,SGSA_138_69_2_L
279705,SMITHV_AT3,True,same_teid_hl_suffix,60065705.0,SMITHV_AT3H,60111041.0,SMITHV_AT3L
279168,SWEETWN3_XF32,False,same_teid_bus_pair_no_suffix,60112756.0,SWEETWN3_XF32,60087683.0,SWEETWN3_XFMRT1
69336,CEDRHILL_T1,True,same_teid_hl_suffix,60110989.0,CEDRHILL_T1_H,60022549.0,CEDRHILL_T1_L
279472,AK_XT01,True,no_sibling_found,60009371.0,AK_AKXT01_H,,
303990,TB_AT1,True,no_sibling_found,60007475.0,TB_AT1_H,,
279104,MLSES_MR1L,True,no_sibling_found,,,60111270.0,MLSES_AXFMR1L
