teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,unmatched_reason
493744,18471b3f-b22b-407f-b93f-fbc9a4adbac0,Branch,ACLineSegment,1,BOG_T4S_1 1 1 12.47kV,110955,SL_11,SL,110961,BOG_T4S,BOG,1,BOG_T4S_1,,,,,,,,,,,unmatched,generation_plant_internal
4800,1e1ed054-929a-49e0-ba20-a4f4659e16ee,Branch,ACLineSegment,1,STE_DIES_1 1 1 13kV,952,DIESELA,DIESEL,150711,STEA_STEAM_1,STEAM1A,1,STE_DIES_1,,,,,,,,,,,unmatched,generation_plant_internal
493742,236fe478-e3ed-4d42-95e2-ad6aaf05eb28,Branch,ACLineSegment,1,BOG_T2S_1 1 1 12.47kV,110955,SL_11,SL,110958,BOG_T2S,BOG,1,BOG_T2S_1,,,,,,,,,,,unmatched,generation_plant_internal
493745,3a01fd41-a1b7-43e3-aa25-0150a146db69,Branch,ACLineSegment,1,BOG_T4T_1 1 1 12.47kV,110952,SL_9_1,SL,110962,BOG_T4T,BOG,1,BOG_T4T_1,,,,,,,,,,,unmatched,generation_plant_internal
493748,53138801-fa41-4605-a8fe-1629a20c6426,Branch,ACLineSegment,1,BOG_T6S_1 1 1 12.47kV,110950,SL_6,SL,110965,BOG_T6S,BOG,1,BOG_T6S_1,,,,,,,,,,,unmatched,generation_plant_internal
493743,54c5f2d2-3fca-4a6a-b976-18b1cd74de84,Branch,ACLineSegment,1,BOG_T2T_1 1 1 12.47kV,110953,SL_9,SL,110960,BOG_T2T,BOG,1,BOG_T2T_1,,,,,,,,,,,unmatched,generation_plant_internal
3954,790cfeec-1a9d-4ad2-abf7-09adf826997d,Branch,ACLineSegment,1,BUCH_COR_GSUT1_1 1 1 6.9000001kV,180001,BUC_BUCHANG1,BUCHAN,180004,BUCHAN_1,CORONA,1,BUCH_COR_GSUT1_1,,,,,,,,,,,unmatched,generation_plant_internal
4542,863de789-4477-4e1c-8d09-e41615af38ec,Branch,ACLineSegment,1,BUCH_COR_GSUT3_G3 G3 1 6.9000001kV,180003,BUC_BUCHANG3,BUCHAN,180006,BUCHAN_3,CORONA,G3,BUCH_COR_GSUT3_G3,,,,,,,,,,,unmatched,generation_plant_internal
493749,8c034fbd-f026-49da-8388-62e6be6826af,Branch,ACLineSegment,1,BOG_T6T_1 1 1 12.47kV,110951,SL_7,SL,110966,BOG_T6T,BOG,1,BOG_T6T_1,,,,,,,,,,,unmatched,generation_plant_internal
39803,8daefd6b-32f7-4259-a022-5ace020b696c,Branch,ACLineSegment,60,ZBR_BYUG8_BBP_1 1 60 13.8kV,110205,BYU_BYU_G8,BYU,110207,BBP_1_8,BBP,1,ZBR_BYUG8_BBP_1,,,,,,,,,,,unmatched,generation_plant_internal
493740,9d397bfe-ef94-4b2f-b75f-696be0ff1724,Branch,ACLineSegment,1,BOG_T1_1 1 1 34.5kV,110947,SL_3,SL,110957,BOG_T1_34,BOG,1,BOG_T1_1,,,,,,,,,,,unmatched,generation_plant_internal
493741,b0b3b2ef-3f38-4a93-9377-ec11be8a3091,Branch,ACLineSegment,1,BOG_T3_1 1 1 34.5kV,110948,SL_4,SL,110959,BOG_T3_34,BOG,1,BOG_T3_1,,,,,,,,,,,unmatched,generation_plant_internal
3320,caf35934-e673-4dd4-aceb-6e3ea33291cf,Branch,ACLineSegment,1,BUCH_COR_GSUT2_1 1 1 6.9000001kV,180002,BUC_BUCHANG2,BUCHAN,180005,BUCHAN_2,CORONA,1,BUCH_COR_GSUT2_1,,,,,,,,,,,unmatched,generation_plant_internal
493746,d009417a-e6c1-412f-8356-3dbb1f0feb01,Branch,ACLineSegment,1,BOG_T5S_1 1 1 12.47kV,110950,SL_6,SL,110963,BOG_T5S,BOG,1,BOG_T5S_1,,,,,,,,,,,unmatched,generation_plant_internal
493747,fdb3392f-4c2c-4a5f-9b1a-8d45474190e6,Branch,ACLineSegment,1,BOG_T5T_1 1 1 12.47kV,110951,SL_7,SL,110964,BOG_T5T,BOG,1,BOG_T5T_1,,,,,,,,,,,unmatched,generation_plant_internal
