Confidence,BusName (SSWG),Data Center Name,Online Date,BusID (SSWG),DAM Bus Name,kV,Crypto/Non-Crypto,Dispatchable,Max MW,Expected MW,DAM MW,NewLoad,Dispatchable_Derate,LoadID,NmmsStationCode,NmmsStationName,NmmsWeatherZone,busNum,busName,OldLoad,PrimaryLoadLabel,PrimaryLoadID
1.0,CORE_SW,CoreScientificDentonTX,2027-01-01,909,JCHRSTL,138.0,Crypto ,YES,324.0,325.0,60.0,260.0,0.5,D1,CALVERT,CALVERT,WZ_SOUTH_CENTRAL,909.0,CALVERT     ,60.0,,
1.0,BARBER_LK1_8 ,CipherMiningBarberLake,2026-12-01,1189,BRBSW,138.0,Crypto and AI,YES,300.0,300.0,0.0,240.0,0.5,D1,BRBSW,BARBER LAKE SWITCH,WZ_WEST,1189.0,BARBER_LK1_8,0.0,,
1.0,LONGCREK_5,VantageShackelfordCounty,2027-12-01,1435,LNCRK,345.0,Non-Crypto,NO,1400.0,1165.0,0.0,932.0,1.0,D1,TUTTLE,WB TUTTLE,WZ_SOUTH_CENTRAL,1435.0,TUTTLE,0.0,,
1.0,WHCCS2_5,MarathonDigitalGranburyTX,2022-01-01,1879,WHCCS2,,Crypto,YES,300.0,50.0,250.0,40.0,0.5,D1,WHCCS2,WOLF HOLLOW II,WZ_NORTH_CENTRAL,1879.0,WHCCS2_5    ,250.0,,
1.0,ATMEL1_T8,PowerHouseIrvingTX,2026-07-01,1996,DFWBE,138.0,Non-Crypto,NO,201.0,67.0,0.0,53.6,1.0,D1,REN,RENO,WZ_NORTH_CENTRAL,1996.0,RENO        ,0.0,,
2.0,ATMEL1_T8,PowerHouseIrvingTX,2027-03-01,1996,DFWBE,138.0,Non-Crypto,NO,201.0,50.0,0.0,40.0,1.0,D2,REN,RENO,WZ_NORTH_CENTRAL,1996.0,RENO        ,0.0,,
1.0,ATMEL2_T8,PowerHouseIrvingTX,2025-12-01,1997,DFWBE,138.0,Non-Crypto,NO,201.0,33.0,0.0,26.4,1.0,D1,DFWBE,DFW B-EAST,WZ_NORTH_CENTRAL,1997.0,ATMEL2_T8,0.0,DFWBE_LDHTCHI1,99
2.0,ATMEL2_T8,PowerHouseIrvingTX,2026-12-01,1997,DFWBE,138.0,Non-Crypto,NO,201.0,50.0,0.0,40.0,1.0,D2,DFWBE,DFW B-EAST,WZ_NORTH_CENTRAL,1997.0,ATMEL2_T8,0.0,DFWBE_LDHTCHI1,99
2.0,HICKS_SW1_5 ,CyrusOneDFW7,2026-07-01,2081,HCKSW ,345.0,Non-Crypto,YES,200.0,200.0,0.0,160.0,0.5,D1,MOUND,MOUND,WZ_NORTH_CENTRAL,2081.0,MOUND       ,0.0,,
1.0,PEBBLCRK_8,CompassRedOak,2027-07-01,2229,PEBSW,138.0,Non-Crypto,NO,360.0,306.0,60.0,244.8,1.0,D1,PEBSW,PEBBLE CREEK SWITCH,WZ_NORTH_CENTRAL,2229.0,PEBBLCRK_8,60.0,PEBSW_LD1,1 
