inr,mode,tool,fp,runlen
27INR0536,deep,Bash,curl:interchange.puc.texas.gov,26
26INR0156,deep,WebFetch,efts.sec.gov/LATEST/search-index,26
24INR0339,deep,WebFetch,www.bing.com/search,24
25INR0451,deep,Bash,python3,21
23INR0047,deep,Bash,curl:www.refugiocad.org,21
21INR0263,deep,Bash,curl:oeaaa.faa.gov,20
26INR0226,deep,Bash,curl:interchange.puc.texas.gov,19
25INR0417,deep,Bash,curl:www.uptoncad.org,19
24INR0339,deep,WebFetch,www.bing.com/search,18
23INR0235,deep,Bash,#,17
24INR0058,deep,Bash,,16
26INR0647,deep,Bash,curl:www.sec.gov,16
22INR0205,deep,Bash,curl:interchange.puc.texas.gov,15
22INR0205,deep,Bash,curl:interchange.puc.texas.gov,15
27INR0192,deep,Bash,,14
26INR0417,deep,WebFetch,efts.sec.gov/LATEST/search-index,14
26INR0290,deep,WebFetch,efts.sec.gov/LATEST/search-index,14
26INR0156,deep,WebFetch,data.texas.gov/resource/9cir-efmm.json,14
24INR0339,deep,WebFetch,efts.sec.gov/LATEST/search-index,14
24INR0339,deep,WebFetch,efts.sec.gov/LATEST/search-index,13
23INR0244,deep,Bash,curl:interchange.puc.texas.gov,13
26INR0387,deep,Bash,curl:interchange.puc.texas.gov,13
22INR0503,deep,Bash,curl:interchange.puc.texas.gov,13
26INR0290,deep,Bash,,13
27INR0056,deep,Bash,curl:www.pecoscad.org,13
20INR0069,deep,Bash,curl:interchange.puc.texas.gov,13
21INR0341,deep,WebFetch,comptroller.texas.gov/economy/local,12
27INR0367,deep,Bash,curl:www.sterlingcad.org,12
26INR0269,deep,WebFetch,efts.sec.gov/LATEST/search-index,12
22INR0301,deep,Bash,uv,11
25INR0334,deep,Bash,uv,11
26INR0375,deep,Bash,,11
25INR0375,triage,Bash,curl:interchange.puc.texas.gov,11
24INR0339,deep,WebFetch,www.bing.com/search,11
22INR0239,deep,Bash,curl:interchange.puc.texas.gov,10
26INR0417,deep,WebFetch,efts.sec.gov/LATEST/search-index,10
27INR0536,deep,Bash,curl:overpass-api.de,10
26INR0474,deep,Bash,curl:data.texas.gov,10
23INR0290,deep,Bash,curl:actweb.acttax.com,10
25INR0341,triage,Bash,uv,10
21INR0341,deep,WebFetch,edf-re.com/news/press-releases,10
23INR0140,deep,WebFetch,efts.sec.gov/LATEST/search-index,9
25INR0081,deep,Bash,uv,9
24INR0339,deep,WebFetch,www.bing.com/search,9
25INR0081,deep,Bash,curl:interchange.puc.texas.gov,9
23INR0421,deep,Bash,curl:interchange.puc.texas.gov,9
23INR0290,deep,WebFetch,efts.sec.gov/LATEST/search-index,9
26INR0290,deep,Bash,curl:comptroller.texas.gov,9
27INR0005,deep,Bash,curl:interchange.puc.texas.gov,9
27INR0132,deep,Bash,curl:interchange.puc.texas.gov,9
27INR0367,deep,Bash,curl:www.sec.gov,9
23INR0047,triage,Bash,curl:interchange.puc.texas.gov,9
28INR0089,deep,Bash,grep,9
20INR0129,deep,Bash,,9
19INR0134,deep,Bash,curl:www.sec.gov,9
27INR0084,deep,TaskCreate,TaskCreate,8
27INR0434,deep,Bash,curl:www.sec.gov,8
21INR0491,deep,Bash,python3,8
27INR0132,deep,Bash,curl:services1.arcgis.com,8
21INR0341,deep,WebFetch,efts.sec.gov/LATEST/search-index,8
23INR0047,deep,Bash,,8
23INR0056,deep,WebFetch,www15.tceq.texas.gov/crpub/index.cfm,8
26INR0155,triage,WebFetch,comptroller.texas.gov/economy/local,8
27INR0438,deep,Bash,uv,8
27INR0557,deep,TaskCreate,TaskCreate,8
26INR0113,deep,TaskCreate,TaskCreate,8
22INR0558,triage,Bash,curl:interchange.puc.texas.gov,8
22INR0503,deep,Bash,curl:interchange.puc.texas.gov,8
26INR0375,deep,Bash,curl:interchange.puc.texas.gov,8
26INR0474,deep,WebFetch,efts.sec.gov/LATEST/search-index,8
24INR0117,deep,Bash,#,8
25INR0451,deep,Bash,python3,8
24INR0282,deep,WebFetch,efts.sec.gov/LATEST/search-index,8
24INR0339,deep,WebFetch,www.bing.com/search,8
25INR0557,deep,Bash,curl:uptoncad.org,8
24INR0386,deep,Bash,curl:services1.arcgis.com,8
25INR0018,triage,WebFetch,comptroller.texas.gov/economy/local,8
24INR0410,deep,Bash,curl:www.sec.gov,8
25INR0417,deep,WebFetch,efts.sec.gov/LATEST/search-index,8
28INR0090,deep,TaskCreate,TaskCreate,7
24INR0188,deep,Bash,curl:overpass-api.de,7
26INR0155,deep,TaskCreate,TaskCreate,7
26INR0386,deep,TaskCreate,TaskCreate,7
25INR0557,deep,Bash,python3,7
26INR0156,deep,WebFetch,efts.sec.gov/LATEST/search-index,7
25INR0591,deep,WebFetch,data.texas.gov/resource/9cir-efmm.json,7
27INR0181,deep,Bash,curl:www15.tceq.texas.gov,7
27INR0132,deep,Bash,uv,7
22INR0262,deep,Bash,uv,7
23INR0029,deep,Bash,curl:esearch.chamberscad.org,7
23INR0070,triage,WebFetch,comptroller.texas.gov/economy/local,7
22INR0203,deep,WebFetch,investor.wecenergygroup.com/investors/news-releases,7
27INR0005,deep,Bash,curl:www.sec.gov,7
27INR0132,deep,Bash,uv,7
27INR0236,triage,WebFetch,comptroller.texas.gov/economy/local,7
20INR0155,deep,Bash,#,7
25INR0271,triage,WebFetch,www.bing.com/search,7
24INR0339,deep,WebFetch,www.bing.com/search,7
25INR0018,deep,WebFetch,navarro.easydocs.us/minutes/showdoc.asp,7
24INR0355,deep,Bash,curl:esearch.henderson-cad.org,7
24INR0339,deep,WebFetch,www.bing.com/search,7
24INR0291,deep,Bash,curl:comptroller.texas.gov,7
24INR0118,deep,WebFetch,www.bing.com/search,7
24INR0142,triage,WebFetch,comptroller.texas.gov/economy/local,7
23INR0057,deep,Bash,#,7
23INR0342,triage,Bash,curl:overpass-api.de,7
23INR0421,deep,Bash,curl:interchange.puc.texas.gov,7
24INR0154,deep,Bash,uv,7
26INR0290,deep,Bash,curl:esearch.schleichercad.org,7
23INR0056,deep,WebFetch,efts.sec.gov/LATEST/search-index,7
24INR0058,deep,WebFetch,www.ercot.com/misapp/GetReports.do,7
23INR0637,deep,Bash,cdse.py:chip,7
27INR0192,deep,Bash,ls,6
27INR0501,triage,Bash,ls,6
27INR0434,deep,WebFetch,www.bing.com/search,6
27INR0536,deep,Bash,curl:overpass-api.de,6
28INR0530,triage,WebFetch,comptroller.texas.gov/economy/local,6
20INR0069,deep,Bash,curl:interchange.puc.texas.gov,6
27INR0192,deep,Bash,,6
27INR0192,deep,Bash,curl:co.scurry.tx.us,6
27INR0132,deep,Bash,ls,6
21INR0263,deep,Bash,curl:oeaaa.faa.gov,6
21INR0371,triage,WebFetch,comptroller.texas.gov/economy/local,6
21INR0341,deep,WebFetch,comptroller.texas.gov/economy/development,6
27INR0216,triage,WebFetch,www.bing.com/search,6
22INR0205,deep,Bash,curl:interchange.puc.texas.gov,6
23INR0078,triage,WebFetch,overpass-api.de/api/interpreter,6
23INR0077,triage,Bash,curl:interchange.puc.texas.gov,6
23INR0047,deep,Bash,uv,6
26INR0647,deep,Bash,curl:www.sec.gov,6
27INR0146,deep,Bash,curl:overpass-api.de,6
26INR0615,triage,Bash,curl:interchange.puc.texas.gov,6
26INR0625,deep,Bash,curl:www.sec.gov,6
23INR0029,deep,Bash,curl:esearch.chamberscad.org,6
21INR0210,deep,WebFetch,efts.sec.gov/LATEST/search-index,6
21INR0263,deep,Bash,grep,6
24INR0238,triage,WebFetch,comptroller.texas.gov/economy/local,6
23INR0382,triage,WebFetch,comptroller.texas.gov/economy/local,6
26INR0269,deep,Bash,#,6
26INR0269,deep,Bash,python3,6
26INR0269,deep,Bash,python3,6
25INR0557,deep,Bash,python3,6
26INR0290,deep,Bash,curl:www.sec.gov,6
26INR0525,deep,Bash,uv,6
26INR0551,deep,WebFetch,efts.sec.gov/LATEST/search-index,6
23INR0289,triage,WebFetch,comptroller.texas.gov/economy/local,6
26INR0474,deep,Bash,curl:overpass-api.de,6
23INR0171,deep,Bash,uv,6
22INR0499,triage,WebFetch,html.duckduckgo.com/html,6
26INR0589,triage,WebFetch,comptroller.texas.gov/economy/local,6
26INR0250,deep,WebFetch,efts.sec.gov/LATEST/search-index,6
26INR0386,deep,Bash,curl:data.texas.gov,6
26INR0375,deep,Bash,curl:interchange.puc.texas.gov,6
26INR0269,deep,WebFetch,www.engie-na.com/news/latest-news,6
23INR0290,deep,Bash,curl:overpass-api.de,6
23INR0421,deep,Bash,curl:interchange.puc.texas.gov,6
23INR0235,deep,Bash,#,6
26INR0357,triage,WebFetch,html.duckduckgo.com/html,6
25INR0417,deep,Bash,,6
24INR0198,deep,WebFetch,efts.sec.gov/LATEST/search-index,6
25INR0046,deep,Bash,curl:interchange.puc.texas.gov,6
25INR0018,deep,WebFetch,navarro.easydocs.us/minutes/showdoc.asp,6
24INR0453,triage,WebFetch,efts.sec.gov/LATEST/search-index,6
24INR0386,deep,Bash,#,6
24INR0453,triage,WebFetch,comptroller.texas.gov/economy/local,6
25INR0417,deep,Bash,curl:interchange.puc.texas.gov,6
24INR0339,deep,WebFetch,www.bing.com/search,6
24INR0339,deep,WebFetch,www.bing.com/search,6
25INR0417,deep,Bash,curl:interchange.puc.texas.gov,6
24INR0291,deep,Bash,curl:overpass-api.de,6
24INR0067,triage,WebFetch,comptroller.texas.gov/economy/local,6
24INR0339,deep,WebFetch,www.bing.com/search,6
24INR0117,deep,WebFetch,www.bing.com/search,6
24INR0339,deep,WebFetch,www.bing.com/search,6
25INR0052,deep,WebFetch,www.bing.com/search,6
25INR0046,deep,Bash,curl:interchange.puc.texas.gov,6
25INR0238,deep,Bash,curl:overpass-api.de,6
25INR0434,deep,WebFetch,nominatim.openstreetmap.org/search,6
24INR0339,deep,WebFetch,www15.tceq.texas.gov/crpub/index.cfm,6
25INR0225,deep,Bash,ls,6
25INR0491,triage,WebFetch,html.duckduckgo.com/html,6
25INR0375,triage,Bash,curl:interchange.puc.texas.gov,6
27INR0393,deep,Bash,curl:www.bizapedia.com,6
28INR0490,deep,WebFetch,www.bing.com/search,6
28INR0090,deep,Bash,cdse.py:chip,6
20INR0129,deep,TaskCreate,TaskCreate,6
20INR0129,triage,WebFetch,comptroller.texas.gov/economy/local,6
20INR0155,deep,Bash,curl:overpass-api.de,6
19INR0080,deep,WebFetch,www.bing.com/search,6
19INR0041,deep,Bash,python3,6
19INR0041,deep,Bash,python3,5
19INR0080,triage,WebFetch,comptroller.texas.gov/economy/local,5
20INR0255,triage,WebFetch,comptroller.texas.gov/economy/development,5
20INR0236,deep,Bash,python3,5
20INR0236,deep,Bash,#,5
20INR0097,deep,WebFetch,www.bing.com/search,5
20INR0097,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
20INR0083,deep,Bash,curl:www.sec.gov,5
27INR0428,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0423,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0398,triage,WebFetch,html.duckduckgo.com/html,5
20INR0069,deep,Bash,curl:interchange.puc.texas.gov,5
28INR0339,triage,WebFetch,comptroller.texas.gov/economy/local,5
28INR0090,deep,TaskUpdate,TaskUpdate,5
28INR0089,deep,TaskCreate,TaskCreate,5
27INR0593,triage,WebFetch,interchange.puc.texas.gov/Apps/Interchange,5
27INR0578,deep,WebFetch,www.bing.com/search,5
27INR0578,deep,Bash,curl:overpass-api.de,5
24INR0532,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0505,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0494,triage,WebFetch,www.bing.com/search,5
24INR0493,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0481,triage,Bash,curl:overpass-api.de,5
25INR0375,deep,WebFetch,elibrary.ferc.gov/LATEST/service,5
25INR0368,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0237,triage,WebFetch,www.bing.com/search,5
25INR0225,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0102,triage,WebFetch,html.duckduckgo.com/html,5
25INR0102,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0102,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0102,deep,WebFetch,search.yahoo.com/search,5
25INR0102,deep,WebFetch,html.duckduckgo.com/html,5
25INR0557,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0556,triage,WebFetch,www.bing.com/search,5
25INR0530,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0528,triage,Bash,gmaps.py:places,5
25INR0451,deep,Bash,python3,5
25INR0421,deep,Bash,cdse.py:chip,5
25INR0101,deep,Bash,uv,5
25INR0081,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0071,triage,Bash,cat,5
24INR0287,deep,Bash,uv,5
24INR0282,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
24INR0282,deep,WebFetch,www.bing.com/search,5
24INR0410,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0387,triage,WebFetch,www.bing.com/search,5
24INR0104,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0339,deep,WebFetch,www.bing.com/search,5
24INR0339,deep,WebFetch,comptroller.texas.gov/economy/local,5
24INR0339,deep,WebFetch,www.bing.com/search,5
24INR0302,triage,WebFetch,www.bing.com/search,5
26INR0156,deep,WebFetch,www.ercot.com/files/docs,5
25INR0616,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0591,deep,WebFetch,comptroller.texas.gov/economy/development,5
25INR0591,deep,WebFetch,comptroller.texas.gov/economy/local,5
23INR0401,triage,Bash,gmaps.py:places,5
23INR0359,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0282,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
24INR0281,deep,Bash,uv,5
24INR0235,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0198,deep,WebFetch,comptroller.texas.gov/economy/local,5
24INR0126,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0578,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0557,deep,Bash,curl:maps.googleapis.com,5
25INR0557,deep,WebFetch,www.ercot.com/files/docs,5
26INR0269,triage,WebFetch,www.bing.com/search,5
26INR0269,deep,Bash,uv,5
26INR0269,deep,WebFetch,html.duckduckgo.com/html,5
26INR0261,deep,TaskCreate,TaskCreate,5
26INR0241,triage,WebFetch,comptroller.texas.gov/economy/local,5
26INR0226,triage,Bash,ls,5
26INR0226,deep,Bash,curl:interchange.puc.texas.gov,5
26INR0222,triage,WebFetch,comptroller.texas.gov/economy/local,5
