inr,project,status,n_pdfs
16INR0085,Priddy Wind,hit,2
19INR0041,Myrtle Solar,hit,2
19INR0080,Whitehorse Wind,miss,0
20INR0097,El Sauz Ranch,hit,3
20INR0129,Foxtrot Wind,miss,0
20INR0241,Crowded Star Solar,hit,6
21INR0223,Tulsita Solar,hit,2
21INR0263,Monarch Creek Wind,hit,3
21INR0406,Buffalo Creek,hit,3
21INR0428,Pecan Prairie North,miss,0
21INR0491,Samson Solar 3,miss,0
22INR0203,Delilah Solar 2,hit,1
22INR0205,Sbranch Solar,miss,0
22INR0301,Fortuna Wind,hit,1
22INR0437,Tormes Solar,hit,2
22INR0499,Aquilla Lake 3 Wind,hit,2
22INR0552,Sowers Storage,hit,1
23INR0056,Caliche Mound Solar,hit,1
23INR0057,Duffy Solar,hit,3
23INR0059,Briggs Solar,hit,2
23INR0171,Goodalta Solar,miss,0
23INR0466,Shoshana Storage,miss,0
23INR0502,Adelite Storage,hit,1
24INR0038,Jaguar Solar,hit,3
24INR0058,Briggs Storage,hit,2
24INR0117,Utley Solar,hit,2
24INR0118,Possum Kingdom Solar,hit,1
24INR0167,OCI SunRoper,hit,4
24INR0178,Cumulus Grid BESS,hit,1
24INR0188,Tehuacana Creek Solar,hit,1
24INR0198,Two Forks BESS,miss,0
24INR0281,Red Egret BESS,miss,0
24INR0282,Royal River BESS,hit,2
24INR0291,Rubicon Alpha Wind,hit,2
24INR0302,Pintail Pass BESS,hit,3
24INR0339,Mystic Springs Renewable Energy Solar SLF,hit,1
24INR0355,Anatole Renewable Energy Storage,miss,0
24INR0404,Tres Rios Ranch Solar,miss,0
24INR0567,Wolf Hollow III,miss,0
25INR0168,Piedra Solar,hit,2
25INR0230,Great Rock BESS,hit,1
25INR0238,Little Ridge Storage,miss,0
25INR0301,Van Zandt Energy Storage,hit,1
25INR0417,Mesa View Storage,hit,1
25INR0420,Houston BESS,miss,0
25INR0421,Aldrin 138 BESS,miss,0
25INR0425,Aldrin 345 BESS,miss,0
25INR0434,Bluegill BESS,miss,0
25INR0451,Tres Rios Ranch BESS,miss,0
25INR0460,Acker BESS,hit,1
25INR0557,McCamey's Castle Battery,miss,0
25INR0657,O'Bannion Energy Storage,hit,1
26INR0023,Leon Solar Park,hit,3
26INR0098,Douie Solar,hit,1
26INR0143,Santa Garcias Solar,hit,1
26INR0201,Rock Rose BESS,hit,1
26INR0226,First Capitol BESS,miss,0
26INR0250,Duffy BESS,hit,4
26INR0255,Operation Sunshine,miss,0
26INR0290,Cold Creek Solar 2,miss,0
26INR0310,Quantum Storage,miss,0
26INR0357,Operation Sunshine Storage,miss,0
26INR0386,Zeus Spade Wind,miss,0
26INR0387,Zeus Spade BESS,miss,0
26INR0425,Twinwood Solar 1,miss,0
26INR0519,Sky Global West Houston,hit,2
26INR0543,Three Canes Solar,hit,1
26INR0546,Hobby BESS I,miss,0
26INR0551,Hastings Park BESS,hit,1
26INR0621,Juno 3 Solar,miss,0
26INR0625,Buffalo Gap 2 Wind Repower,hit,1
26INR0636,Lyra Storage,miss,0
26INR0664,Coleto Creek - Fuel Change Only,miss,0
27INR0005,Dundee East A Wind,miss,0
27INR0056,Laurel Wind Energy Center,miss,0
27INR0085,Eagle Claw Energy Center,hit,2
27INR0146,Larrea Solar,miss,0
27INR0192,Cedar Draw Solar,miss,0
27INR0207,Wander Waters BESS,miss,0
27INR0313,Spindletop Solar,hit,1
27INR0367,Goat Mountain Wind-Repower,miss,0
27INR0393,Ferdinand Grid BESS II,miss,0
27INR0398,Bravo BESS,miss,0
27INR0438,Wisdom Solar SLF,miss,0
27INR0501,Mesquite Creek Windpower Repower,miss,0
27INR0557,STP Unit2 High Pressure Turbine Upgrade,miss,0
27INR0572,Kilby1 Part 1 Small Block Simple Cycle,miss,0
27INR0578,Trailblazer Solar,miss,0
27INR0607,Prairie Phoenix Wind,miss,0
28INR0090,EmberGreen,miss,0
28INR0105,Vast Sands Power I (TEF -Due Diligence),miss,0
28INR0108,Rayburn Energy Station II Gas (TEF-Due Diligence),miss,0
28INR0490,Vertus Energy Storage 2,miss,0
