inr,project,candidates,confirmed,probable,unverified,note
18INR0080,Woodward 2 repower,1,1,0,0,
20INR0236,New Hickory Solar,0,0,0,0,
21INR0428,Pecan Prairie North,0,0,0,0,
22INR0342,Matagorda Solar,1,0,0,1,
22INR0504,Barton Branch IA,0,0,0,0,
23INR0207,El Patrimonio Solar,0,0,0,0,
23INR0290,Zeya BESS,0,0,0,0,
23INR0401,Headcamp Energy Storage Plant,0,0,0,0,
23INR0421,Bee Branch IA,0,0,0,0,
24INR0281,Red Egret BESS,0,0,0,0,
25INR0421,Aldrin 138 BESS,0,0,0,0,
25INR0425,Aldrin 345 BESS,0,0,0,0,
26INR0330,Alamo City BESS,0,0,0,0,
26INR0385,Nanulak BESS,0,0,0,0,
26INR0447,Honey Mesquite Wind Farm,0,0,0,0,
26INR0452,Cannibal Draw Solar,0,0,0,0,
27INR0355,Gardner Draw Solar,0,0,0,0,
27INR0434,Lyra Solar,0,0,0,0,
27INR0510,Pecos Wind,0,0,0,0,
