inr,project,candidates,confirmed,probable,unverified,note
16INR0049,Nazareth Solar,4,2,0,2,
16INR0081,Mesteno Wind,1,1,0,0,
16INR0104,Big Sampson Wind ,4,2,0,2,
18INR0031,Maryneal Wind,3,1,0,2,
18INR0069,Indian Mesa repower,6,6,0,0,
18INR0079,Woodward I repower,error,0,0,0,FileNotFoundError
18INR0080,Woodward 2 repower,error,0,0,0,FileNotFoundError
19INR0100,Prairie Hill Wind,1,1,0,0,
19INR0103,Rodeo Solar,2,2,0,0,
19INR0110,Azalea Springs Solar ,2,2,0,0,
19INR0134,Cottonwood Bayou Solar,6,4,0,2,
19INR0174,Elbow Creek repower,1,1,0,0,
20INR0086,Arroyo Solar,5,5,0,0,
20INR0155,Peyton Creek Wind II,5,4,0,1,
20INR0203,Pine Forest Solar,5,4,0,1,
20INR0236,New Hickory Solar,2,0,0,2,
21INR0029,Red Holly Storage 1,1,1,0,0,
21INR0031,Indigo Solar,4,1,0,3,
21INR0033,Red Holly Storage,1,1,0,0,
21INR0221,Samson Solar 1,4,1,0,3,
21INR0240,La Casa Wind,2,2,0,0,
21INR0253,Ulysses Solar,2,2,0,0,
21INR0265,Sisters Solar,1,1,0,0,
21INR0324,Board Creek Wind,1,1,0,0,
21INR0334,Nightfall Solar,2,2,0,0,
21INR0341,Space City Solar,1,1,0,0,
21INR0362,Oystercatcher Solar,4,4,0,0,
21INR0421,Armadillo Solar ,4,4,0,0,
21INR0428,Pecan Prairie North,0,0,0,0,
21INR0444,Long Point Storage,4,4,0,0,
21INR0490,Samson Solar 2,4,2,0,2,
21INR0520,Yellow Viking Solar,4,4,0,0,
22INR0202,Delilah Solar 1,6,3,0,3,
22INR0262,Sequoia II Solar,3,1,0,2,
22INR0274,Crowded Star Solar II,error,0,0,0,FileNotFoundError
22INR0342,Matagorda Solar,error,0,0,0,FileNotFoundError
22INR0426,LUBIO SOLAR,2,2,0,0,
22INR0455,Blue Sky Sol,3,3,0,0,
22INR0457,Anson BAT,1,1,0,0,
22INR0504,Barton Branch IA,1,0,0,1,
22INR0558,Callisto II Energy Center,6,3,0,3,
23INR0026,Baker Branch Solar ,2,2,0,0,
23INR0040,Dori BQ Solar,1,1,0,0,
23INR0045,Caney Creek Solar,1,1,0,0,
23INR0070,Chillingham Solar,5,4,0,1,
23INR0089,Donegal Solar,1,1,0,0,
23INR0091,Cascade Solar,1,1,0,0,
23INR0137,Diran BESS,1,1,0,0,
23INR0140,Seine BESS,1,1,0,0,
23INR0150,Cradle Solar,1,1,0,0,
23INR0181,Starling Storage,2,2,0,0,
23INR0200,Paradiso BESS,1,1,0,0,
23INR0207,El Patrimonio Solar,2,0,0,2,
23INR0216,Venus Mill Storage,1,1,0,0,
23INR0235,Hoyte Solar,3,3,0,0,
23INR0289,Skull Creek Solar,4,4,0,0,
23INR0290,Zeya BESS,1,0,0,1,
23INR0349,Tokio Solar,1,1,0,0,
23INR0361,Third Coast BESS,2,2,0,0,
23INR0367,Fewell Solar,1,1,0,0,
23INR0401,Headcamp Energy Storage Plant,1,0,0,1,
23INR0421,Bee Branch IA,2,0,0,2,
23INR0425,Coneflower Storage Project,1,1,0,0,
23INR0561,Cascabel Wind 2,1,1,0,0,
23INR0637,Goodnight Wind II,6,1,0,5,
24INR0031,Stoneridge Solar,3,3,0,0,
24INR0042,Yaupon Solar SLF,1,1,0,0,
24INR0065,Keys Hollow Solar Phase II SLF,1,1,0,0,
24INR0066,Keys Hollow Storage Phase II SLF,1,1,0,0,
24INR0067,KEYS HOLLOW SOLAR SLF,1,1,0,0,
24INR0068,KEYS HOLLOW STORAGE SLF,1,1,0,0,
24INR0106,Payne Battlecreek,1,1,0,0,
24INR0136,Eagle Springs Storage,3,1,0,2,
24INR0137,Eagle Springs Solar,3,1,0,2,
24INR0150,Lupinus Solar 1,6,2,0,4,
24INR0155,Lupinus Storage 2,6,4,0,2,
24INR0196,Dori BQ BESS,1,1,0,0,
24INR0206,Glasgow Solar,2,2,0,0,
24INR0207,Glasgow Storage,2,2,0,0,
24INR0208,Eastbell Milam Solar II,2,2,0,0,
24INR0210,Raven Storage,3,2,0,1,
24INR0269,Bar Candela Solar SLF,1,1,0,0,
24INR0274,Bufflehead BESS,5,5,0,0,
24INR0275,Picadillo BESS,1,1,0,0,
24INR0281,Red Egret BESS,0,0,0,0,
24INR0303,Erika Solar,3,3,0,0,
24INR0306,Arroyo Storage,5,4,0,1,
24INR0313,Backbone Creek BESS,2,2,0,0,
24INR0326,Blarney Solar,2,2,0,0,
24INR0365,Hermes Storage,3,3,0,0,
24INR0375,Possum Kingdom BESS,2,2,0,0,
24INR0386,Black & Gold Energy Storage,1,1,0,0,
24INR0410,NRG Greens Bayou 6 (TEF-Due Diligence),error,0,0,0,FileNotFoundError
24INR0424,Cascabel Wind 1,1,1,0,0,
24INR0440,Starling Solar,2,1,0,1,
24INR0455,Longfellow BESS II,1,1,0,0,
24INR0472,Amador Storage,2,2,0,0,
24INR0485,Rutile BESS,1,1,0,0,
24INR0491,Gunnar BESS,3,3,0,0,
24INR0493,Crowned Heron BESS 2,error,0,0,0,FileNotFoundError
24INR0496,Indigo Storage,4,1,0,3,
24INR0505,Corralitos Wind 1,1,1,0,0,
24INR0506,Corralitos Wind 2,1,1,0,0,
24INR0528,Blanquilla BESS,1,1,0,0,
24INR0627,Champion Wind Repower,1,1,0,0,
24INR0632,Cedro Hill Wind Repower,1,1,0,0,
25INR0018,Yellow Cat Wind,3,3,0,0,
25INR0100,Goldeneye BESS,2,2,0,0,
25INR0122,Vial BESS,1,1,0,0,
25INR0138,Champaign BESS,1,1,0,0,
25INR0143,Ariji BESS,1,1,0,0,
25INR0166,Compadre Solar II,4,1,0,3,
25INR0169,Piedra BESS,2,2,0,0,
25INR0170,Pinewood Solar,1,1,0,0,
25INR0174,Concho Pearl Solar,1,1,0,0,
25INR0175,Concho Pearl Storage,1,1,0,0,
25INR0189,Staccato BESS,2,2,0,0,
25INR0204,Cedar Range Solar,1,1,0,0,
25INR0227,SERENGETI SOLAR,1,1,0,0,
25INR0229,OCI Cobb Creek Solar,1,1,0,0,
25INR0235,Austin Bayou Storage I,error,0,0,0,FileNotFoundError
25INR0236,Austin Bayou Storage II,error,0,0,0,FileNotFoundError
25INR0247,Bluebonnet Prairie Wind,1,1,0,0,
25INR0253,Whiskey BESS,1,1,0,0,
25INR0271,City Breeze BESS,3,3,0,0,
25INR0281,Cosper Solar,2,2,0,0,
25INR0304,Flying Kite Solar,1,1,0,0,
25INR0319,Northington Solar,1,1,0,0,
25INR0353,Marshall Spring Solar,2,2,0,0,
25INR0354,Marshall Spring Storage,2,2,0,0,
25INR0368,Echols Grove Solar,1,1,0,0,
25INR0370,Willis Storage,2,2,0,0,
25INR0391,Purple Sage BESS 1,1,1,0,0,
25INR0392,Purple Sage BESS 2,1,1,0,0,
25INR0421,Aldrin 138 BESS,0,0,0,0,
25INR0422,Waterloo Solar 1,1,1,0,0,
25INR0425,Aldrin 345 BESS,0,0,0,0,
25INR0432,Brotherton Storage,1,1,0,0,
25INR0441,Dios BESS,1,1,0,0,
25INR0442,Happy Dog Storage,3,3,0,0,
25INR0447,Waterloo BESS 1,1,1,0,0,
25INR0473,Crowded Star I BESS,6,6,0,0,
25INR0480,Bell Creek BESS ,1,1,0,0,
25INR0494,Willow Beach Wind,1,1,0,0,
25INR0578,Forest Creek Wind Repower,1,1,0,0,
25INR0616,Bobcat Bluff Storage SLF,1,1,0,0,
25INR0706,Bocanova Power II,4,2,0,2,
25INR0768,Stafford Hill BESS,1,1,0,0,
26INR0033,Fairway Storage,1,1,0,0,
26INR0034,Bracero Pecan Storage,1,1,0,0,
26INR0130,Elm Flats Solar SLF,1,1,0,0,
26INR0131,Elm Flats Storage SLF,1,1,0,0,
26INR0180,Cape Rich BESS,1,1,0,0,
26INR0189,Skipjack Energy Storage,2,2,0,0,
26INR0241,Sol Marina Energy Center,1,1,0,0,
26INR0252,Neutron Storage,1,1,0,0,
26INR0291,Cold Creek Storage 2,1,1,0,0,
26INR0314,Brazos River BESS,1,1,0,0,
26INR0330,Alamo City BESS,1,0,0,1,
26INR0375,Avalon BESS,1,1,0,0,
26INR0380,Pepper Solar Farm,2,2,0,0,
26INR0385,Nanulak BESS,1,0,0,1,
26INR0409,Lucky 7 Solar,1,1,0,0,
26INR0417,GAMAY ENERGY STORAGE,1,1,0,0,
26INR0431,Big Rooter West Solar,2,1,0,1,
26INR0447,Honey Mesquite Wind Farm,4,0,0,4,
26INR0452,Cannibal Draw Solar,1,0,0,1,
26INR0453,Cannibal Draw Storage,1,1,0,0,
26INR0474,Sorghum BESS,1,1,0,0,
26INR0521,Millers Branch Solar III,2,2,0,0,
26INR0622,Buffalo Gap 1 Wind Repower,4,4,0,0,
26INR0626,Buffalo Gap 3 Wind Repower,4,3,0,1,
26INR0718,PHOTON SOLAR REPOWERING,1,1,0,0,
26INR0736,Hovey Solar 2,1,1,0,0,
27INR0049,Darkwood Solar,1,1,0,0,
27INR0127,Bigway Solar I,1,1,0,0,
27INR0173,Trenno BESS,1,1,0,0,
27INR0181,Elk Unit 4 ,1,1,0,0,
27INR0272,EMPower Odessa (TEF - Due Diligence) ,1,1,0,0,
27INR0355,Gardner Draw Solar,1,0,0,1,
27INR0392,Cernan BESS,2,2,0,0,
27INR0399,Resaca Oasis Storage,1,1,0,0,
27INR0434,Lyra Solar,1,0,0,1,
27INR0485,Blackland Prairie 1 Energy Storage,1,1,0,0,
27INR0510,Pecos Wind,2,0,0,2,
28INR0154,Pamela Heights I,1,1,0,0,
28INR0413,Tolivar Power Plant Phase 2,1,1,0,0,
