cod_independent,construction,cost_usd,inr,project,status,turns,verdict,violations
2028-Q3,no_activity,,24INR0201,Short Creek Solar,ok,,real_early,
2027-Q4 to 2028-Q1,clearing,13.160620200000006,26INR0269,Moccasin Solar,ok,120,real_active,image_reads 13 > 6
,,1.7957915999999996,23INR0027,Cachena Solar SLF,ok,52,,
,reported_started,2.20100145,20INR0255,Renegade Project,ok,48,,
,,3.9458933999999988,24INR0188,Tehuacana Creek Solar,ok,167,,
,,2.1100059000000004,25INR0102,Austin Bayou Solar,ok,75,,
,,5.2784248499999995,23INR0057,Duffy Solar,ok,106,,
,,4.972599450000004,26INR0621,Juno 3 Solar,ok,121,,
,unclear,6.017475599999999,27INR0434,Lyra Solar,ok,182,real_early,
2028-Q2,no_imagery,3.7554943499999993,27INR0500,Antila Solar,ok,112,real_early,image_reads 8 > 6
2028-Q2 to unknown (high uncertainty),no_activity,7.285708500000002,23INR0056,Caliche Mound Solar ,ok,123,unclear,image_reads 19 > 6
2027-Q2,racking,0.90094635,23INR0086,Hanson Solar,ok,39,real_active,
,,2.7449018999999995,21INR0341,Space City Solar,ok,86,,
,,4.801898099999998,26INR0425,Twinwood Solar 1,ok,158,,image_reads 7 > 6
2027-Q2,clearing,4.6790226000000015,22INR0437,TORMES SOLAR,ok,160,real_active,
2028-Q2,,3.4813052999999985,24INR0186,Rowdy Creek Solar,ok,138,,image_reads 25 > 6
2027-Q1,substantially_complete,1.3287905999999998,29INR0015,Funston Solar,ok,49,real_active,
2028-Q1,no_activity,3.4175271,21INR0428,Pecan Prairie North,ok,152,real_early,image_reads 7 > 6
,,4.2010337999999985,19INR0041,Myrtle Solar,ok,121,,dossier.md missing
,,4.9461324,25INR0081,SanPat Solar I,ok,121,,image_reads 12 > 6
,unknown,,24INR0038,Jaguar Solar,ok,,,dossier.md missing; token budget exceeded: 412169 > 400000 (killed)
2027-Q4,clearing,0.818385,27INR0313,Spindletop Solar,ok,30,real_active,
2027-Q4,unknown_from_imagery,1.9374929999999992,24INR0167,OCI SunRoper,ok,95,real_active,
,,6.220752149999998,24INR0118,Possum Kingdom Solar,ok,211,,
,,5.290285950000002,25INR0052,SanPat Solar II,ok,121,,image_reads 11 > 6
2027-Q3,no_activity,3.7297723500000006,23INR0244,Tiger Solar,ok,134,real_early,
,,1.7847257999999995,21INR0210,Adamstown Solar,ok,55,,
2027-Q2,clearing,3.9877386000000015,24INR0154,Lupinus Solar 2,ok,156,real_active,
,,1.27495845,23INR0235,Hoyte Solar,ok,40,,
,,4.308795449999999,27INR0128,Bigway Solar II,ok,182,,
2026-Q4,substantially_complete,2.4240679500000004,25INR0229,OCI Cobb Creek Solar,ok,86,real_active,
2028-Q2,no_activity,1.81093335,16INR0049,Nazareth Solar,ok,52,real_early,
2028-Q2,unknown,4.577112750000001,24INR0161,Miranda Solar Project,ok,141,real_early,
,,2.2939750499999993,25INR0368,Echols Grove Solar,ok,88,,image_reads 18 > 6
2027-Q4,construction_started_per_regulatory_filing,5.7011886,23INR0150,Cradle Solar,ok,128,real_active,image_reads 12 > 6
2027-Q3,racking,2.3026566000000006,24INR0303,Erika Solar,ok,89,real_active,image_reads 12 > 6
2027-Q3,no_activity_confirmed,1.7217619499999997,22INR0605,Camino Santiago Solar,ok,52,real_early,
,,2.0908071,27INR0127,Bigway Solar I,ok,84,,image_reads 9 > 6
,,3.0834466500000004,24INR0298,Leighton Solar SLF,ok,108,,image_reads 11 > 6
2028-Q2,no_activity,1.5659107499999998,26INR0241,Sol Marina Energy Center,ok,71,real_early,image_reads 13 > 6
,,2.594807399999999,21INR0520,Yellow Viking Solar,ok,93,,image_reads 9 > 6
2028-Q3,no_activity,2.2560123,23INR0349,Tokio Solar,ok,87,real_early,image_reads 9 > 6
2027-Q3,no_activity,1.95018225,26INR0524,Fagus Solar Park 3 SLF,ok,73,real_early,image_reads 14 > 6
2027-Q4,clearing,2.1290407499999993,24INR0150,Lupinus Solar 1,ok,80,real_active,image_reads 11 > 6
2027-Q2,unable_to_verify_visually_documentary_evidence_strong,5.304643500000002,23INR0207,El Patrimonio Solar,ok,118,real_active,image_reads 9 > 6
2027-Q2,racking_or_earlier_unconfirmed_no_imagery,5.715133199999999,21INR0253,Ulysses Solar,ok,121,real_active,
2027-Q4,unconfirmed_but_imminent,4.426247249999999,27INR0049,Darkwood Solar,ok,117,real_early,
2028-Q2,no_activity_unconfirmed_by_imagery,6.175776000000001,21INR0031,Indigo Solar,ok,129,real_early,
,,2.1929170500000006,25INR0281,Cosper Solar,ok,62,,dossier.md missing
2027-Q2,under_construction_unverified_visually,6.741049349999996,24INR0333,Chisme Solar,ok,147,real_early,image_reads 11 > 6
2027-Q2 (unverified -- see limits),unknown_imagery_unavailable,6.325610250000003,25INR0199,Bonham Solar SLF,ok,125,real_early,image_reads 16 > 6
,unknown,10.355144849999999,21INR0371,Pecan Prairie South,ok,153,real_early,image_reads 17 > 6
2027-Q3,,5.293586549999999,25INR0319,Northington Solar,ok,104,real_early,image_reads 12 > 6
2027-Q4,no_activity,4.769244900000001,26INR0130,Elm Flats Solar SLF,ok,112,real_early,image_reads 21 > 6
"2027-Q3 to 2028-Q2 (wide band, low confidence)",unknown,6.025834649999999,23INR0045,Caney Creek Solar,ok,137,unclear,
"2027-Q3 (Sep 2027, matching contractual date; construction pace unverified)",unclear,5.0876121,26INR0380,Pepper Solar Farm,ok,111,real_early,image_reads 14 > 6
