rank,inr,project,mw,months_to_cod,paper_score,decision,priority,already_deep_scanned
1,20INR0069,Danish Fields Solar,602.8,1.32,20,deep_candidate,456.67,True
2,26INR0310,Quantum Storage,321.75,0.03,6,deep_candidate,321.75,True
3,21INR0406,Buffalo Creek,438.75,1.38,20,deep_candidate,317.93,True
4,20INR0097,El Sauz Ranch,301.5,0.43,20,deep_candidate,301.5,True
5,21INR0324,Board Creek Wind,299.2,-0.62,20,deep_candidate,299.2,False
6,22INR0301,Fortuna Wind,295.3,-0.62,26,deep_candidate,295.3,True
7,19INR0134,Cottonwood Bayou Solar,351.4,1.32,20,deep_candidate,266.21,True
8,23INR0070,Chillingham Solar,352.39,1.38,20,deep_candidate,255.36,False
9,20INR0155,Peyton Creek Wind II,241.2,-0.62,20,deep_candidate,241.2,True
10,22INR0205,Sbranch Solar ,233.52,0.36,20,deep_candidate,233.52,True
11,24INR0281,Red Egret BESS,310.58,1.38,37,deep_candidate,225.06,True
12,20INR0241,Crowded Star Solar,218.79,0.92,30,deep_candidate,218.79,True
13,26INR0023,Leon Solar Park,210.11,-0.62,0,deep_candidate,210.11,True
14,24INR0302,Pintail Pass BESS,207.25,0.13,18,deep_candidate,207.25,True
15,23INR0501,Soda Lake BESS 1,203.87,-0.39,38,deep_candidate,203.87,False
16,22INR0503,Tidwell Prairie II Batt,203.62,0.49,40,deep_candidate,203.62,False
17,23INR0047,Charger Solar,397.15,1.97,22,deep_candidate,201.6,False
18,23INR0026,Baker Branch Solar ,469.42,2.37,20,deep_candidate,198.07,False
19,20INR0129,Foxtrot Wind,268.2,1.38,20,deep_candidate,194.35,True
20,16INR0104,Big Sampson Wind ,265.4,1.41,20,deep_candidate,188.23,False
21,19INR0110,Azalea Springs Solar ,181.0,-0.16,20,deep_candidate,181.0,False
22,24INR0493,Crowned Heron BESS 2,154.2,0.0,18,deep_candidate,154.2,False
23,23INR0401,Headcamp Energy Storage Plant,152.88,-0.23,32,deep_candidate,152.88,False
24,24INR0208,Eastbell Milam Solar II,150.6,-0.16,28,deep_candidate,150.6,False
25,25INR0706,Bocanova Power II,150.46,0.36,18,deep_candidate,150.46,False
26,25INR0353,Marshall Spring Solar,150.0,-0.62,30,deep_candidate,150.0,False
27,25INR0354,Marshall Spring Storage,150.0,-0.62,20,deep_candidate,150.0,False
28,21INR0240,La Casa Wind,148.4,0.86,20,deep_candidate,148.4,False
29,16INR0081,Mesteno Wind,201.6,1.41,20,deep_candidate,142.98,False
30,21INR0223,Tulsita Solar,256.2,1.88,20,deep_candidate,136.28,True
31,26INR0664,Coleto Creek - Fuel Change Only,655.0,4.87,0,deep_candidate,134.5,True
32,22INR0274,Crowded Star Solar II,189.5,1.41,40,deep_candidate,134.4,False
33,22INR0203,Delilah Solar 2,317.58,2.37,30,deep_candidate,134.0,True
34,18INR0031,Maryneal Wind,182.4,1.38,20,deep_candidate,132.17,False
35,22INR0202,Delilah Solar 1,300.0,2.37,30,deep_candidate,126.58,False
36,20INR0203,Pine Forest Solar,301.51,2.4,35,deep_candidate,125.63,False
37,25INR0578,Forest Creek Wind Repower,125.1,0.86,0,deep_candidate,125.1,False
38,27INR0084,Aegle Power,1536.4,12.34,30,deep_candidate,124.51,True
39,26INR0375,Avalon BESS,522.12,4.41,10,deep_candidate,118.39,False
40,24INR0491,Gunnar BESS,154.75,1.38,0,deep_candidate,112.14,False
41,24INR0584,Kegans BESS (Houston IV BESS),164.6,1.55,30,deep_candidate,106.19,False
42,21INR0221,Samson Solar 1,250.0,2.37,30,deep_candidate,105.49,True
43,21INR0491,Samson Solar 3,250.0,2.37,30,deep_candidate,105.49,True
44,24INR0210,Raven Storage,103.53,0.36,6,deep_candidate,103.53,False
45,22INR0262,Sequoia II Solar,417.47,4.08,18,deep_candidate,102.32,False
46,24INR0365,Hermes Storage,100.42,0.95,14,deep_candidate,100.42,False
47,21INR0490,Samson Solar 2,203.0,2.37,30,deep_candidate,85.65,False
48,22INR0504,Barton Branch IA,203.62,2.4,36,deep_candidate,84.84,False
49,22INR0558,Callisto II Energy Center,203.2,2.4,22,deep_candidate,84.67,False
50,25INR0166,Compadre Solar II,201.4,2.4,12,deep_candidate,83.92,False
51,26INR0155,Ross Solar,1025.57,12.37,20,deep_candidate,82.91,True
52,19INR0080,Whitehorse Wind,418.9,5.39,40,deep_candidate,77.72,True
53,22INR0499,Aquilla Lake 3 Wind,297.4,4.05,20,deep_candidate,73.43,True
54,17INR0043,Vaquero 1 Wind,400.0,5.89,44,deep_candidate,67.91,False
